"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"6x6","6x6-uct-0500","1","0.25","12","36","0.777778","0","0","0.795620","0.250000","0.180556","0.666667"
"6x6","6x6-uct-0500","1","0.5","24","72","0.652778","3","4","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-uct-0500","1","0.75","36","108","0.527778","5","13","0.775775","0.250000","0.194444","0.666667"
"6x6","6x6-uct-0500","1","0.9","44","132","0.484848","5","18","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","2","0.25","12","36","0.611111","0","0","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-uct-0500","2","0.5","24","72","0.513889","0","4","0.828352","0.250000","0.180556","0.777778"
"6x6","6x6-uct-0500","2","0.75","36","108","0.453704","0","13","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","2","0.9","44","132","0.454545","3","19","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","3","0.25","12","36","0.833333","0","0","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-uct-0500","3","0.5","24","72","0.652778","2","1","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","3","0.75","36","108","0.564815","3","7","0.773149","0.416667","0.236111","0.777778"
"6x6","6x6-uct-0500","3","0.9","44","132","0.484848","3","17","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-uct-0500","4","0.25","12","36","0.750000","0","0","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","4","0.5","24","72","0.638889","0","2","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","4","0.75","36","108","0.518519","1","12","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","4","0.9","44","132","0.431818","1","20","0.815465","0.333333","0.194444","0.777778"
"6x6","6x6-uct-0500","5","0.25","12","36","0.666667","0","0","0.900775","0.250000","0.152778","0.888889"
"6x6","6x6-uct-0500","5","0.5","24","72","0.569444","0","5","0.743042","0.333333","0.222222","0.666667"
"6x6","6x6-uct-0500","5","0.75","36","108","0.444444","0","13","0.920620","0.166667","0.138889","0.888889"
"6x6","6x6-uct-0500","5","0.9","44","132","0.409091","0","22","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","6","0.25","12","36","0.722222","0","0","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","6","0.5","24","72","0.597222","1","2","0.848197","0.250000","0.166667","0.777778"
"6x6","6x6-uct-0500","6","0.75","36","108","0.509259","2","9","0.795620","0.333333","0.208333","0.777778"
"6x6","6x6-uct-0500","6","0.9","44","132","0.446970","2","19","0.868042","0.166667","0.152778","0.777778"
"6x6","6x6-uct-0500","7","0.25","12","36","0.638889","0","0","0.775775","0.250000","0.194444","0.666667"
