"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"6x6","6x6-uct-0500","1","2","S53","22","true","1","22"
"6x6","6x6-uct-0500","1","1","S34","23","true","2","4"
"6x6","6x6-uct-0500","1","2","S41","24","true","3","6"
"6x6","6x6-uct-0500","1","1","S22","29","true","2","4"
"6x6","6x6-uct-0500","1","1","S24","33","true","2","8"
"6x6","6x6-uct-0500","1","1","S33","45","false","0",""
"6x6","6x6-uct-0500","2","2","S15","38","false","0",""
"6x6","6x6-uct-0500","2","1","S30","41","false","0",""
"6x6","6x6-uct-0500","2","1","S06","43","false","0",""
"6x6","6x6-uct-0500","3","2","S10","14","true","2","20"
"6x6","6x6-uct-0500","3","1","S51","17","true","1","20"
"6x6","6x6-uct-0500","3","1","S13","29","true","2","4"
"6x6","6x6-uct-0500","3","1","S21","47","false","0",""
"6x6","6x6-uct-0500","3","2","S60","48","false","0",""
"6x6","6x6-uct-0500","4","1","S44","25","true","1","4"
"6x6","6x6-uct-0500","6","2","S56","16","true","2","2"
"6x6","6x6-uct-0500","6","2","S35","30","true","2","4"
"6x6","6x6-uct-0500","7","2","S02","30","true","2","12"
"6x6","6x6-uct-0500","7","2","S66","48","false","0",""
"6x6","6x6-uct-0500","8","2","S41","12","true","3","8"
"6x6","6x6-uct-0500","8","1","S23","21","true","3","16"
"6x6","6x6-uct-0500","8","1","S00","29","true","1","2"
"6x6","6x6-uct-0500","9","1","S14","39","false","0",""
"6x6","6x6-uct-0500","9","2","S20","40","true","1","4"
"6x6","6x6-uct-0500","9","2","S35","44","true","1","2"
"6x6","6x6-uct-0500","10","2","S41","12","true","3","8"
"6x6","6x6-uct-0500","10","1","S32","35","true","1","10"
"6x6","6x6-uct-0500","10","2","S30","40","false","0",""
"6x6","6x6-uct-0500","10","2","S12","46","false","0",""
"6x6","6x6-uct-0500","10","1","S55","47","false","0",""
"6x6","6x6-uct-0500","11","1","S25","23","true","2","6"
"6x6","6x6-uct-0500","12","2","S52","20","false","0",""
"6x6","6x6-uct-0500","12","2","S45","32","false","0",""
"6x6","6x6-uct-0500","12","1","S06","47","false","0",""
"6x6","6x6-uct-0500","12","2","S41","48","false","0",""
"6x6","6x6-uct-0500","13","1","S14","33","true","1","10"
"6x6","6x6-uct-0500","13","2","S25","40","true","2","2"
"6x6","6x6-uct-0500","13","2","S56","48","false","0",""
"6x6","6x6-uct-0500","14","2","S10","38","true","1","8"
"6x6","6x6-uct-0500","15","1","S21","19","true","4","4"
"6x6","6x6-uct-0500","15","1","S26","33","false","0",""
"6x6","6x6-uct-0500","15","1","S23","37","true","1","4"
"6x6","6x6-uct-0500","15","2","S64","38","false","0",""
"6x6","6x6-uct-0500","15","1","S53","41","true","1","2"
"6x6","6x6-uct-0500","15","2","S05","44","false","0",""
"6x6","6x6-uct-0500","16","1","S23","35","true","1","10"
"6x6","6x6-uct-0500","16","2","S53","46","false","0",""
"6x6","6x6-uct-0500","17","1","S34","15","true","4","8"
"6x6","6x6-uct-0500","17","2","S15","32","true","1","6"
"6x6","6x6-uct-0500","17","2","S66","34","false","0",""
"6x6","6x6-uct-0500","17","2","S52","42","true","2","4"
"6x6","6x6-uct-0500","17","2","S45","44","false","0",""
"6x6","6x6-uct-0500","17","1","S43","47","false","0",""
"6x6","6x6-uct-0500","18","2","S02","24","false","0",""
"6x6","6x6-uct-0500","18","1","S33","31","true","4","4"
"6x6","6x6-uct-0500","18","1","S52","33","true","1","12"
"6x6","6x6-uct-0500","18","1","S63","47","false","0",""
"6x6","6x6-uct-0500","18","2","S44","48","false","0",""
"6x6","6x6-uct-0500","19","1","S13","29","true","2","4"
"6x6","6x6-uct-0500","20","1","S53","17","true","2","14"
"6x6","6x6-uct-0500","20","2","S45","30","false","0",""
"6x6","6x6-uct-0500","20","2","S56","34","false","0",""
"6x6","6x6-uct-0500","20","1","S33","39","true","1","2"
