experiment_id,iteration_limit,scope,turn_number,turn_phase,count,cumulative_count
uct-100000-self-play,100000,first_securing_per_game,3,early,29,29
uct-100000-self-play,100000,all_securing_events,3,early,29,29
uct-100000-self-play,100000,player_1_securing_events,3,early,29,29
uct-100000-self-play,100000,player_2_securing_events,3,early,0,0
uct-100000-self-play,100000,first_securing_per_game,4,early,22,51
uct-100000-self-play,100000,all_securing_events,4,early,22,51
uct-100000-self-play,100000,player_1_securing_events,4,early,0,29
uct-100000-self-play,100000,player_2_securing_events,4,early,22,22
uct-100000-self-play,100000,first_securing_per_game,5,early,18,69
uct-100000-self-play,100000,all_securing_events,5,early,35,86
uct-100000-self-play,100000,player_1_securing_events,5,early,35,64
uct-100000-self-play,100000,player_2_securing_events,5,early,0,22
uct-100000-self-play,100000,first_securing_per_game,6,early,23,92
uct-100000-self-play,100000,all_securing_events,6,early,48,134
uct-100000-self-play,100000,player_1_securing_events,6,early,0,64
uct-100000-self-play,100000,player_2_securing_events,6,early,48,70
uct-100000-self-play,100000,first_securing_per_game,7,early,3,95
uct-100000-self-play,100000,all_securing_events,7,early,30,164
uct-100000-self-play,100000,player_1_securing_events,7,early,30,94
uct-100000-self-play,100000,player_2_securing_events,7,early,0,70
uct-100000-self-play,100000,first_securing_per_game,8,early,1,96
uct-100000-self-play,100000,all_securing_events,8,early,28,192
uct-100000-self-play,100000,player_1_securing_events,8,early,0,94
uct-100000-self-play,100000,player_2_securing_events,8,early,28,98
uct-100000-self-play,100000,first_securing_per_game,9,midgame,0,96
uct-100000-self-play,100000,all_securing_events,9,midgame,29,221
uct-100000-self-play,100000,player_1_securing_events,9,midgame,29,123
uct-100000-self-play,100000,player_2_securing_events,9,midgame,0,98
uct-100000-self-play,100000,first_securing_per_game,10,midgame,0,96
uct-100000-self-play,100000,all_securing_events,10,midgame,28,249
uct-100000-self-play,100000,player_1_securing_events,10,midgame,0,123
uct-100000-self-play,100000,player_2_securing_events,10,midgame,28,126
uct-100000-self-play,100000,first_securing_per_game,11,midgame,0,96
uct-100000-self-play,100000,all_securing_events,11,midgame,19,268
uct-100000-self-play,100000,player_1_securing_events,11,midgame,19,142
uct-100000-self-play,100000,player_2_securing_events,11,midgame,0,126
uct-100000-self-play,100000,first_securing_per_game,12,midgame,0,96
uct-100000-self-play,100000,all_securing_events,12,midgame,22,290
uct-100000-self-play,100000,player_1_securing_events,12,midgame,0,142
uct-100000-self-play,100000,player_2_securing_events,12,midgame,22,148
uct-100000-self-play,100000,first_securing_per_game,13,midgame,0,96
uct-100000-self-play,100000,all_securing_events,13,midgame,6,296
uct-100000-self-play,100000,player_1_securing_events,13,midgame,6,148
uct-100000-self-play,100000,player_2_securing_events,13,midgame,0,148
uct-100000-self-play,100000,first_securing_per_game,14,midgame,1,97
uct-100000-self-play,100000,all_securing_events,14,midgame,17,313
uct-100000-self-play,100000,player_1_securing_events,14,midgame,0,148
uct-100000-self-play,100000,player_2_securing_events,14,midgame,17,165
uct-100000-self-play,100000,first_securing_per_game,15,midgame,0,97
uct-100000-self-play,100000,all_securing_events,15,midgame,8,321
uct-100000-self-play,100000,player_1_securing_events,15,midgame,8,156
uct-100000-self-play,100000,player_2_securing_events,15,midgame,0,165
uct-100000-self-play,100000,first_securing_per_game,16,midgame,0,97
uct-100000-self-play,100000,all_securing_events,16,midgame,21,342
uct-100000-self-play,100000,player_1_securing_events,16,midgame,0,156
uct-100000-self-play,100000,player_2_securing_events,16,midgame,21,186
uct-100000-self-play,100000,first_securing_per_game,17,late,0,97
uct-100000-self-play,100000,all_securing_events,17,late,13,355
uct-100000-self-play,100000,player_1_securing_events,17,late,13,169
uct-100000-self-play,100000,player_2_securing_events,17,late,0,186
uct-100000-self-play,100000,first_securing_per_game,18,late,0,97
uct-100000-self-play,100000,all_securing_events,18,late,18,373
uct-100000-self-play,100000,player_1_securing_events,18,late,0,169
uct-100000-self-play,100000,player_2_securing_events,18,late,18,204
uct-100000-self-play,100000,first_securing_per_game,19,late,0,97
uct-100000-self-play,100000,all_securing_events,19,late,18,391
uct-100000-self-play,100000,player_1_securing_events,19,late,18,187
uct-100000-self-play,100000,player_2_securing_events,19,late,0,204
uct-100000-self-play,100000,first_securing_per_game,20,late,0,97
uct-100000-self-play,100000,all_securing_events,20,late,16,407
uct-100000-self-play,100000,player_1_securing_events,20,late,0,187
uct-100000-self-play,100000,player_2_securing_events,20,late,16,220
uct-100000-self-play,100000,first_securing_per_game,21,late,0,97
uct-100000-self-play,100000,all_securing_events,21,late,12,419
uct-100000-self-play,100000,player_1_securing_events,21,late,12,199
uct-100000-self-play,100000,player_2_securing_events,21,late,0,220
uct-100000-self-play,100000,first_securing_per_game,22,late,0,97
uct-100000-self-play,100000,all_securing_events,22,late,18,437
uct-100000-self-play,100000,player_1_securing_events,22,late,0,199
uct-100000-self-play,100000,player_2_securing_events,22,late,18,238
uct-100000-self-play,100000,first_securing_per_game,23,late,0,97
uct-100000-self-play,100000,all_securing_events,23,late,7,444
uct-100000-self-play,100000,player_1_securing_events,23,late,7,206
uct-100000-self-play,100000,player_2_securing_events,23,late,0,238
uct-100000-self-play,100000,first_securing_per_game,24,late,0,97
uct-100000-self-play,100000,all_securing_events,24,late,18,462
uct-100000-self-play,100000,player_1_securing_events,24,late,0,206
uct-100000-self-play,100000,player_2_securing_events,24,late,18,256
uct-100000-self-play,100000,first_securing_per_game,never,never,0,97
uct-30000-self-play,30000,first_securing_per_game,1,early,0,0
uct-30000-self-play,30000,all_securing_events,1,early,0,0
uct-30000-self-play,30000,player_1_securing_events,1,early,0,0
uct-30000-self-play,30000,player_2_securing_events,1,early,0,0
uct-30000-self-play,30000,first_securing_per_game,2,early,0,0
uct-30000-self-play,30000,all_securing_events,2,early,0,0
uct-30000-self-play,30000,player_1_securing_events,2,early,0,0
uct-30000-self-play,30000,player_2_securing_events,2,early,0,0
uct-30000-self-play,30000,first_securing_per_game,3,early,8,8
uct-30000-self-play,30000,all_securing_events,3,early,8,8
uct-30000-self-play,30000,player_1_securing_events,3,early,8,8
uct-30000-self-play,30000,player_2_securing_events,3,early,0,0
uct-30000-self-play,30000,first_securing_per_game,4,early,19,27
uct-30000-self-play,30000,all_securing_events,4,early,19,27
uct-30000-self-play,30000,player_1_securing_events,4,early,0,8
uct-30000-self-play,30000,player_2_securing_events,4,early,19,19
uct-30000-self-play,30000,first_securing_per_game,5,early,26,53
uct-30000-self-play,30000,all_securing_events,5,early,29,56
uct-30000-self-play,30000,player_1_securing_events,5,early,29,37
uct-30000-self-play,30000,player_2_securing_events,5,early,0,19
uct-30000-self-play,30000,first_securing_per_game,6,early,23,76
uct-30000-self-play,30000,all_securing_events,6,early,54,110
uct-30000-self-play,30000,player_1_securing_events,6,early,0,37
uct-30000-self-play,30000,player_2_securing_events,6,early,54,73
uct-30000-self-play,30000,first_securing_per_game,7,early,11,87
uct-30000-self-play,30000,all_securing_events,7,early,34,144
uct-30000-self-play,30000,player_1_securing_events,7,early,34,71
uct-30000-self-play,30000,player_2_securing_events,7,early,0,73
uct-30000-self-play,30000,first_securing_per_game,8,early,7,94
uct-30000-self-play,30000,all_securing_events,8,early,33,177
uct-30000-self-play,30000,player_1_securing_events,8,early,0,71
uct-30000-self-play,30000,player_2_securing_events,8,early,33,106
uct-30000-self-play,30000,first_securing_per_game,9,midgame,1,95
uct-30000-self-play,30000,all_securing_events,9,midgame,24,201
uct-30000-self-play,30000,player_1_securing_events,9,midgame,24,95
uct-30000-self-play,30000,player_2_securing_events,9,midgame,0,106
uct-30000-self-play,30000,first_securing_per_game,10,midgame,3,98
uct-30000-self-play,30000,all_securing_events,10,midgame,35,236
uct-30000-self-play,30000,player_1_securing_events,10,midgame,0,95
uct-30000-self-play,30000,player_2_securing_events,10,midgame,35,141
uct-30000-self-play,30000,first_securing_per_game,11,midgame,0,98
uct-30000-self-play,30000,all_securing_events,11,midgame,13,249
uct-30000-self-play,30000,player_1_securing_events,11,midgame,13,108
uct-30000-self-play,30000,player_2_securing_events,11,midgame,0,141
uct-30000-self-play,30000,first_securing_per_game,12,midgame,0,98
uct-30000-self-play,30000,all_securing_events,12,midgame,18,267
uct-30000-self-play,30000,player_1_securing_events,12,midgame,0,108
uct-30000-self-play,30000,player_2_securing_events,12,midgame,18,159
uct-30000-self-play,30000,first_securing_per_game,13,midgame,0,98
uct-30000-self-play,30000,all_securing_events,13,midgame,14,281
uct-30000-self-play,30000,player_1_securing_events,13,midgame,14,122
uct-30000-self-play,30000,player_2_securing_events,13,midgame,0,159
uct-30000-self-play,30000,first_securing_per_game,14,midgame,1,99
uct-30000-self-play,30000,all_securing_events,14,midgame,13,294
