experiment_id,iteration_limit,game_index,player,player_result_status,supply_point,spatial_category,securing_turn,securing_phase,p1_piece_count_at_turn_start,p2_piece_count_at_turn_start,previous_unresolved_pattern,securable_at_turn_start,placements_needed_to_secure,legal_max_additional_placements_this_turn,p1_piece_count_immediately_before_securing,p2_piece_count_immediately_before_securing,first_controlled_turn,opponent_placements_after_first_control_before_securing,contested_after_becoming_relevant,adjacent_objectives,adjacent_objective_states_at_securing,adjacent_live_objectives_at_securing,adjacent_future_placeable_objectives_at_securing,adjacent_future_placement_capacity_at_securing,adjacent_empty_objectives_at_securing,adjacent_secured_objectives_at_securing,future_turns_used_as_supply,future_objective_placements_supported,future_objectives_supported
uct-10000-self-play,10000,4,2,loser,S22,interior,4,early,2,1,2-1,true,2,2,2,3,4,0,false,4,O11:0:0:0;O12:0:0:0;O21:0:0:0;O22:0:0:0,4,4,12,4,0,7,7,O11;O11;O22;O12;O21;O22;O21
uct-10000-self-play,10000,5,1,winner,S11,interior,9,midgame,2,2,2-2,true,1,1,3,2,3,2,true,4,O00:0:0:0;O01:1:1:0;O10:1:2:0;O11:3:3:0,3,3,6,1,1,4,4,O10;O00;O00;O00
uct-10000-self-play,10000,5,1,winner,S13,interior,19,late,2,2,2-2,true,1,1,3,2,19,0,false,4,O02:1:2:0;O03:0:0:0;O12:0:0:0;O13:0:0:0,4,4,10,3,0,1,1,O02
uct-10000-self-play,10000,5,1,winner,S23,interior,21,late,1,2,1-2,true,2,2,3,2,19,2,true,4,O12:0:0:0;O13:0:0:0;O22:4:0:3;O23:2:0:1,3,3,9,2,1,0,0,
uct-10000-self-play,10000,5,2,loser,S31,interior,20,late,2,2,2-2,true,1,1,2,3,2,2,true,4,O20:0:0:0;O21:4:0:3;O30:0:0:0;O31:4:0:3,2,2,6,2,2,2,2,O20;O30
uct-10000-self-play,10000,5,2,loser,S32,interior,10,midgame,2,2,2-2,true,1,1,2,3,4,1,true,4,O21:4:0:3;O22:2:0:2;O31:0:0:0;O32:0:0:0,3,3,7,2,1,4,4,O31;O31;O32;O32
uct-10000-self-play,10000,6,1,draw,S13,interior,3,early,1,2,1-2,true,2,2,3,2,1,2,true,4,O02:0:0:0;O03:0:0:0;O12:0:0:0;O13:0:0:0,4,4,12,4,0,6,6,O02;O12;O13;O03;O13;O13
uct-10000-self-play,10000,6,1,draw,S22,interior,7,early,1,2,1-2,true,2,2,3,2,7,0,false,4,O11:2:0:2;O12:0:0:0;O21:0:0:0;O22:2:0:1,4,4,12,2,0,5,5,O12;O12;O21;O21;O21
uct-10000-self-play,10000,6,1,draw,S31,interior,17,late,2,2,2-2,true,1,1,3,2,1,2,true,4,O20:0:0:0;O21:1:2:0;O30:0:0:0;O31:1:2:0,4,4,8,2,0,2,2,O31;O30
uct-10000-self-play,10000,6,2,draw,S32,interior,12,midgame,2,2,2-2,true,1,1,2,3,4,2,true,4,O21:0:0:0;O22:2:0:2;O31:1:1:0;O32:0:0:0,4,4,10,2,0,4,4,O22;O32;O32;O32
