experiment_id,checkpoint_turn,games,mean_mechanism_supply_degradation,mean_mechanism_supply_reinvestment,mean_leader_usable_support_edge_delta,mean_winner_usable_support_edge_delta,mean_degradation_indicator_count,mean_reinvestment_indicator_count
uct-10000-self-play,8,38,0.473684,0.473684,-1.072368,-0.934211,1.421053,1.315789
uct-10000-self-play,12,37,0.513514,0.27027,-0.641892,-0.77027,1.486486,1.054054
uct-10000-self-play,16,39,0.564103,0.333333,-0.762821,-1.00641,1.589744,1.051282
uct-10000-self-play,20,36,0.527778,0.444444,-0.881944,-0.416667,1.416667,1.444444
uct-3000-self-play,8,48,0.479167,0.4375,-1.088542,-1.182292,1.5625,1.416667
uct-3000-self-play,12,40,0.575,0.425,-1.21875,-1.48125,1.625,1.3
uct-3000-self-play,16,41,0.512195,0.512195,-1.152439,-1.134146,1.780488,1.707317
uct-3000-self-play,20,42,0.595238,0.642857,-1.285714,-0.22619,1.714286,1.952381
