iteration_limit,game_index,seed,winner,deciding_criterion,secured_margin_p1_minus_p2,advantage_margin_p1_minus_p2,corrected_objective_piece_margin_p1_minus_p2,first_persistent_full_lexicographic_lead_turn,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share,sample
10000,47,1131000046,0,draw,0,0,0,,3,5,1,4,32,40,0.4444444444444444,0.5555555555555556,issue-112-corrected
10000,48,1131000047,1,secured_objectives,1,0,0,15,7,6,3,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,49,1131000048,2,secured_objectives,-1,-1,1,20,10,3,1,2,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
10000,50,1131000049,2,secured_objectives,-1,1,2,22,6,4,2,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,51,1131000050,1,secured_objectives,1,0,-2,21,6,4,1,3,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
10000,52,1131000051,1,advantage_objectives,0,1,1,23,7,4,2,2,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
10000,53,1131000052,2,advantage_objectives,0,-1,0,24,8,4,1,3,42,30,0.5833333333333334,0.4166666666666667,issue-112-corrected
10000,54,1131000053,0,draw,0,0,0,,7,3,1,2,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,55,1131000054,0,draw,0,0,0,,8,5,2,3,43,29,0.5972222222222222,0.4027777777777778,issue-112-corrected
10000,56,1131000055,2,secured_objectives,-1,2,3,22,4,4,1,3,36,36,0.5,0.5,issue-112-corrected
10000,57,1131000056,2,advantage_objectives,0,-2,-3,24,12,2,0,2,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
10000,58,1131000057,1,secured_objectives,1,-1,-2,19,8,3,1,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,59,1131000058,1,advantage_objectives,0,1,3,19,4,5,3,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,60,1131000059,0,draw,0,0,0,,4,3,0,3,34,38,0.4722222222222222,0.5277777777777778,issue-112-corrected
10000,61,1131000060,1,secured_objectives,1,2,1,3,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,62,1131000061,1,advantage_objectives,0,1,0,23,6,4,2,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,63,1131000062,2,advantage_objectives,0,-1,-2,20,8,3,2,1,36,36,0.5,0.5,issue-112-corrected
10000,64,1131000063,2,secured_objectives,-1,2,4,20,8,4,1,3,38,34,0.5277777777777778,0.4722222222222222,issue-112-corrected
10000,65,1131000064,1,secured_objectives,1,-1,-2,21,4,5,3,2,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,66,1131000065,1,secured_objectives,1,-2,-2,23,5,5,2,3,37,35,0.5138888888888888,0.4861111111111111,issue-112-corrected
10000,67,1131000066,0,draw,0,0,0,,10,4,1,3,31,41,0.4305555555555556,0.5694444444444444,issue-112-corrected
10000,68,1131000067,1,secured_objectives,2,-1,-3,5,7,4,1,3,35,37,0.4861111111111111,0.5138888888888888,issue-112-corrected
10000,69,1131000068,2,advantage_objectives,0,-1,-1,24,10,3,0,3,33,39,0.4583333333333333,0.5416666666666666,issue-112-corrected
10000,70,1131000069,1,advantage_objectives,0,2,1,19,5,5,3,2,39,33,0.5416666666666666,0.4583333333333333,issue-112-corrected
