measure,depth_contrast,corrected_depth_change,original_depth_change,difference_in_differences,bootstrap_95_low,bootstrap_95_high
p1,100k - 30k,0.07,0.037938,0.032062,-0.159175,0.224235
draw,100k - 30k,0.0,-0.018763,0.018763,-0.092784,0.129381
p1,100k - 10k,0.08,0.107938,-0.027938,-0.219794,0.164227
draw,100k - 10k,0.01,-0.058763,0.068763,-0.051237,0.189072
