iteration_limit,checkpoint,turn_number,games,eligible_games,late_reversals,late_reversal_rate
10000,0.75,18,100,74,24,0.324324
10000,0.9,22,100,83,22,0.26506
30000,0.75,18,100,79,21,0.265823
30000,0.9,22,100,76,23,0.302632
100000,0.75,18,100,74,19,0.256757
100000,0.9,22,100,82,14,0.170732
