iteration_limit,measure,original_rate,terminal_rescore_rate,regenerated_corrected_rate,direct_terminal_rescore_effect,direct_paired_bootstrap_95_low,direct_paired_bootstrap_95_high,regenerated_total_effect,total_bootstrap_95_low,total_bootstrap_95_high,search_generation_residual,residual_bootstrap_95_low,residual_bootstrap_95_high,absolute_total_minus_absolute_direct,magnitude_excess_bootstrap_95_low,magnitude_excess_bootstrap_95_high
10000,p1,0.49,0.5,0.47,0.01,-0.02,0.05,-0.02,-0.16,0.12,-0.03,-0.17,0.11,0.01,-0.03,0.15
10000,draw,0.1,0.08,0.13,-0.02,-0.08,0.03,0.03,-0.06,0.12,0.05,-0.04,0.14,0.01,-0.06,0.1
30000,p1,0.56,0.58,0.48,0.02,0.0,0.05,-0.08,-0.22,0.06,-0.1,-0.24,0.03,0.06,-0.03,0.2
30000,draw,0.06,0.03,0.14,-0.03,-0.07,0.0,0.08,0.0,0.16,0.11,0.04,0.19,0.05,-0.04,0.15
100000,p1,0.597938,0.56701,0.55,-0.030928,-0.072165,0.0,-0.047938,-0.181031,0.09299,-0.01701,-0.157327,0.125155,0.01701,-0.039802,0.158557
100000,draw,0.041237,0.072165,0.14,0.030928,0.0,0.072165,0.098763,0.018454,0.179381,0.067835,-0.013711,0.158144,0.067835,-0.013711,0.149691
