iteration_limit,game_index,first_supply_securing_turn,final_secured_supply_count,final_p1_secured_supply_count,final_p2_secured_supply_count,supply_placements,objective_placements,supply_placement_share,objective_placement_share
30000,53,3,6,3,3,40,32,0.5555555555555556,0.4444444444444444
30000,54,9,4,1,3,34,38,0.4722222222222222,0.5277777777777778
30000,55,3,5,2,3,38,34,0.5277777777777778,0.4722222222222222
30000,56,8,5,2,3,36,36,0.5,0.5
30000,57,3,5,2,3,41,31,0.5694444444444444,0.4305555555555556
30000,58,10,5,2,3,40,32,0.5555555555555556,0.4444444444444444
30000,59,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222
30000,60,11,3,1,2,42,30,0.5833333333333334,0.4166666666666667
30000,61,3,5,2,3,36,36,0.5,0.5
30000,62,7,5,2,3,43,29,0.5972222222222222,0.4027777777777778
30000,63,6,5,2,3,37,35,0.5138888888888888,0.4861111111111111
30000,64,8,3,0,3,33,39,0.4583333333333333,0.5416666666666666
30000,65,7,4,2,2,38,34,0.5277777777777778,0.4722222222222222
30000,66,5,4,2,2,38,34,0.5277777777777778,0.4722222222222222
30000,67,7,4,2,2,38,34,0.5277777777777778,0.4722222222222222
30000,68,4,5,3,2,37,35,0.5138888888888888,0.4861111111111111
30000,69,4,2,0,2,36,36,0.5,0.5
30000,70,6,6,2,4,38,34,0.5277777777777778,0.4722222222222222
30000,71,5,4,2,2,32,40,0.4444444444444444,0.5555555555555556
30000,72,9,4,2,2,35,37,0.4861111111111111,0.5138888888888888
30000,73,6,4,1,3,35,37,0.4861111111111111,0.5138888888888888
30000,74,4,4,1,3,38,34,0.5277777777777778,0.4722222222222222
30000,75,7,5,2,3,35,37,0.4861111111111111,0.5138888888888888
30000,76,6,5,4,1,38,34,0.5277777777777778,0.4722222222222222
30000,77,7,3,1,2,38,34,0.5277777777777778,0.4722222222222222
30000,78,9,5,3,2,42,30,0.5833333333333334,0.4166666666666667
30000,79,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222
30000,80,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222
30000,81,6,4,2,2,33,39,0.4583333333333333,0.5416666666666666
30000,82,3,4,2,2,38,34,0.5277777777777778,0.4722222222222222
30000,83,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222
30000,84,6,5,2,3,42,30,0.5833333333333334,0.4166666666666667
30000,85,7,3,1,2,38,34,0.5277777777777778,0.4722222222222222
30000,86,7,5,1,4,34,38,0.4722222222222222,0.5277777777777778
30000,87,11,3,1,2,36,36,0.5,0.5
30000,88,4,6,4,2,49,23,0.6805555555555556,0.3194444444444444
30000,89,7,3,1,2,40,32,0.5555555555555556,0.4444444444444444
30000,90,4,4,2,2,36,36,0.5,0.5
30000,91,13,2,1,1,37,35,0.5138888888888888,0.4861111111111111
30000,92,5,5,2,3,41,31,0.5694444444444444,0.4305555555555556
30000,93,5,4,2,2,39,33,0.5416666666666666,0.4583333333333333
30000,94,7,4,1,3,37,35,0.5138888888888888,0.4861111111111111
30000,95,4,5,3,2,36,36,0.5,0.5
30000,96,7,3,2,1,33,39,0.4583333333333333,0.5416666666666666
30000,97,6,3,1,2,32,40,0.4444444444444444,0.5555555555555556
30000,98,8,5,2,3,37,35,0.5138888888888888,0.4861111111111111
30000,99,6,3,1,2,36,36,0.5,0.5
30000,100,8,3,1,2,30,42,0.4166666666666667,0.5833333333333334
100000,1,6,5,2,3,42,30,0.5833333333333334,0.4166666666666667
100000,2,4,4,2,2,43,29,0.5972222222222222,0.4027777777777778
100000,3,5,5,2,3,42,30,0.5833333333333334,0.4166666666666667
100000,4,6,4,1,3,37,35,0.5138888888888888,0.4861111111111111
100000,5,5,4,2,2,41,31,0.5694444444444444,0.4305555555555556
100000,6,5,3,2,1,37,35,0.5138888888888888,0.4861111111111111
100000,7,6,5,2,3,39,33,0.5416666666666666,0.4583333333333333
100000,8,4,6,2,4,42,30,0.5833333333333334,0.4166666666666667
100000,9,4,6,3,3,41,31,0.5694444444444444,0.4305555555555556
100000,10,5,5,3,2,42,30,0.5833333333333334,0.4166666666666667
100000,11,3,5,2,3,37,35,0.5138888888888888,0.4861111111111111
100000,12,3,4,2,2,41,31,0.5694444444444444,0.4305555555555556
100000,13,4,5,2,3,38,34,0.5277777777777778,0.4722222222222222
100000,14,3,5,2,3,36,36,0.5,0.5
100000,15,12,4,1,3,34,38,0.4722222222222222,0.5277777777777778
100000,16,3,5,2,3,37,35,0.5138888888888888,0.4861111111111111
100000,17,5,4,2,2,36,36,0.5,0.5
100000,18,6,3,1,2,32,40,0.4444444444444444,0.5555555555555556
100000,19,3,4,2,2,37,35,0.5138888888888888,0.4861111111111111
100000,20,6,4,2,2,37,35,0.5138888888888888,0.4861111111111111
100000,21,4,5,2,3,36,36,0.5,0.5
100000,22,4,5,2,3,40,32,0.5555555555555556,0.4444444444444444
100000,23,4,5,3,2,33,39,0.4583333333333333,0.5416666666666666
100000,24,4,5,3,2,38,34,0.5277777777777778,0.4722222222222222
100000,25,3,4,2,2,37,35,0.5138888888888888,0.4861111111111111
100000,26,6,3,1,2,31,41,0.4305555555555556,0.5694444444444444
100000,27,5,5,2,3,40,32,0.5555555555555556,0.4444444444444444
100000,28,3,5,2,3,35,37,0.4861111111111111,0.5138888888888888
100000,29,15,3,1,2,31,41,0.4305555555555556,0.5694444444444444
100000,30,6,5,3,2,43,29,0.5972222222222222,0.4027777777777778
100000,31,5,5,2,3,41,31,0.5694444444444444,0.4305555555555556
100000,32,4,3,1,2,41,31,0.5694444444444444,0.4305555555555556
100000,33,3,5,2,3,39,33,0.5416666666666666,0.4583333333333333
100000,34,3,6,2,4,37,35,0.5138888888888888,0.4861111111111111
100000,35,3,6,3,3,39,33,0.5416666666666666,0.4583333333333333
100000,36,4,6,4,2,41,31,0.5694444444444444,0.4305555555555556
100000,37,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222
100000,38,3,5,2,3,39,33,0.5416666666666666,0.4583333333333333
100000,39,3,5,3,2,44,28,0.6111111111111112,0.3888888888888889
100000,40,5,5,2,3,38,34,0.5277777777777778,0.4722222222222222
100000,41,3,4,1,3,32,40,0.4444444444444444,0.5555555555555556
100000,42,5,6,2,4,40,32,0.5555555555555556,0.4444444444444444
100000,43,6,5,2,3,35,37,0.4861111111111111,0.5138888888888888
100000,44,3,6,3,3,38,34,0.5277777777777778,0.4722222222222222
100000,45,6,3,1,2,38,34,0.5277777777777778,0.4722222222222222
100000,46,6,5,3,2,39,33,0.5416666666666666,0.4583333333333333
100000,47,4,5,2,3,39,33,0.5416666666666666,0.4583333333333333
100000,48,5,4,1,3,39,33,0.5416666666666666,0.4583333333333333
100000,49,6,5,2,3,36,36,0.5,0.5
100000,50,4,4,1,3,48,24,0.6666666666666666,0.3333333333333333
100000,51,4,3,1,2,32,40,0.4444444444444444,0.5555555555555556
100000,52,6,4,1,3,37,35,0.5138888888888888,0.4861111111111111
100000,53,6,5,3,2,44,28,0.6111111111111112,0.3888888888888889
100000,54,3,5,2,3,38,34,0.5277777777777778,0.4722222222222222
100000,55,5,5,2,3,37,35,0.5138888888888888,0.4861111111111111
100000,56,3,6,3,3,38,34,0.5277777777777778,0.4722222222222222
100000,57,5,4,1,3,42,30,0.5833333333333334,0.4166666666666667
100000,58,9,4,2,2,40,32,0.5555555555555556,0.4444444444444444
100000,59,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222
100000,60,5,6,3,3,40,32,0.5555555555555556,0.4444444444444444
100000,61,7,4,2,2,35,37,0.4861111111111111,0.5138888888888888
100000,62,5,6,3,3,37,35,0.5138888888888888,0.4861111111111111
100000,63,4,3,1,2,37,35,0.5138888888888888,0.4861111111111111
100000,64,4,5,2,3,41,31,0.5694444444444444,0.4305555555555556
100000,65,6,4,1,3,36,36,0.5,0.5
100000,66,5,4,3,1,39,33,0.5416666666666666,0.4583333333333333
100000,67,5,5,2,3,40,32,0.5555555555555556,0.4444444444444444
100000,68,6,5,3,2,40,32,0.5555555555555556,0.4444444444444444
100000,69,4,3,1,2,35,37,0.4861111111111111,0.5138888888888888
100000,70,5,4,2,2,38,34,0.5277777777777778,0.4722222222222222
100000,71,7,4,2,2,40,32,0.5555555555555556,0.4444444444444444
100000,72,3,5,3,2,40,32,0.5555555555555556,0.4444444444444444
100000,73,8,5,2,3,41,31,0.5694444444444444,0.4305555555555556
100000,74,10,5,2,3,37,35,0.5138888888888888,0.4861111111111111
100000,75,3,6,3,3,40,32,0.5555555555555556,0.4444444444444444
100000,76,12,3,1,2,36,36,0.5,0.5
100000,77,5,2,1,1,37,35,0.5138888888888888,0.4861111111111111
100000,78,6,3,0,3,35,37,0.4861111111111111,0.5138888888888888
100000,79,6,4,2,2,35,37,0.4861111111111111,0.5138888888888888
100000,80,6,5,2,3,38,34,0.5277777777777778,0.4722222222222222
100000,81,6,2,1,1,40,32,0.5555555555555556,0.4444444444444444
100000,82,10,2,0,2,32,40,0.4444444444444444,0.5555555555555556
100000,83,5,5,2,3,41,31,0.5694444444444444,0.4305555555555556
100000,84,3,3,2,1,37,35,0.5138888888888888,0.4861111111111111
100000,85,3,4,1,3,39,33,0.5416666666666666,0.4583333333333333
100000,86,6,5,0,5,39,33,0.5416666666666666,0.4583333333333333
100000,87,3,5,2,3,37,35,0.5138888888888888,0.4861111111111111
100000,88,3,4,2,2,39,33,0.5416666666666666,0.4583333333333333
100000,89,6,5,2,3,37,35,0.5138888888888888,0.4861111111111111
100000,90,4,5,2,3,37,35,0.5138888888888888,0.4861111111111111
100000,91,6,4,1,3,30,42,0.4166666666666667,0.5833333333333334
100000,92,3,5,2,3,36,36,0.5,0.5
100000,93,5,5,2,3,35,37,0.4861111111111111,0.5138888888888888
100000,94,3,3,1,2,36,36,0.5,0.5
100000,95,5,5,2,3,42,30,0.5833333333333334,0.4166666666666667
100000,96,5,5,4,1,41,31,0.5694444444444444,0.4305555555555556
100000,97,4,4,1,3,42,30,0.5833333333333334,0.4166666666666667
100000,98,3,5,2,3,38,34,0.5277777777777778,0.4722222222222222
100000,99,6,6,2,4,45,27,0.625,0.375
100000,100,3,4,2,2,41,31,0.5694444444444444,0.4305555555555556
