"board","experiment_id","iteration_limit","game_index","winner","moves","turns","end_type","final_p1_score","final_p2_score","trial_file"
"6x6","6x6-uct-1000","1000","1","2","144","48","NaturalEnd","30115","32598","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0001.trl"
"6x6","6x6-uct-1000","1000","2","2","144","48","NaturalEnd","30120","30193","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0002.trl"
"6x6","6x6-uct-1000","1000","3","2","144","48","NaturalEnd","32819","35227","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0003.trl"
"6x6","6x6-uct-1000","1000","4","1","144","48","NaturalEnd","32820","32675","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0004.trl"
"6x6","6x6-uct-1000","1000","5","2","144","48","NaturalEnd","32673","32680","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0005.trl"
"6x6","6x6-uct-1000","1000","6","2","144","48","NaturalEnd","27266","27413","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0006.trl"
"6x6","6x6-uct-1000","1000","7","2","144","48","NaturalEnd","35379","35381","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0007.trl"
"6x6","6x6-uct-1000","1000","8","2","144","48","NaturalEnd","27491","27492","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0008.trl"
"6x6","6x6-uct-1000","1000","9","2","144","48","NaturalEnd","32450","32674","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0009.trl"
"6x6","6x6-uct-1000","1000","10","2","144","48","NaturalEnd","32675","32749","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0010.trl"
"6x6","6x6-uct-1000","1000","11","2","144","48","NaturalEnd","32820","35378","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0011.trl"
"6x6","6x6-uct-1000","1000","12","1","144","48","NaturalEnd","35302","32674","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0012.trl"
"6x6","6x6-uct-1000","1000","13","2","144","48","NaturalEnd","30045","32599","../issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0013.trl"
