"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","final_board","trial_file"
"6x6-seeded-random","66","560065","SeededRandom","-1","true","NaturalEnd","2","144","48","6010","6231","72","72","48","46","24","26","2","5","2","2","8","11","advantage_objectives","S00:0:0:0|S01:0:1:1|S02:0:1:1|S03:2:0:1|S04:0:2:2|S05:1:2:0|S06:2:0:1|S10:1:2:0|S11:1:1:0|S12:3:3:0|S13:0:0:0|S14:4:0:3|S15:1:2:0|S16:2:0:1|S20:1:2:1|S21:1:2:0|S22:4:0:3|S23:0:0:0|S24:4:1:3|S25:0:1:1|S26:1:2:1|S30:2:1:2|S31:1:1:0|S32:2:1:2|S33:0:1:1|S34:0:0:0|S35:0:2:2|S36:1:1:0|S40:1:1:0|S41:0:0:0|S42:2:0:2|S43:1:1:0|S44:2:0:1|S45:1:1:0|S46:2:0:1|S50:4:0:3|S51:1:2:1|S52:4:2:3|S53:2:0:1|S54:2:0:1|S55:0:1:1|S56:1:2:0|S60:3:3:0|S61:2:0:1|S62:1:2:1|S63:0:1:1|S64:1:1:0|S65:2:1:2|S66:0:1:1|O00:1:1:0|O01:3:3:0|O02:1:2:0|O03:0:0:0|O04:3:3:0|O05:0:0:0|O10:1:1:0|O11:2:0:1|O12:0:1:1|O13:2:0:1|O14:2:1:2|O15:2:0:1|O20:0:0:0|O21:4:1:3|O22:0:0:0|O23:0:0:0|O24:0:0:0|O25:1:1:0|O30:0:1:1|O31:2:1:2|O32:2:0:1|O33:0:1:1|O34:1:2:1|O35:1:2:0|O40:0:1:1|O41:0:0:0|O42:2:0:2|O43:1:1:0|O44:2:0:2|O45:1:1:0|O50:0:0:0|O51:4:0:3|O52:2:0:1|O53:2:0:1|O54:0:0:0|O55:2:0:1","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0066.trl"
"6x6-seeded-random","67","560066","SeededRandom","-1","true","NaturalEnd","1","144","48","6458","3380","72","72","38","50","34","22","1","4","2","1","14","9","secured_objectives","S00:4:1:3|S01:0:1:1|S02:1:1:0|S03:2:0:2|S04:0:0:0|S05:2:0:1|S06:0:1:1|S10:2:1:2|S11:1:2:0|S12:2:0:2|S13:2:0:1|S14:4:1:3|S15:2:0:1|S16:2:0:1|S20:4:1:3|S21:2:0:1|S22:2:0:1|S23:1:1:0|S24:1:2:1|S25:2:0:1|S26:0:1:1|S30:2:1:2|S31:1:1:0|S32:1:2:1|S33:2:0:1|S34:2:0:1|S35:0:0:0|S36:1:2:1|S40:1:2:0|S41:0:1:1|S42:0:1:1|S43:0:1:1|S44:2:0:2|S45:0:0:0|S46:2:0:2|S50:0:0:0|S51:1:2:0|S52:0:1:1|S53:1:2:0|S54:0:2:2|S55:2:0:1|S56:3:3:0|S60:0:0:0|S61:2:0:1|S62:4:0:3|S63:2:0:1|S64:0:2:2|S65:1:1:0|S66:1:1:0|O00:0:1:1|O01:3:3:0|O02:1:1:0|O03:0:0:0|O04:0:0:0|O05:2:0:1|O10:1:1:0|O11:1:2:0|O12:1:1:0|O13:1:2:0|O14:2:0:2|O15:2:0:1|O20:3:3:1|O21:4:0:3|O22:0:1:1|O23:0:2:2|O24:2:0:1|O25:1:2:1|O30:1:1:0|O31:1:2:0|O32:2:0:1|O33:0:0:0|O34:2:0:2|O35:2:0:1|O40:1:2:0|O41:1:1:0|O42:1:2:0|O43:1:1:0|O44:0:0:0|O45:0:0:0|O50:2:1:2|O51:1:2:0|O52:2:0:1|O53:0:1:1|O54:0:0:0|O55:1:2:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0067.trl"
"6x6-seeded-random","68","560067","SeededRandom","-1","true","NaturalEnd","1","144","48","11559","8861","72","72","47","44","25","28","7","4","4","3","10","10","secured_objectives","S00:3:3:0|S01:3:3:0|S02:1:2:1|S03:2:0:1|S04:0:0:0|S05:4:1:3|S06:0:0:0|S10:1:2:0|S11:1:2:0|S12:0:0:0|S13:2:0:2|S14:2:0:1|S15:1:1:0|S16:2:0:1|S20:2:0:1|S21:1:2:1|S22:1:2:1|S23:3:3:1|S24:1:1:0|S25:3:3:2|S26:0:0:0|S30:0:0:0|S31:0:0:0|S32:2:0:1|S33:2:0:1|S34:2:0:2|S35:0:0:0|S36:3:3:0|S40:1:1:0|S41:0:1:1|S42:4:1:3|S43:2:1:2|S44:4:2:3|S45:2:0:1|S46:2:0:1|S50:1:1:0|S51:4:1:3|S52:2:1:2|S53:2:0:2|S54:3:3:1|S55:0:1:1|S56:1:2:1|S60:2:0:1|S61:3:3:0|S62:2:0:1|S63:0:0:0|S64:2:0:2|S65:0:0:0|S66:1:1:0|O00:3:3:0|O01:0:0:0|O02:2:0:1|O03:2:0:1|O04:2:0:1|O05:2:0:1|O10:3:3:0|O11:3:3:0|O12:1:2:1|O13:4:0:3|O14:1:1:0|O15:2:0:1|O20:0:0:0|O21:1:1:0|O22:0:0:0|O23:0:0:0|O24:2:0:1|O25:1:1:0|O30:1:1:0|O31:2:0:2|O32:2:0:2|O33:2:0:2|O34:1:1:0|O35:0:0:0|O40:1:1:0|O41:4:0:3|O42:4:0:3|O43:1:1:0|O44:1:2:1|O45:0:0:0|O50:3:3:2|O51:0:1:1|O52:2:0:2|O53:1:1:0|O54:0:0:0|O55:0:0:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0068.trl"
"6x6-seeded-random","69","560068","SeededRandom","-1","true","NaturalEnd","2","144","48","3461","14198","72","72","42","36","30","36","5","1","1","5","10","9","secured_objectives","S00:0:0:0|S01:0:1:1|S02:0:1:1|S03:0:0:0|S04:2:0:1|S05:3:3:0|S06:0:0:0|S10:3:3:0|S11:1:1:0|S12:2:1:2|S13:0:0:0|S14:1:1:0|S15:2:0:2|S16:2:0:1|S20:1:2:1|S21:2:1:2|S22:3:3:0|S23:2:0:1|S24:1:1:0|S25:0:1:1|S26:1:1:0|S30:0:0:0|S31:2:0:1|S32:2:1:2|S33:2:0:2|S34:2:0:2|S35:1:1:0|S36:3:3:0|S40:1:1:0|S41:2:1:2|S42:4:1:3|S43:2:0:1|S44:0:1:1|S45:2:0:1|S46:2:0:1|S50:0:1:1|S51:1:2:1|S52:0:1:1|S53:1:1:0|S54:2:1:2|S55:2:0:1|S56:0:0:0|S60:0:0:0|S61:1:2:0|S62:0:0:0|S63:1:2:0|S64:3:3:0|S65:2:0:1|S66:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:1:2:0|O04:0:1:1|O05:4:1:3|O10:1:1:0|O11:2:1:2|O12:1:1:0|O13:1:2:0|O14:1:2:0|O15:2:0:1|O20:4:0:3|O21:2:0:2|O22:1:1:0|O23:2:1:2|O24:1:2:0|O25:1:2:0|O30:2:0:2|O31:4:0:3|O32:4:0:3|O33:0:1:1|O34:1:2:0|O35:2:1:2|O40:2:0:2|O41:2:0:1|O42:4:1:3|O43:0:1:1|O44:0:1:1|O45:0:0:0|O50:2:1:2|O51:0:1:1|O52:1:1:0|O53:3:3:0|O54:0:0:0|O55:0:0:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0069.trl"
"6x6-seeded-random","70","560069","SeededRandom","-1","true","NaturalEnd","2","144","48","6159","11564","72","72","45","42","27","30","6","4","2","4","10","10","secured_objectives","S00:3:3:2|S01:0:0:0|S02:3:3:0|S03:1:2:1|S04:3:3:0|S05:0:0:0|S06:2:0:1|S10:2:1:2|S11:0:0:0|S12:0:1:1|S13:0:0:0|S14:0:1:1|S15:0:0:0|S16:0:0:0|S20:2:0:1|S21:3:3:2|S22:0:0:0|S23:1:1:0|S24:2:1:2|S25:0:1:1|S26:0:1:1|S30:3:3:0|S31:0:1:1|S32:2:0:1|S33:1:1:0|S34:0:0:0|S35:4:0:3|S36:2:1:2|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:2:0:2|S44:4:1:3|S45:2:0:1|S46:1:2:0|S50:0:1:1|S51:1:2:0|S52:1:1:0|S53:4:1:3|S54:0:1:1|S55:3:3:1|S56:2:0:1|S60:2:1:2|S61:0:0:0|S62:1:2:0|S63:1:2:1|S64:4:0:3|S65:2:0:1|S66:1:1:0|O00:4:1:3|O01:1:1:0|O02:1:1:0|O03:0:0:0|O04:1:1:0|O05:2:0:1|O10:2:0:2|O11:0:0:0|O12:2:1:2|O13:1:1:0|O14:2:0:1|O15:2:0:1|O20:1:2:1|O21:0:0:0|O22:1:2:0|O23:1:1:0|O24:2:0:2|O25:2:0:2|O30:0:0:0|O31:0:0:0|O32:0:1:1|O33:0:0:0|O34:2:0:1|O35:4:0:3|O40:0:1:1|O41:1:1:0|O42:4:2:3|O43:0:0:0|O44:2:0:1|O45:3:3:0|O50:4:1:3|O51:3:3:0|O52:1:2:0|O53:0:0:0|O54:2:0:2|O55:1:2:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0070.trl"
