"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","final_board","trial_file"
"6x6-seeded-random","96","560095","SeededRandom","-1","true","NaturalEnd","1","144","48","8932","8931","72","72","46","47","26","25","2","4","3","3","11","11","objective_pieces","S00:2:0:2|S01:1:1:0|S02:0:0:0|S03:2:0:1|S04:2:0:1|S05:3:3:0|S06:1:2:1|S10:0:2:2|S11:2:0:1|S12:1:1:0|S13:2:0:1|S14:2:1:2|S15:1:2:0|S16:1:2:1|S20:4:1:3|S21:4:0:3|S22:0:1:1|S23:0:1:1|S24:3:3:0|S25:1:2:1|S26:1:1:0|S30:4:0:3|S31:0:1:1|S32:1:1:0|S33:2:1:2|S34:1:2:0|S35:1:1:0|S36:1:2:1|S40:0:0:0|S41:0:2:2|S42:0:2:2|S43:0:1:1|S44:1:1:0|S45:2:1:2|S46:0:0:0|S50:4:1:3|S51:2:0:1|S52:1:2:0|S53:0:0:0|S54:2:0:1|S55:2:0:2|S56:2:0:1|S60:2:0:1|S61:1:1:0|S62:0:0:0|S63:2:1:2|S64:1:2:0|S65:2:0:1|S66:1:1:0|O00:2:0:2|O01:1:1:0|O02:2:0:1|O03:2:0:1|O04:1:1:0|O05:3:3:0|O10:4:0:3|O11:2:0:2|O12:2:0:1|O13:0:0:0|O14:1:1:0|O15:3:3:0|O20:2:0:1|O21:4:0:3|O22:2:0:1|O23:0:1:1|O24:1:2:0|O25:1:2:0|O30:1:2:1|O31:3:3:0|O32:2:0:1|O33:2:0:2|O34:0:0:0|O35:1:1:0|O40:4:1:3|O41:1:2:0|O42:1:1:0|O43:0:0:0|O44:2:0:1|O45:0:0:0|O50:0:0:0|O51:1:1:0|O52:0:0:0|O53:0:0:0|O54:1:1:0|O55:2:0:1","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0096.trl"
"6x6-seeded-random","97","560096","SeededRandom","-1","true","NaturalEnd","1","144","48","11343","9008","72","72","44","43","28","29","3","1","4","3","7","12","secured_objectives","S00:2:1:2|S01:1:2:0|S02:2:0:1|S03:1:1:0|S04:2:1:2|S05:0:0:0|S06:0:1:1|S10:2:0:1|S11:2:1:2|S12:2:0:2|S13:0:1:1|S14:0:0:0|S15:0:1:1|S16:2:0:2|S20:3:3:0|S21:1:2:1|S22:0:0:0|S23:0:2:2|S24:1:1:0|S25:2:1:2|S26:0:2:2|S30:2:0:1|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:1:1:0|S35:2:0:2|S36:3:3:2|S40:1:2:1|S41:2:0:2|S42:0:1:1|S43:0:1:1|S44:1:2:0|S45:2:0:2|S46:0:0:0|S50:1:1:0|S51:1:2:1|S52:1:2:0|S53:0:1:1|S54:2:0:1|S55:1:1:0|S56:0:0:0|S60:2:0:1|S61:0:1:1|S62:0:0:0|S63:3:3:0|S64:1:2:0|S65:4:0:3|S66:0:1:1|O00:2:0:1|O01:2:0:1|O02:2:0:1|O03:4:0:3|O04:2:0:1|O05:2:0:1|O10:2:0:2|O11:2:0:1|O12:4:0:3|O13:1:1:0|O14:0:0:0|O15:2:0:1|O20:1:2:0|O21:1:2:0|O22:1:1:0|O23:3:3:0|O24:4:1:3|O25:3:3:0|O30:0:1:1|O31:2:0:1|O32:0:0:0|O33:3:3:0|O34:0:0:0|O35:2:0:2|O40:0:2:2|O41:2:0:1|O42:1:1:0|O43:0:0:0|O44:1:1:0|O45:0:1:1|O50:2:1:2|O51:0:0:0|O52:1:1:0|O53:0:0:0|O54:3:3:0|O55:0:1:1","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0097.trl"
"6x6-seeded-random","98","560097","SeededRandom","-1","true","NaturalEnd","2","144","48","8783","11489","72","72","49","44","23","28","4","2","3","4","9","9","secured_objectives","S00:0:0:0|S01:2:1:2|S02:2:0:2|S03:1:2:0|S04:1:1:0|S05:3:3:0|S06:0:1:1|S10:2:1:2|S11:0:0:0|S12:1:1:0|S13:2:0:1|S14:2:0:2|S15:0:2:2|S16:3:3:2|S20:1:1:0|S21:0:1:1|S22:2:0:1|S23:0:1:1|S24:2:1:2|S25:1:1:0|S26:4:0:3|S30:0:1:1|S31:1:1:0|S32:1:1:0|S33:0:1:1|S34:2:0:2|S35:2:1:2|S36:0:0:0|S40:2:1:2|S41:4:0:3|S42:0:1:1|S43:0:0:0|S44:1:2:0|S45:0:1:1|S46:0:1:1|S50:1:1:0|S51:0:1:1|S52:1:2:0|S53:2:0:1|S54:0:0:0|S55:3:3:1|S56:1:2:1|S60:1:1:0|S61:2:0:1|S62:0:1:1|S63:0:0:0|S64:1:2:0|S65:3:3:1|S66:1:2:1|O00:2:0:2|O01:0:0:0|O02:1:1:0|O03:0:1:1|O04:1:1:0|O05:0:0:0|O10:4:0:3|O11:2:0:1|O12:1:1:0|O13:4:0:3|O14:0:0:0|O15:3:3:0|O20:2:0:2|O21:2:0:2|O22:0:0:0|O23:4:0:3|O24:4:0:3|O25:2:1:2|O30:3:3:0|O31:0:0:0|O32:0:0:0|O33:2:0:1|O34:2:0:1|O35:2:0:1|O40:1:2:1|O41:2:0:1|O42:1:1:0|O43:0:0:0|O44:3:3:0|O45:1:1:0|O50:1:1:0|O51:1:2:0|O52:0:1:1|O53:0:0:0|O54:0:0:0|O55:1:1:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0098.trl"
"6x6-seeded-random","99","560098","SeededRandom","-1","true","NaturalEnd","1","144","48","8864","8863","72","72","41","42","31","30","3","3","3","3","10","10","objective_pieces","S00:2:0:1|S01:0:0:0|S02:2:0:1|S03:0:1:1|S04:0:1:1|S05:2:1:2|S06:2:0:1|S10:3:3:0|S11:1:1:0|S12:1:1:0|S13:4:1:3|S14:2:0:2|S15:0:1:1|S16:1:1:0|S20:0:0:0|S21:0:1:1|S22:2:0:2|S23:1:2:0|S24:4:2:3|S25:0:1:1|S26:0:0:0|S30:1:2:0|S31:3:3:1|S32:4:2:3|S33:1:2:1|S34:2:0:2|S35:1:2:0|S36:0:1:1|S40:2:0:1|S41:2:0:1|S42:2:0:1|S43:0:0:0|S44:0:0:0|S45:0:0:0|S46:1:2:1|S50:3:3:0|S51:2:0:1|S52:1:1:0|S53:0:1:1|S54:1:1:0|S55:1:1:0|S56:2:0:1|S60:2:1:2|S61:2:0:1|S62:2:0:1|S63:2:0:1|S64:2:0:2|S65:1:2:0|S66:0:0:0|O00:1:1:0|O01:0:0:0|O02:0:1:1|O03:2:0:2|O04:1:2:1|O05:1:1:0|O10:3:3:1|O11:0:0:0|O12:1:2:0|O13:2:0:1|O14:2:0:1|O15:0:0:0|O20:0:0:0|O21:2:0:1|O22:0:1:1|O23:2:0:2|O24:3:3:0|O25:1:1:0|O30:2:1:2|O31:2:0:1|O32:0:0:0|O33:2:1:2|O34:0:0:0|O35:3:3:0|O40:4:0:3|O41:4:1:3|O42:2:1:2|O43:1:1:0|O44:1:1:0|O45:2:0:1|O50:0:1:1|O51:0:1:1|O52:1:2:0|O53:4:1:3|O54:1:1:0|O55:1:1:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0099.trl"
"6x6-seeded-random","100","560099","SeededRandom","-1","true","NaturalEnd","1","144","48","8635","6157","72","72","51","47","21","25","3","2","3","2","7","10","secured_objectives","S00:3:3:0|S01:0:1:1|S02:0:0:0|S03:2:0:1|S04:0:2:2|S05:2:1:2|S06:4:0:3|S10:2:1:2|S11:2:0:2|S12:2:0:2|S13:2:0:1|S14:0:1:1|S15:2:0:1|S16:0:0:0|S20:1:1:0|S21:2:0:2|S22:1:2:0|S23:1:2:0|S24:0:0:0|S25:0:1:1|S26:0:1:1|S30:1:2:0|S31:0:0:0|S32:0:2:2|S33:1:2:0|S34:1:2:1|S35:2:1:2|S36:1:2:1|S40:0:2:2|S41:0:1:1|S42:4:0:3|S43:2:1:2|S44:1:2:0|S45:0:0:0|S46:0:0:0|S50:0:0:0|S51:2:1:2|S52:3:3:0|S53:0:0:0|S54:1:2:0|S55:2:1:2|S56:3:3:2|S60:0:0:0|S61:1:1:0|S62:1:2:0|S63:0:1:1|S64:2:1:2|S65:0:2:2|S66:1:1:0|O00:2:0:1|O01:0:0:0|O02:2:0:1|O03:4:0:3|O04:2:0:2|O05:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O14:0:0:0|O15:0:0:0|O20:2:0:1|O21:2:0:1|O22:1:2:0|O23:0:0:0|O24:2:0:2|O25:1:1:0|O30:1:1:0|O31:2:0:2|O32:4:0:3|O33:1:1:0|O34:0:0:0|O35:1:1:0|O40:2:0:1|O41:2:0:2|O42:3:3:0|O43:0:1:1|O44:0:0:0|O45:0:1:1|O50:0:1:1|O51:3:3:0|O52:3:3:0|O53:0:0:0|O54:0:1:1|O55:1:1:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0100.trl"
