"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","final_board","trial_file"
"6x6-seeded-random","41","560040","SeededRandom","-1","true","NaturalEnd","2","144","48","8933","11411","72","72","45","49","27","23","1","5","3","4","11","8","secured_objectives","S00:4:2:3|S01:0:2:2|S02:1:1:0|S03:0:0:0|S04:1:2:1|S05:1:1:0|S06:4:1:3|S10:1:2:0|S11:1:1:0|S12:2:0:2|S13:2:0:1|S14:1:1:0|S15:0:0:0|S16:2:0:2|S20:0:1:1|S21:0:0:0|S22:2:0:1|S23:0:1:1|S24:0:1:1|S25:0:1:1|S26:2:0:2|S30:1:1:0|S31:1:2:0|S32:0:0:0|S33:1:2:0|S34:1:1:0|S35:0:0:0|S36:3:3:0|S40:0:0:0|S41:0:1:1|S42:2:0:2|S43:0:1:1|S44:0:1:1|S45:0:2:2|S46:0:0:0|S50:2:1:2|S51:1:2:1|S52:1:2:1|S53:4:0:3|S54:0:1:1|S55:0:2:2|S56:1:1:0|S60:4:0:3|S61:1:1:0|S62:1:1:0|S63:2:1:2|S64:2:1:2|S65:4:0:3|S66:0:1:1|O00:1:1:0|O01:3:3:0|O02:2:0:1|O03:1:2:0|O04:1:1:0|O05:4:1:3|O10:3:3:0|O11:2:0:1|O12:2:0:1|O13:0:1:1|O14:1:1:0|O15:1:2:0|O20:1:1:0|O21:2:0:1|O22:1:2:0|O23:2:0:1|O24:1:1:0|O25:1:2:0|O30:0:0:0|O31:4:0:3|O32:2:0:2|O33:0:0:0|O34:1:1:0|O35:0:0:0|O40:4:0:3|O41:2:0:1|O42:0:0:0|O43:0:0:0|O44:1:1:0|O45:3:3:0|O50:0:1:1|O51:0:0:0|O52:0:0:0|O53:2:0:1|O54:4:0:3|O55:0:0:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0041.trl"
"6x6-seeded-random","42","560041","SeededRandom","-1","true","NaturalEnd","1","144","48","9011","6014","72","72","40","44","32","28","2","6","3","2","12","8","secured_objectives","S00:0:1:1|S01:1:2:0|S02:0:0:0|S03:1:2:0|S04:2:0:2|S05:2:0:1|S06:1:2:0|S10:0:0:0|S11:1:1:0|S12:0:0:0|S13:0:0:0|S14:4:1:3|S15:0:2:2|S16:1:2:1|S20:4:0:3|S21:1:1:0|S22:1:1:0|S23:4:0:3|S24:3:3:1|S25:1:2:0|S26:4:0:3|S30:0:0:0|S31:4:2:3|S32:1:1:0|S33:1:2:0|S34:0:0:0|S35:2:0:1|S36:2:1:2|S40:1:1:0|S41:0:1:1|S42:2:0:1|S43:1:1:0|S44:4:0:3|S45:1:1:0|S46:2:1:2|S50:3:3:1|S51:2:1:2|S52:0:1:1|S53:0:0:0|S54:2:0:2|S55:1:1:0|S56:0:0:0|S60:1:2:0|S61:2:0:1|S62:0:1:1|S63:0:0:0|S64:2:0:1|S65:2:0:1|S66:2:0:1|O00:1:1:0|O01:0:0:0|O02:0:0:0|O03:0:2:2|O04:2:0:2|O05:1:1:0|O10:2:0:1|O11:0:0:0|O12:2:0:1|O13:2:0:2|O14:4:0:3|O15:0:0:0|O20:2:0:1|O21:4:0:3|O22:0:1:1|O23:2:1:2|O24:3:3:1|O25:1:2:1|O30:0:0:0|O31:2:0:2|O32:3:3:0|O33:3:3:2|O34:0:0:0|O35:0:1:1|O40:1:2:0|O41:1:1:0|O42:2:1:2|O43:1:1:0|O44:1:2:1|O45:1:1:0|O50:1:2:0|O51:1:1:0|O52:0:0:0|O53:0:0:0|O54:1:2:0|O55:1:1:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0042.trl"
"6x6-seeded-random","43","560042","SeededRandom","-1","true","NaturalEnd","1","144","48","6085","3604","72","72","46","45","26","27","3","4","2","1","9","12","secured_objectives","S00:2:0:1|S01:0:1:1|S02:2:0:1|S03:4:1:3|S04:2:0:1|S05:0:0:0|S06:1:2:1|S10:1:2:1|S11:2:0:1|S12:0:1:1|S13:4:1:3|S14:1:2:1|S15:1:2:0|S16:0:0:0|S20:4:1:3|S21:2:1:2|S22:0:0:0|S23:0:0:0|S24:2:0:1|S25:2:0:1|S26:0:0:0|S30:1:1:0|S31:1:2:0|S32:1:1:0|S33:0:0:0|S34:0:1:1|S35:0:1:1|S36:2:0:1|S40:1:2:0|S41:0:0:0|S42:1:2:0|S43:2:1:2|S44:0:0:0|S45:1:2:1|S46:2:1:2|S50:2:0:1|S51:1:2:1|S52:0:1:1|S53:0:1:1|S54:0:0:0|S55:1:1:0|S56:0:1:1|S60:3:3:1|S61:2:0:1|S62:3:3:2|S63:4:1:3|S64:1:2:1|S65:3:3:2|S66:0:0:0|O00:2:0:2|O01:1:2:1|O02:2:0:1|O03:4:0:3|O04:3:3:0|O05:0:0:0|O10:2:1:2|O11:2:0:1|O12:0:0:0|O13:2:0:1|O14:1:2:0|O15:0:0:0|O20:1:1:0|O21:0:0:0|O22:0:0:0|O23:2:0:2|O24:0:1:1|O25:0:0:0|O30:3:3:0|O31:1:1:0|O32:0:1:1|O33:2:0:2|O34:1:1:0|O35:0:1:1|O40:1:2:1|O41:2:0:1|O42:2:1:2|O43:2:0:1|O44:0:0:0|O45:1:1:0|O50:1:2:0|O51:2:0:1|O52:0:1:1|O53:2:1:2|O54:1:1:0|O55:0:0:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0043.trl"
"6x6-seeded-random","44","560043","SeededRandom","-1","true","NaturalEnd","2","144","48","3458","8862","72","72","45","43","27","29","2","3","1","3","10","10","secured_objectives","S00:2:0:1|S01:0:1:1|S02:1:1:0|S03:1:1:0|S04:0:1:1|S05:0:0:0|S06:0:0:0|S10:1:2:0|S11:1:1:0|S12:0:1:1|S13:4:0:3|S14:1:1:0|S15:2:0:2|S16:1:2:0|S20:1:2:0|S21:2:0:1|S22:2:0:1|S23:1:1:0|S24:4:0:3|S25:0:1:1|S26:0:1:1|S30:1:1:0|S31:1:1:0|S32:1:2:1|S33:0:2:2|S34:1:2:0|S35:1:1:0|S36:1:2:0|S40:2:1:2|S41:1:1:0|S42:2:0:1|S43:1:2:1|S44:2:0:1|S45:0:0:0|S46:4:1:3|S50:3:3:1|S51:3:3:1|S52:0:1:1|S53:2:0:1|S54:2:0:1|S55:2:0:1|S56:1:2:1|S60:0:1:1|S61:2:0:2|S62:2:0:2|S63:1:1:0|S64:2:0:1|S65:2:0:1|S66:0:2:2|O00:1:2:1|O01:0:0:0|O02:1:1:0|O03:0:1:1|O04:0:1:1|O05:2:0:2|O10:3:3:0|O11:2:0:2|O12:1:2:0|O13:2:0:1|O14:0:1:1|O15:2:0:1|O20:1:1:0|O21:0:0:0|O22:1:2:0|O23:0:1:1|O24:1:1:0|O25:0:0:0|O30:0:0:0|O31:1:2:0|O32:2:0:1|O33:2:1:2|O34:0:0:0|O35:1:2:0|O40:0:0:0|O41:0:0:0|O42:2:0:2|O43:2:0:1|O44:2:0:1|O45:1:2:0|O50:4:2:3|O51:4:0:3|O52:2:0:1|O53:0:1:1|O54:4:0:3|O55:1:1:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0044.trl"
"6x6-seeded-random","45","560044","SeededRandom","-1","true","NaturalEnd","2","144","48","3681","6015","72","72","41","43","31","29","2","4","1","2","13","8","secured_objectives","S00:1:2:0|S01:2:0:1|S02:3:3:0|S03:0:1:1|S04:0:0:0|S05:2:0:1|S06:0:0:0|S10:1:2:1|S11:1:1:0|S12:2:0:1|S13:0:1:1|S14:0:1:1|S15:0:0:0|S16:4:2:3|S20:0:1:1|S21:1:2:1|S22:1:1:0|S23:1:1:0|S24:2:0:1|S25:0:0:0|S26:2:0:1|S30:1:2:1|S31:2:1:2|S32:2:1:2|S33:1:2:1|S34:2:0:1|S35:1:1:0|S36:4:0:3|S40:1:2:1|S41:2:0:1|S42:1:1:0|S43:2:0:1|S44:2:0:1|S45:0:0:0|S46:2:1:2|S50:1:2:0|S51:1:1:0|S52:0:0:0|S53:3:3:1|S54:0:1:1|S55:1:1:0|S56:0:1:1|S60:0:0:0|S61:4:1:3|S62:0:0:0|S63:2:1:2|S64:0:0:0|S65:2:1:2|S66:4:0:3|O00:1:2:1|O01:1:2:1|O02:4:1:3|O03:4:0:3|O04:0:0:0|O05:0:0:0|O10:3:3:2|O11:1:2:1|O12:2:0:1|O13:0:1:1|O14:2:0:1|O15:2:0:1|O20:2:0:1|O21:2:0:1|O22:1:1:0|O23:0:1:1|O24:0:0:0|O25:2:0:1|O30:1:2:1|O31:2:0:1|O32:0:0:0|O33:0:0:0|O34:0:1:1|O35:1:1:0|O40:1:2:1|O41:1:1:0|O42:1:1:0|O43:0:2:2|O44:0:2:2|O45:0:0:0|O50:1:2:0|O51:1:1:0|O52:0:0:0|O53:1:2:0|O54:1:1:0|O55:2:0:2","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0045.trl"
