"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","final_board","trial_file"
"6x6-seeded-random","11","560010","SeededRandom","-1","true","NaturalEnd","1","144","48","8862","6159","72","72","43","45","29","27","4","2","3","2","10","10","secured_objectives","S00:1:2:0|S01:0:1:1|S02:2:1:2|S03:4:0:3|S04:2:0:1|S05:2:0:1|S06:0:1:1|S10:0:1:1|S11:0:0:0|S12:2:0:1|S13:1:2:0|S14:3:3:1|S15:0:0:0|S16:2:1:2|S20:2:0:2|S21:3:3:1|S22:0:0:0|S23:1:1:0|S24:0:0:0|S25:1:1:0|S26:0:1:1|S30:0:1:1|S31:2:0:1|S32:1:1:0|S33:0:1:1|S34:2:0:1|S35:0:1:1|S36:0:0:0|S40:0:2:2|S41:1:2:1|S42:1:2:0|S43:2:1:2|S44:1:1:0|S45:3:3:1|S46:4:0:3|S50:0:0:0|S51:0:1:1|S52:2:0:1|S53:3:3:1|S54:0:0:0|S55:1:2:0|S56:0:1:1|S60:2:1:2|S61:2:0:2|S62:0:1:1|S63:2:0:1|S64:2:0:1|S65:0:1:1|S66:2:0:1|O00:0:1:1|O01:0:1:1|O02:2:0:2|O03:1:2:0|O04:1:1:0|O05:0:0:0|O10:2:0:2|O11:2:0:1|O12:2:0:1|O13:1:1:0|O14:3:3:0|O15:3:3:0|O20:4:0:3|O21:2:0:1|O22:0:0:0|O23:1:1:0|O24:0:0:0|O25:0:0:0|O30:4:1:3|O31:1:2:0|O32:1:1:0|O33:2:1:2|O34:3:3:1|O35:2:1:2|O40:1:1:0|O41:1:1:0|O42:0:1:1|O43:1:1:0|O44:0:1:1|O45:0:0:0|O50:2:0:2|O51:0:0:0|O52:2:1:2|O53:1:1:0|O54:0:0:0|O55:2:0:1","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0011.trl"
"6x6-seeded-random","12","560011","SeededRandom","-1","true","NaturalEnd","1","144","48","11417","3826","72","72","43","42","29","30","3","3","4","1","8","15","secured_objectives","S00:2:1:2|S01:0:1:1|S02:0:1:1|S03:2:1:2|S04:2:0:2|S05:0:0:0|S06:2:0:1|S10:1:2:0|S11:2:0:1|S12:2:0:1|S13:1:2:0|S14:4:1:3|S15:2:1:2|S16:1:1:0|S20:2:0:2|S21:0:0:0|S22:0:0:0|S23:0:1:1|S24:0:1:1|S25:0:0:0|S26:0:0:0|S30:2:0:2|S31:2:0:1|S32:0:0:0|S33:1:1:0|S34:4:0:3|S35:1:2:0|S36:0:1:1|S40:0:2:2|S41:2:0:2|S42:1:2:1|S43:1:1:0|S44:1:1:0|S45:1:2:0|S46:3:3:0|S50:0:0:0|S51:2:0:1|S52:3:3:0|S53:1:1:0|S54:0:0:0|S55:0:2:2|S56:4:1:3|S60:1:1:0|S61:0:0:0|S62:3:3:2|S63:1:2:0|S64:1:1:0|S65:0:1:1|S66:2:0:1|O00:0:0:0|O01:2:0:2|O02:2:0:2|O03:4:0:3|O04:2:0:2|O05:2:1:2|O10:2:0:1|O11:2:0:2|O12:3:3:0|O13:2:1:2|O14:0:0:0|O15:0:0:0|O20:2:0:2|O21:2:0:1|O22:1:1:0|O23:2:0:1|O24:2:0:2|O25:0:0:0|O30:2:0:1|O31:2:0:1|O32:3:3:0|O33:3:3:0|O34:2:1:2|O35:0:1:1|O40:0:0:0|O41:0:1:1|O42:1:1:0|O43:1:1:0|O44:1:2:0|O45:1:2:0|O50:0:0:0|O51:1:2:0|O52:3:3:0|O53:1:1:0|O54:1:1:0|O55:2:1:2","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0012.trl"
"6x6-seeded-random","13","560012","SeededRandom","-1","true","NaturalEnd","1","144","48","14191","6309","72","72","43","41","29","31","3","3","5","2","9","12","secured_objectives","S00:2:0:1|S01:1:1:0|S02:1:2:1|S03:4:0:3|S04:1:2:0|S05:1:1:0|S06:2:0:2|S10:2:1:2|S11:1:2:0|S12:3:3:0|S13:0:0:0|S14:2:0:1|S15:1:2:1|S16:2:0:1|S20:0:0:0|S21:4:0:3|S22:2:0:1|S23:2:0:1|S24:0:1:1|S25:1:2:0|S26:2:0:2|S30:2:0:1|S31:1:1:0|S32:0:0:0|S33:1:2:1|S34:1:2:1|S35:1:1:0|S36:2:0:1|S40:2:1:2|S41:0:0:0|S42:2:0:1|S43:1:1:0|S44:2:0:1|S45:4:0:3|S46:0:0:0|S50:3:3:1|S51:2:1:2|S52:2:1:2|S53:0:0:0|S54:3:3:0|S55:1:2:0|S56:0:1:1|S60:0:1:1|S61:1:1:0|S62:2:0:1|S63:1:1:0|S64:0:0:0|S65:1:2:1|S66:1:2:1|O00:1:2:1|O01:1:2:1|O02:3:3:1|O03:2:0:2|O04:1:2:0|O05:1:1:0|O10:2:0:2|O11:3:3:1|O12:2:0:1|O13:2:0:2|O14:2:0:2|O15:4:0:3|O20:1:2:0|O21:4:0:3|O22:2:0:2|O23:2:0:1|O24:3:3:1|O25:2:0:2|O30:0:0:0|O31:1:1:0|O32:0:0:0|O33:2:0:2|O34:2:0:1|O35:0:0:0|O40:0:0:0|O41:0:0:0|O42:0:1:1|O43:2:0:1|O44:1:1:0|O45:0:0:0|O50:1:1:0|O51:2:0:1|O52:0:0:0|O53:1:1:0|O54:3:3:0|O55:3:3:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0013.trl"
"6x6-seeded-random","14","560013","SeededRandom","-1","true","NaturalEnd","2","144","48","6086","11493","72","72","45","40","27","32","3","2","2","4","9","9","secured_objectives","S00:0:0:0|S01:0:2:2|S02:2:1:2|S03:0:0:0|S04:1:1:0|S05:2:0:1|S06:2:0:1|S10:1:1:0|S11:3:3:0|S12:0:0:0|S13:2:0:1|S14:0:2:2|S15:0:1:1|S16:1:2:1|S20:0:1:1|S21:2:0:1|S22:0:1:1|S23:1:1:0|S24:3:3:0|S25:2:0:1|S26:4:2:3|S30:1:1:0|S31:2:0:1|S32:0:0:0|S33:1:2:0|S34:1:1:0|S35:2:1:2|S36:1:2:1|S40:1:2:1|S41:0:1:1|S42:0:1:1|S43:1:1:0|S44:2:1:2|S45:1:2:0|S46:1:2:0|S50:2:0:1|S51:0:0:0|S52:1:1:0|S53:4:0:3|S54:2:0:2|S55:0:0:0|S56:2:0:1|S60:2:0:2|S61:2:0:1|S62:0:0:0|S63:0:1:1|S64:2:0:1|S65:1:2:0|S66:3:3:1|O00:2:0:2|O01:4:0:3|O02:2:0:1|O03:0:0:0|O04:1:2:0|O05:1:2:0|O10:2:0:1|O11:0:0:0|O12:0:0:0|O13:0:1:1|O14:1:2:0|O15:0:1:1|O20:2:0:2|O21:2:0:1|O22:3:3:0|O23:3:3:0|O24:2:1:2|O25:0:0:0|O30:1:2:1|O31:0:0:0|O32:1:1:0|O33:1:1:0|O34:1:1:0|O35:4:1:3|O40:0:0:0|O41:2:0:1|O42:4:0:3|O43:2:0:1|O44:2:0:2|O45:0:0:0|O50:4:0:3|O51:0:0:0|O52:0:1:1|O53:0:1:1|O54:1:2:1|O55:1:2:1","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0014.trl"
"6x6-seeded-random","15","560014","SeededRandom","-1","true","NaturalEnd","1","144","48","11565","6382","72","72","41","41","31","31","3","3","4","2","10","13","secured_objectives","S00:1:1:0|S01:0:1:1|S02:4:1:3|S03:1:1:0|S04:2:0:2|S05:0:1:1|S06:1:1:0|S10:0:0:0|S11:1:2:1|S12:1:2:0|S13:0:0:0|S14:2:0:1|S15:0:0:0|S16:1:1:0|S20:2:0:2|S21:3:3:2|S22:2:0:1|S23:0:1:1|S24:0:0:0|S25:0:0:0|S26:1:2:1|S30:2:0:2|S31:4:2:3|S32:0:1:1|S33:2:0:2|S34:0:0:0|S35:2:0:2|S36:0:0:0|S40:4:0:3|S41:1:2:0|S42:1:2:1|S43:1:1:0|S44:0:1:1|S45:2:0:2|S46:1:2:0|S50:1:2:1|S51:0:0:0|S52:2:1:2|S53:2:0:1|S54:3:3:0|S55:2:0:1|S56:2:0:2|S60:3:3:0|S61:0:1:1|S62:0:0:0|S63:1:2:0|S64:0:0:0|S65:0:0:0|S66:1:1:0|O00:0:0:0|O01:1:2:1|O02:2:0:1|O03:2:0:1|O04:2:0:1|O05:1:1:0|O10:1:2:0|O11:1:1:0|O12:1:1:0|O13:2:0:2|O14:2:0:2|O15:1:2:0|O20:0:2:2|O21:0:2:2|O22:2:0:1|O23:0:0:0|O24:0:0:0|O25:3:3:0|O30:2:0:2|O31:2:0:1|O32:4:0:3|O33:2:0:1|O34:2:0:1|O35:2:0:2|O40:3:3:0|O41:3:3:1|O42:4:0:3|O43:2:0:2|O44:1:1:0|O45:1:2:1|O50:3:3:0|O51:0:0:0|O52:2:0:1|O53:1:2:0|O54:0:0:0|O55:1:1:0","experiments/issue-56/results/trials/6x6-seeded-random/6x6-seeded-random-0015.trl"
