"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","1","S60","supply","","HL"
"7x7","7x7-seeded-random","-1","1","1","0.020833","2","1","S04","supply","","LM"
"7x7","7x7-seeded-random","-1","1","1","0.020833","3","1","S24","supply","","LM"
"7x7","7x7-seeded-random","-1","1","2","0.041667","1","2","S05","supply","","LH"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","2","S67","supply","","HH"
"7x7","7x7-seeded-random","-1","1","2","0.041667","3","2","S04","supply","","LM"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","1","S60","supply","","HL"
"7x7","7x7-seeded-random","-1","1","3","0.062500","2","1","S56","supply","","HH"
"7x7","7x7-seeded-random","-1","1","3","0.062500","3","1","S24","supply","","LM"
"7x7","7x7-seeded-random","-1","1","4","0.083333","1","2","S40","supply","","ML"
"7x7","7x7-seeded-random","-1","1","4","0.083333","2","2","S16","supply","","LH"
"7x7","7x7-seeded-random","-1","1","4","0.083333","3","2","S57","supply","","HH"
"7x7","7x7-seeded-random","-1","1","5","0.104167","1","1","S56","supply","","HH"
"7x7","7x7-seeded-random","-1","1","5","0.104167","2","1","S00","supply","","LL"
"7x7","7x7-seeded-random","-1","1","5","0.104167","3","1","S46","supply","","MH"
"7x7","7x7-seeded-random","-1","1","6","0.125000","1","2","S31","supply","","ML"
"7x7","7x7-seeded-random","-1","1","6","0.125000","2","2","S53","supply","","HM"
"7x7","7x7-seeded-random","-1","1","6","0.125000","3","2","S76","supply","","HH"
"7x7","7x7-seeded-random","-1","1","7","0.145833","1","1","S71","supply","","HL"
"7x7","7x7-seeded-random","-1","1","7","0.145833","2","1","S23","supply","","LM"
"7x7","7x7-seeded-random","-1","1","7","0.145833","3","1","S15","supply","","LH"
"7x7","7x7-seeded-random","-1","1","8","0.166667","1","2","S14","supply","","LM"
"7x7","7x7-seeded-random","-1","1","8","0.166667","2","2","S42","supply","","ML"
"7x7","7x7-seeded-random","-1","1","8","0.166667","3","2","S40","supply","","ML"
"7x7","7x7-seeded-random","-1","1","9","0.187500","1","1","O45","objective","S46","MH"
"7x7","7x7-seeded-random","-1","1","9","0.187500","2","1","S70","supply","","HL"
"7x7","7x7-seeded-random","-1","1","9","0.187500","3","1","S45","supply","","MH"
"7x7","7x7-seeded-random","-1","1","10","0.208333","1","2","S44","supply","","MM"
"7x7","7x7-seeded-random","-1","1","10","0.208333","2","2","O13","objective","S14","LM"
"7x7","7x7-seeded-random","-1","1","10","0.208333","3","2","S77","supply","","HH"
"7x7","7x7-seeded-random","-1","1","11","0.229167","1","1","S41","supply","","ML"
"7x7","7x7-seeded-random","-1","1","11","0.229167","2","1","S20","supply","","LL"
"7x7","7x7-seeded-random","-1","1","11","0.229167","3","1","S56","supply","","HH"
"7x7","7x7-seeded-random","-1","1","12","0.250000","1","2","S00","supply","","LL"
"7x7","7x7-seeded-random","-1","1","12","0.250000","2","2","S40","supply","","ML"
"7x7","7x7-seeded-random","-1","1","12","0.250000","3","2","O05","objective","S05","LH"
"7x7","7x7-seeded-random","-1","1","13","0.270833","1","1","O45","objective","S56","MH"
"7x7","7x7-seeded-random","-1","1","13","0.270833","2","1","O50","objective","S60","HL"
"7x7","7x7-seeded-random","-1","1","13","0.270833","3","1","O05","objective","S15","LH"
"7x7","7x7-seeded-random","-1","1","14","0.291667","1","2","O34","objective","S44","MM"
"7x7","7x7-seeded-random","-1","1","14","0.291667","2","2","S11","supply","","LL"
"7x7","7x7-seeded-random","-1","1","14","0.291667","3","2","S03","supply","","LM"
"7x7","7x7-seeded-random","-1","1","15","0.312500","1","1","S34","supply","","MM"
"7x7","7x7-seeded-random","-1","1","15","0.312500","2","1","S02","supply","","LL"
"7x7","7x7-seeded-random","-1","1","15","0.312500","3","1","S62","supply","","HL"
"7x7","7x7-seeded-random","-1","1","16","0.333333","1","2","O41","objective","S42","ML"
"7x7","7x7-seeded-random","-1","1","16","0.333333","2","2","S26","supply","","LH"
"7x7","7x7-seeded-random","-1","1","16","0.333333","3","2","S55","supply","","HH"
"7x7","7x7-seeded-random","-1","1","17","0.354167","1","1","S21","supply","","LL"
"7x7","7x7-seeded-random","-1","1","17","0.354167","2","1","S23","supply","","LM"
"7x7","7x7-seeded-random","-1","1","17","0.354167","3","1","O45","objective","S46","MH"
