"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","region","legal_target_count","total_legal_target_count","regional_opportunity_share"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","LL","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","LM","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","LH","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","ML","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","MM","4","64","0.062500"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","MH","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","HL","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","HM","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","HH","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","LL","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","LM","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","LH","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","ML","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","MM","4","64","0.062500"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","MH","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","HL","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","HM","6","64","0.093750"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","HH","9","64","0.140625"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","LL","9","70","0.128571"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","LM","8","70","0.114286"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","LH","9","70","0.128571"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","ML","6","70","0.085714"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","MM","6","70","0.085714"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","MH","6","70","0.085714"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","HL","11","70","0.157143"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","HM","6","70","0.085714"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","HH","9","70","0.128571"
"7x7","7x7-seeded-random","-1","1","4","0.083333","2","LL","9","68","0.132353"
"7x7","7x7-seeded-random","-1","1","4","0.083333","2","LM","7","68","0.102941"
"7x7","7x7-seeded-random","-1","1","4","0.083333","2","LH","10","68","0.147059"
"7x7","7x7-seeded-random","-1","1","4","0.083333","2","ML","6","68","0.088235"
"7x7","7x7-seeded-random","-1","1","4","0.083333","2","MM","4","68","0.058824"
