"board","experiment_id","iteration_limit","game_index","turn_number","progress","mover","p1_placements_so_far","p2_placements_so_far","objective_snapshot"
"7x7","7x7-seeded-random","-1","1","1","0.020833","1","3","0","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","2","0.041667","2","3","3","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","3","0.062500","1","6","3","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","4","0.083333","2","6","6","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","5","0.104167","1","9","6","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","6","0.125000","2","9","9","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","7","0.145833","1","12","9","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","8","0.166667","2","12","12","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","9","0.187500","1","15","12","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","10","0.208333","2","15","15","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","11","0.229167","1","18","15","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","12","0.250000","2","18","18","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","13","0.270833","1","21","18","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:1:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","14","0.291667","2","21","21","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:1:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
"7x7","7x7-seeded-random","-1","1","15","0.312500","1","24","21","0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:1:1|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|2:0:1|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|1:2:0|0:0:0|1:1:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0|0:0:0"
