"board","experiment_id","iteration_limit","game_index","winner","moves","turns","end_type","final_p1_score","final_p2_score","trial_file"
"3x3","3x3-seeded-random","-1","1","0","54","18","NaturalEnd","89","89","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0001.trl"
"3x3","3x3-seeded-random","-1","2","1","54","18","NaturalEnd","567","119","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0002.trl"
"3x3","3x3-seeded-random","-1","3","1","54","18","NaturalEnd","911","320","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0003.trl"
"3x3","3x3-seeded-random","-1","4","2","54","18","NaturalEnd","371","567","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0004.trl"
"3x3","3x3-seeded-random","-1","5","1","54","18","NaturalEnd","685","286","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0005.trl"
"3x3","3x3-seeded-random","-1","6","2","54","18","NaturalEnd","429","849","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0006.trl"
"3x3","3x3-seeded-random","-1","7","1","54","18","NaturalEnd","375","317","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0007.trl"
"3x3","3x3-seeded-random","-1","8","2","54","18","NaturalEnd","94","655","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0008.trl"
"3x3","3x3-seeded-random","-1","9","2","54","18","NaturalEnd","118","400","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0009.trl"
"3x3","3x3-seeded-random","-1","10","2","54","18","NaturalEnd","596","599","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0010.trl"
"3x3","3x3-seeded-random","-1","11","1","54","18","NaturalEnd","374","317","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0011.trl"
"3x3","3x3-seeded-random","-1","12","1","54","18","NaturalEnd","345","93","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0012.trl"
"3x3","3x3-seeded-random","-1","13","2","54","18","NaturalEnd","91","149","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0013.trl"
"3x3","3x3-seeded-random","-1","14","2","54","18","NaturalEnd","373","628","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0014.trl"
"3x3","3x3-seeded-random","-1","15","2","54","18","NaturalEnd","343","371","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0015.trl"
"3x3","3x3-seeded-random","-1","16","2","54","18","NaturalEnd","371","373","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0016.trl"
"3x3","3x3-seeded-random","-1","17","2","54","18","NaturalEnd","91","373","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0017.trl"
"3x3","3x3-seeded-random","-1","18","2","54","18","NaturalEnd","147","342","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0018.trl"
"3x3","3x3-seeded-random","-1","19","1","54","18","NaturalEnd","315","63","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0019.trl"
"3x3","3x3-seeded-random","-1","20","2","54","18","NaturalEnd","374","375","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0020.trl"
"3x3","3x3-seeded-random","-1","21","2","54","18","NaturalEnd","375","655","../issue-62/results/trials/3x3-seeded-random/3x3-seeded-random-0021.trl"
