iteration_limit,checkpoint,turn_number,games,eligible_games,late_reversals,late_reversal_rate
10000,0.75,14,100,77,19,0.246753
10000,0.9,17,100,84,10,0.119048
30000,0.75,14,100,77,19,0.246753
30000,0.9,17,100,83,20,0.240964
100000,0.75,14,100,59,17,0.288136
100000,0.9,17,100,79,30,0.379747
