iteration_limit,game_index,checkpoint,turn_number,checkpoint_leader,winner,eligible,late_reversal
10000,73,0.9,17,1,1,True,False
10000,74,0.75,14,0,1,False,False
10000,74,0.9,17,1,1,True,False
10000,75,0.75,14,1,1,True,False
10000,75,0.9,17,1,1,True,False
10000,76,0.75,14,1,1,True,False
10000,76,0.9,17,1,1,True,False
10000,77,0.75,14,1,1,True,False
10000,77,0.9,17,1,1,True,False
10000,78,0.75,14,2,2,True,False
10000,78,0.9,17,2,2,True,False
10000,79,0.75,14,2,2,True,False
10000,79,0.9,17,1,2,True,True
10000,80,0.75,14,1,1,True,False
10000,80,0.9,17,1,1,True,False
10000,81,0.75,14,1,1,True,False
10000,81,0.9,17,1,1,True,False
10000,82,0.75,14,2,1,True,True
10000,82,0.9,17,1,1,True,False
10000,83,0.75,14,1,0,False,False
10000,83,0.9,17,1,0,False,False
10000,84,0.75,14,0,1,False,False
10000,84,0.9,17,1,1,True,False
10000,85,0.75,14,0,2,False,False
10000,85,0.9,17,1,2,True,True
10000,86,0.75,14,1,1,True,False
10000,86,0.9,17,1,1,True,False
10000,87,0.75,14,1,1,True,False
10000,87,0.9,17,1,1,True,False
10000,88,0.75,14,1,1,True,False
10000,88,0.9,17,1,1,True,False
10000,89,0.75,14,1,1,True,False
10000,89,0.9,17,1,1,True,False
10000,90,0.75,14,1,1,True,False
10000,90,0.9,17,1,1,True,False
10000,91,0.75,14,1,0,False,False
10000,91,0.9,17,1,0,False,False
10000,92,0.75,14,2,2,True,False
10000,92,0.9,17,0,2,False,False
10000,93,0.75,14,1,1,True,False
10000,93,0.9,17,1,1,True,False
10000,94,0.75,14,2,2,True,False
10000,94,0.9,17,2,2,True,False
10000,95,0.75,14,1,2,True,True
10000,95,0.9,17,2,2,True,False
10000,96,0.75,14,0,2,False,False
10000,96,0.9,17,0,2,False,False
10000,97,0.75,14,0,1,False,False
10000,97,0.9,17,1,1,True,False
10000,98,0.75,14,0,2,False,False
10000,98,0.9,17,1,2,True,True
10000,99,0.75,14,2,2,True,False
10000,99,0.9,17,1,2,True,True
10000,100,0.75,14,0,1,False,False
10000,100,0.9,17,1,1,True,False
30000,1,0.75,14,1,1,True,False
30000,1,0.9,17,1,1,True,False
30000,2,0.75,14,1,1,True,False
30000,2,0.9,17,1,1,True,False
30000,3,0.75,14,1,1,True,False
30000,3,0.9,17,1,1,True,False
30000,4,0.75,14,1,2,True,True
30000,4,0.9,17,1,2,True,True
30000,5,0.75,14,1,1,True,False
30000,5,0.9,17,1,1,True,False
30000,6,0.75,14,1,2,True,True
30000,6,0.9,17,0,2,False,False
30000,7,0.75,14,1,2,True,True
30000,7,0.9,17,2,2,True,False
30000,8,0.75,14,1,2,True,True
30000,8,0.9,17,1,2,True,True
30000,9,0.75,14,1,1,True,False
30000,9,0.9,17,1,1,True,False
30000,10,0.75,14,1,1,True,False
30000,10,0.9,17,1,1,True,False
30000,11,0.75,14,0,0,False,False
30000,11,0.9,17,1,0,False,False
30000,12,0.75,14,2,1,True,True
30000,12,0.9,17,1,1,True,False
30000,13,0.75,14,1,2,True,True
30000,13,0.9,17,0,2,False,False
30000,14,0.75,14,1,1,True,False
30000,14,0.9,17,1,1,True,False
30000,15,0.75,14,2,2,True,False
30000,15,0.9,17,1,2,True,True
30000,16,0.75,14,2,0,False,False
30000,16,0.9,17,0,0,False,False
30000,17,0.75,14,1,2,True,True
30000,17,0.9,17,1,2,True,True
30000,18,0.75,14,1,2,True,True
30000,18,0.9,17,1,2,True,True
30000,19,0.75,14,1,1,True,False
30000,19,0.9,17,1,1,True,False
30000,20,0.75,14,2,1,True,True
30000,20,0.9,17,1,1,True,False
30000,21,0.75,14,1,1,True,False
30000,21,0.9,17,1,1,True,False
30000,22,0.75,14,1,1,True,False
30000,22,0.9,17,1,1,True,False
30000,23,0.75,14,1,2,True,True
30000,23,0.9,17,1,2,True,True
30000,24,0.75,14,2,0,False,False
30000,24,0.9,17,0,0,False,False
30000,25,0.75,14,2,2,True,False
30000,25,0.9,17,0,2,False,False
30000,26,0.75,14,1,1,True,False
30000,26,0.9,17,1,1,True,False
30000,27,0.75,14,1,2,True,True
30000,27,0.9,17,2,2,True,False
30000,28,0.75,14,2,0,False,False
30000,28,0.9,17,1,0,False,False
30000,29,0.75,14,0,2,False,False
30000,29,0.9,17,1,2,True,True
30000,30,0.75,14,1,1,True,False
30000,30,0.9,17,1,1,True,False
30000,31,0.75,14,2,2,True,False
30000,31,0.9,17,2,2,True,False
30000,32,0.75,14,1,1,True,False
30000,32,0.9,17,1,1,True,False
30000,33,0.75,14,1,1,True,False
30000,33,0.9,17,1,1,True,False
30000,34,0.75,14,0,2,False,False
30000,34,0.9,17,1,2,True,True
30000,35,0.75,14,1,1,True,False
30000,35,0.9,17,1,1,True,False
30000,36,0.75,14,1,1,True,False
30000,36,0.9,17,1,1,True,False
30000,37,0.75,14,1,1,True,False
30000,37,0.9,17,1,1,True,False
30000,38,0.75,14,2,2,True,False
30000,38,0.9,17,1,2,True,True
30000,39,0.75,14,1,1,True,False
30000,39,0.9,17,1,1,True,False
30000,40,0.75,14,1,1,True,False
30000,40,0.9,17,1,1,True,False
30000,41,0.75,14,1,1,True,False
30000,41,0.9,17,1,1,True,False
30000,42,0.75,14,1,2,True,True
30000,42,0.9,17,1,2,True,True
30000,43,0.75,14,1,1,True,False
30000,43,0.9,17,1,1,True,False
30000,44,0.75,14,1,1,True,False
30000,44,0.9,17,1,1,True,False
30000,45,0.75,14,1,1,True,False
30000,45,0.9,17,1,1,True,False
30000,46,0.75,14,1,1,True,False
30000,46,0.9,17,1,1,True,False
30000,47,0.75,14,2,2,True,False
30000,47,0.9,17,2,2,True,False
30000,48,0.75,14,1,1,True,False
30000,48,0.9,17,1,1,True,False
30000,49,0.75,14,2,0,False,False
30000,49,0.9,17,1,0,False,False
30000,50,0.75,14,1,2,True,True
30000,50,0.9,17,2,2,True,False
30000,51,0.75,14,1,0,False,False
30000,51,0.9,17,1,0,False,False
30000,52,0.75,14,1,2,True,True
30000,52,0.9,17,0,2,False,False
30000,53,0.75,14,2,1,True,True
30000,53,0.9,17,1,1,True,False
30000,54,0.75,14,0,2,False,False
30000,54,0.9,17,1,2,True,True
30000,55,0.75,14,1,0,False,False
30000,55,0.9,17,1,0,False,False
30000,56,0.75,14,1,1,True,False
30000,56,0.9,17,1,1,True,False
30000,57,0.75,14,0,2,False,False
30000,57,0.9,17,1,2,True,True
30000,58,0.75,14,1,2,True,True
30000,58,0.9,17,2,2,True,False
30000,59,0.75,14,1,1,True,False
30000,59,0.9,17,1,1,True,False
30000,60,0.75,14,2,2,True,False
30000,60,0.9,17,2,2,True,False
30000,61,0.75,14,0,2,False,False
30000,61,0.9,17,1,2,True,True
30000,62,0.75,14,0,2,False,False
30000,62,0.9,17,1,2,True,True
30000,63,0.75,14,1,1,True,False
30000,63,0.9,17,1,1,True,False
30000,64,0.75,14,1,1,True,False
30000,64,0.9,17,1,1,True,False
30000,65,0.75,14,1,0,False,False
30000,65,0.9,17,1,0,False,False
30000,66,0.75,14,2,1,True,True
30000,66,0.9,17,1,1,True,False
30000,67,0.75,14,0,1,False,False
30000,67,0.9,17,1,1,True,False
30000,68,0.75,14,1,1,True,False
30000,68,0.9,17,1,1,True,False
30000,69,0.75,14,0,1,False,False
30000,69,0.9,17,1,1,True,False
30000,70,0.75,14,1,1,True,False
30000,70,0.9,17,1,1,True,False
30000,71,0.75,14,1,1,True,False
30000,71,0.9,17,1,1,True,False
