sample,iteration_limit,game_index,early_central_placement_any,early_central_placement_count,first_central_commitment_turn,first_central_commitment_p1_turn,central_occupation_after_p1_turn_1,central_occupation_after_p1_turn_2,central_occupation_after_p1_turn_3,early_central_occupation_turn_count,early_central_contest_any,early_central_contest_turn_count
issue-82-original,10000,84,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,85,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,86,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,87,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,88,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,89,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,90,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,91,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,92,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,93,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,94,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,95,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,96,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,97,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,98,True,7,1,1,True,True,True,3,True,5
issue-82-original,10000,99,True,8,1,1,True,True,True,3,True,5
issue-82-original,10000,100,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,1,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,2,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,3,True,6,1,1,True,True,True,3,True,5
issue-82-original,30000,4,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,5,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,6,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,7,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,8,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,9,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,10,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,11,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,12,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,13,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,14,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,15,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,16,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,17,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,18,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,19,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,20,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,21,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,22,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,23,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,24,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,25,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,26,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,27,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,28,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,29,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,30,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,31,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,32,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,33,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,34,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,35,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,36,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,37,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,38,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,39,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,40,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,41,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,42,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,43,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,44,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,45,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,46,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,47,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,48,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,49,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,50,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,51,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,52,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,53,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,54,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,55,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,56,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,57,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,58,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,59,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,60,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,61,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,62,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,63,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,64,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,65,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,66,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,67,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,68,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,69,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,70,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,71,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,72,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,73,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,74,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,75,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,76,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,77,True,6,1,1,True,True,True,3,True,5
issue-82-original,30000,78,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,79,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,80,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,81,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,82,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,83,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,84,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,85,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,86,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,87,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,88,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,89,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,90,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,91,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,92,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,93,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,94,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,95,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,96,True,8,1,1,True,True,True,3,True,5
issue-82-original,30000,97,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,98,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,99,True,7,1,1,True,True,True,3,True,5
issue-82-original,30000,100,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,1,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,2,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,3,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,4,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,5,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,6,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,7,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,8,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,9,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,10,True,7,1,1,True,True,True,3,True,5
issue-82-original,100000,11,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,12,True,8,1,1,True,True,True,3,True,5
issue-82-original,100000,13,True,8,1,1,True,True,True,3,True,5
