source_key,source_issue,dataset_id,minimum_gate,board,iteration_limit,game_index,experiment_id,seed,trial_path,trial_sha256,recorded_winner,status,unresolved_reason,objective_sites,p1_secured_objectives,p2_secured_objectives,p1_advantage_objectives,p2_advantage_objectives,previous_p1_objective_pieces,previous_p2_objective_pieces,corrected_p1_objective_pieces,corrected_p2_objective_pieces,previous_objective_piece_margin,corrected_objective_piece_margin,old_reconstructed_winner,old_deciding_layer,corrected_winner,corrected_deciding_layer,reaches_advantage_comparison,reaches_objective_piece_tiebreak,p1_excluded_own_secured,p2_excluded_own_secured,p1_excluded_opponent_secured,p2_excluded_opponent_secured,p1_excluded_opponent_advantage,p2_excluded_opponent_advantage,p1_excluded_neutral,p2_excluded_neutral,source_previous_p1_pieces_match,source_previous_p2_pieces_match,source_p1_secured_match,source_p2_secured_match,source_p1_advantage_match,source_p2_advantage_match,old_winner_reproduced,winner_changed,margin_changed,margin_sign_changed,winner_transition
issue-82-v1-production-uct-010000-g0011,82,issue-82:3x3-uct-10000,True,3x3,10000,11,3x3-uct-10000,831000010,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0011/3x3-uct-10000-0011.trl,a9e6aadfd134b2b0f1a37b6ada252e8ae97ed7db15b617b024e5128e39de59e3,2,resolved,,9,3,4,1,0,12,12,1,0,0,1,2,secured_objectives,2,secured_objectives,False,False,9,12,2,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
issue-82-v1-production-uct-010000-g0012,82,issue-82:3x3-uct-10000,True,3x3,10000,12,3x3-uct-10000,831000011,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0012/3x3-uct-10000-0012.trl,0c37a8d9b8bc1bc28432bea3b0372cc1cf1bda8147d41aab1ab5bc3c809d2ea5,1,resolved,,9,3,2,2,2,11,9,2,3,2,-1,1,secured_objectives,1,secured_objectives,False,False,9,6,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0013,82,issue-82:3x3-uct-10000,True,3x3,10000,13,3x3-uct-10000,831000012,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0013/3x3-uct-10000-0013.trl,7749e4de7eca71b5f90848160c92d362140fc98d9f6b1a1bfdc31f8d1f7d2775,1,resolved,,9,3,2,2,2,11,9,2,3,2,-1,1,secured_objectives,1,secured_objectives,False,False,9,6,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0014,82,issue-82:3x3-uct-10000,True,3x3,10000,14,3x3-uct-10000,831000013,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0014/3x3-uct-10000-0014.trl,8d17f3d5e5cf9222628fdc6982fcd68574271411098e53a3beecde6a4749aa0f,1,resolved,,9,3,1,1,3,12,10,2,6,2,-4,1,secured_objectives,1,secured_objectives,False,False,9,3,0,0,1,1,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0015,82,issue-82:3x3-uct-10000,True,3x3,10000,15,3x3-uct-10000,831000014,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0015/3x3-uct-10000-0015.trl,030565ff83bc5a039ebe030f70dfc66a2ef477bc5dbac8a6ced1115d33c6720e,1,resolved,,9,4,4,1,0,13,13,1,0,0,1,1,advantage_objectives,1,advantage_objectives,True,False,12,12,0,1,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0016,82,issue-82:3x3-uct-10000,True,3x3,10000,16,3x3-uct-10000,831000015,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0016/3x3-uct-10000-0016.trl,07e0aedf1668c80290f74759487ac1694e590616868ea647304382988f6c6235,1,resolved,,9,4,3,0,0,13,10,0,0,3,0,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,0,1,1,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0017,82,issue-82:3x3-uct-10000,True,3x3,10000,17,3x3-uct-10000,831000016,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0017/3x3-uct-10000-0017.trl,dac17929b77e1401c5276758d43a33696c0290d27818942c8b02ff66d7b2f3fe,1,resolved,,9,4,3,1,1,13,11,1,2,2,-1,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0018,82,issue-82:3x3-uct-10000,True,3x3,10000,18,3x3-uct-10000,831000017,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0018/3x3-uct-10000-0018.trl,e656a61b5a393cc00ec68ba11622fbc5c3af39f089bbe6b62b5a205ed58d2490,1,resolved,,9,4,3,1,1,14,12,2,2,2,0,1,secured_objectives,1,secured_objectives,False,False,12,9,0,0,0,1,0,0,True,True,True,True,True,True,True,False,True,True,P1->P1
issue-82-v1-production-uct-010000-g0019,82,issue-82:3x3-uct-10000,True,3x3,10000,19,3x3-uct-10000,831000018,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0019/3x3-uct-10000-0019.trl,2ca709e649b9e73fa7e08b6ac30118b99276e9f07343b272d8cf2cdff6a6597b,2,resolved,,9,3,4,2,0,11,12,2,0,-1,2,2,secured_objectives,2,secured_objectives,False,False,9,12,0,0,0,0,0,0,True,True,True,True,True,True,True,False,True,True,P2->P2
issue-82-v1-production-uct-010000-g0020,82,issue-82:3x3-uct-10000,True,3x3,10000,20,3x3-uct-10000,831000019,experiments/issue-82/results/production/tasks/issue-82-v1-production-uct-010000-g0020/3x3-uct-10000-0020.trl,c13241c37e95c34539ea05d99ad76d7e00dc2adf844923e6beb1ee9932bc0e51,1,resolved,,9,3,3,2,1,13,10,2,1,3,1,1,advantage_objectives,1,advantage_objectives,True,False,9,9,2,0,0,0,0,0,True,True,True,True,True,True,True,False,True,False,P1->P1
