iteration_limit,checkpoint,games,eligible_games,late_reversals,late_reversal_rate
10000,0.75,100,82,19,0.231707
10000,0.9,100,96,20,0.208333
30000,0.75,100,85,17,0.2
30000,0.9,100,98,19,0.193878
100000,0.75,100,62,25,0.403226
100000,0.9,100,82,34,0.414634
