checkpoint_turn,feature,uct_30000_standardized_mean_difference,uct_100000_standardized_mean_difference,direction_agreement,uct_30000_direction,uct_100000_direction
8,leader_unsecured_controlled_supply_margin,-0.018179,0.078481,0,lower_in_reversal,higher_in_reversal
8,leader_usable_supply_support_edge_margin,-0.001579,0.081296,0,lower_in_reversal,higher_in_reversal
8,leader_usable_supply_support_edges,0.027996,0.224261,1,higher_in_reversal,higher_in_reversal
8,live_objectives,0.328349,0.458007,1,higher_in_reversal,higher_in_reversal
8,opponent_advantage_objectives,-0.243707,-0.506981,1,lower_in_reversal,lower_in_reversal
8,opponent_cumulative_objective_placements,-0.144104,-0.467281,1,lower_in_reversal,lower_in_reversal
8,opponent_cumulative_objective_share,-0.144104,-0.467281,1,lower_in_reversal,lower_in_reversal
8,opponent_cumulative_supply_placements,0.144104,0.467281,1,higher_in_reversal,higher_in_reversal
8,opponent_cumulative_supply_source_usage,-0.144104,-0.467281,1,lower_in_reversal,lower_in_reversal
8,opponent_objective_pieces,-0.144104,-0.467281,1,lower_in_reversal,lower_in_reversal
8,opponent_primary_important_sites_controlled,0.251749,0.200578,1,higher_in_reversal,higher_in_reversal
8,opponent_recent_2_important_site_usage,0.24531,-0.780173,0,higher_in_reversal,lower_in_reversal
8,opponent_recent_2_objective_placements,-0.079388,-0.758558,1,lower_in_reversal,lower_in_reversal
8,opponent_recent_2_supply_placements,0.079388,0.758558,1,higher_in_reversal,higher_in_reversal
8,opponent_recent_4_important_site_usage,0.100288,-0.714081,0,higher_in_reversal,lower_in_reversal
8,opponent_recent_4_objective_placements,-0.163593,-0.748211,1,lower_in_reversal,lower_in_reversal
8,opponent_recent_4_supply_allocation_change,-0.076928,0.433333,0,lower_in_reversal,higher_in_reversal
8,opponent_recent_4_supply_placements,0.163593,0.748211,1,higher_in_reversal,higher_in_reversal
8,opponent_secured_objectives,0.017804,-0.087447,0,higher_in_reversal,lower_in_reversal
8,opponent_secured_supply,0.10505,0.106053,1,higher_in_reversal,higher_in_reversal
8,opponent_trend_2_usable_support_edges,0.253943,0.733712,1,higher_in_reversal,higher_in_reversal
8,opponent_trend_4_usable_support_edges,0.340099,0.645555,1,higher_in_reversal,higher_in_reversal
8,opponent_unsecured_controlled_supply,-0.187619,-0.107955,1,lower_in_reversal,lower_in_reversal
8,opponent_usable_supply_support_edges,0.028912,0.139597,1,higher_in_reversal,higher_in_reversal
12,S12_leader_relative_state,-0.167022,0.055353,0,lower_in_reversal,higher_in_reversal
12,S13_leader_relative_state,-0.258615,-0.059146,1,lower_in_reversal,lower_in_reversal
