experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference,absolute_effect_rank
uct-10000-self-play,8,leader_recent_4_objective_placement_margin,38,36,0.447368,0.5,0.25,0.0,0.246537,higher_in_reversal,0.246537,44
uct-10000-self-play,8,leader_recent_4_objective_share_margin,38,36,0.074561,0.083333,0.041667,0.0,0.246537,higher_in_reversal,0.246537,45
uct-10000-self-play,8,leader_recent_4_supply_source_usage_margin,38,36,0.447368,0.5,0.25,0.0,0.246537,higher_in_reversal,0.246537,46
uct-10000-self-play,8,leader_trend_4_objective_piece_margin,38,36,0.447368,0.5,0.25,0.0,0.246537,higher_in_reversal,0.246537,47
uct-10000-self-play,8,leader_cumulative_objective_share_margin,38,36,0.054825,0.083333,0.039352,0.083333,0.244489,higher_in_reversal,0.244489,48
uct-10000-self-play,8,leader_cumulative_supply_source_usage_margin,38,36,0.657895,1.0,0.472222,1.0,0.244489,higher_in_reversal,0.244489,49
uct-10000-self-play,8,leader_objective_piece_margin,38,36,0.657895,1.0,0.472222,1.0,0.244489,higher_in_reversal,0.244489,50
uct-10000-self-play,8,S22_leader_relative_state,38,36,0.236842,0.0,-0.027778,0.0,0.236893,higher_in_reversal,0.236893,51
uct-10000-self-play,8,decisive_layer_objective_pieces,38,36,0.131579,0.0,0.222222,0.0,-0.236636,lower_in_reversal,0.236636,52
uct-10000-self-play,8,leader_trend_2_important_control_margin,38,36,0.026316,0.0,-0.138889,0.0,0.229591,higher_in_reversal,0.229591,53
uct-10000-self-play,8,leader_trend_2_advantage_objective_margin,38,36,-0.605263,-1.0,-0.361111,0.0,-0.226874,lower_in_reversal,0.226874,54
uct-10000-self-play,8,decisive_margin,38,36,1.026316,1.0,1.0,1.0,0.226294,higher_in_reversal,0.226294,55
uct-10000-self-play,8,leader_recent_4_important_site_usage_margin,38,36,0.473684,1.0,0.138889,0.0,0.219319,higher_in_reversal,0.219319,56
uct-10000-self-play,8,leader_trend_2_unsecured_control_margin,38,36,0.0,0.0,-0.166667,0.0,0.206284,higher_in_reversal,0.206284,57
uct-10000-self-play,8,leader_usable_supply_support_edge_margin,38,36,-3.026316,-4.0,-2.472222,-4.0,-0.181377,lower_in_reversal,0.181377,58
uct-10000-self-play,8,opponent_cumulative_objective_placements,38,36,3.605263,3.0,3.361111,3.0,0.171818,higher_in_reversal,0.171818,59
uct-10000-self-play,8,opponent_cumulative_objective_share,38,36,0.300439,0.25,0.280093,0.25,0.171818,higher_in_reversal,0.171818,60
uct-10000-self-play,8,opponent_cumulative_supply_placements,38,36,8.394737,9.0,8.638889,9.0,-0.171818,lower_in_reversal,0.171818,61
uct-10000-self-play,8,opponent_cumulative_supply_source_usage,38,36,3.605263,3.0,3.361111,3.0,0.171818,higher_in_reversal,0.171818,62
uct-10000-self-play,8,opponent_objective_pieces,38,36,3.605263,3.0,3.361111,3.0,0.171818,higher_in_reversal,0.171818,63
uct-10000-self-play,8,leader_primary_important_control_margin,38,36,-0.184211,0.0,-0.416667,-1.0,0.165257,higher_in_reversal,0.165257,64
uct-10000-self-play,8,leader_secured_objectives,38,36,0.894737,1.0,0.805556,1.0,0.164282,higher_in_reversal,0.164282,65
uct-10000-self-play,8,opponent_recent_4_objective_placements,38,36,2.526316,2.0,2.333333,2.0,0.164184,higher_in_reversal,0.164184,66
uct-10000-self-play,8,opponent_recent_4_supply_placements,38,36,3.473684,4.0,3.666667,4.0,-0.164184,lower_in_reversal,0.164184,67
uct-10000-self-play,8,leader_primary_important_sites_controlled,38,36,1.184211,1.0,1.055556,1.0,0.151974,higher_in_reversal,0.151974,68
uct-10000-self-play,8,leader_recent_2_all_objective_turn_margin,38,36,-0.026316,0.0,-0.055556,0.0,0.146643,higher_in_reversal,0.146643,69
uct-10000-self-play,8,leader_trend_4_support_edge_margin,38,36,-2.026316,-2.0,-1.583333,-2.0,-0.134439,lower_in_reversal,0.134439,70
uct-10000-self-play,8,opponent_trend_4_usable_support_edges,38,36,0.894737,0.5,0.444444,0.0,0.128621,higher_in_reversal,0.128621,71
uct-10000-self-play,8,leader_usable_supply_support_edges,38,36,6.5,6.0,6.138889,6.0,0.117868,higher_in_reversal,0.117868,72
