"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"3x3","3x3-seeded-random","28","1","S20","17","false","0",""
"3x3","3x3-seeded-random","28","1","S32","17","false","0",""
"3x3","3x3-seeded-random","30","2","S02","6","true","1","4"
"3x3","3x3-seeded-random","30","2","S33","16","false","0",""
"3x3","3x3-seeded-random","31","1","S03","3","true","2","10"
"3x3","3x3-seeded-random","31","2","S23","12","false","0",""
"3x3","3x3-seeded-random","31","2","S21","16","false","0",""
"3x3","3x3-seeded-random","31","1","S10","17","false","0",""
"3x3","3x3-seeded-random","31","1","S12","17","false","0",""
"3x3","3x3-seeded-random","31","2","S13","18","false","0",""
"3x3","3x3-seeded-random","32","1","S31","13","false","0",""
"3x3","3x3-seeded-random","32","2","S21","14","false","0",""
"3x3","3x3-seeded-random","32","2","S13","16","false","0",""
"3x3","3x3-seeded-random","32","2","S33","18","false","0",""
"3x3","3x3-seeded-random","33","1","S32","7","false","0",""
"3x3","3x3-seeded-random","33","1","S11","11","true","2","2"
"3x3","3x3-seeded-random","33","2","S13","16","false","0",""
"3x3","3x3-seeded-random","34","1","S33","13","false","0",""
"3x3","3x3-seeded-random","34","1","S32","15","false","0",""
"3x3","3x3-seeded-random","34","1","S01","17","false","0",""
"3x3","3x3-seeded-random","34","2","S03","18","false","0",""
"3x3","3x3-seeded-random","35","2","S21","16","true","1","2"
"3x3","3x3-seeded-random","35","1","S33","17","false","0",""
"3x3","3x3-seeded-random","36","1","S33","9","false","0",""
"3x3","3x3-seeded-random","36","2","S22","16","false","0",""
"3x3","3x3-seeded-random","36","2","S30","18","false","0",""
"3x3","3x3-seeded-random","36","2","S32","18","false","0",""
"3x3","3x3-seeded-random","37","1","S20","9","true","2","6"
"3x3","3x3-seeded-random","37","2","S13","14","false","0",""
"3x3","3x3-seeded-random","37","2","S00","16","false","0",""
"3x3","3x3-seeded-random","38","1","S30","7","true","1","2"
"3x3","3x3-seeded-random","38","2","S12","10","true","2","4"
"3x3","3x3-seeded-random","38","1","S23","15","true","1","2"
"3x3","3x3-seeded-random","38","1","S01","17","false","0",""
"3x3","3x3-seeded-random","39","2","S00","6","true","1","4"
"3x3","3x3-seeded-random","39","1","S21","11","true","2","4"
"3x3","3x3-seeded-random","39","2","S11","18","false","0",""
"3x3","3x3-seeded-random","39","2","S13","18","false","0",""
"3x3","3x3-seeded-random","40","2","S31","4","true","2","4"
"3x3","3x3-seeded-random","40","1","S30","7","true","1","2"
"3x3","3x3-seeded-random","40","2","S33","14","true","1","2"
"3x3","3x3-seeded-random","40","1","S20","15","false","0",""
"3x3","3x3-seeded-random","41","2","S23","12","true","2","4"
"3x3","3x3-seeded-random","41","1","S22","13","true","1","4"
"3x3","3x3-seeded-random","41","2","S10","14","true","1","2"
"3x3","3x3-seeded-random","41","1","S00","15","false","0",""
"3x3","3x3-seeded-random","41","1","S21","15","false","0",""
"3x3","3x3-seeded-random","42","1","S00","9","false","0",""
"3x3","3x3-seeded-random","42","1","S32","11","true","2","2"
"3x3","3x3-seeded-random","42","1","S11","13","false","0",""
"3x3","3x3-seeded-random","42","1","S23","13","true","1","4"
"3x3","3x3-seeded-random","42","2","S31","18","false","0",""
"3x3","3x3-seeded-random","43","1","S32","7","false","0",""
"3x3","3x3-seeded-random","43","1","S00","11","false","0",""
"3x3","3x3-seeded-random","43","1","S13","15","false","0",""
"3x3","3x3-seeded-random","43","1","S10","17","false","0",""
"3x3","3x3-seeded-random","43","2","S11","18","false","0",""
"3x3","3x3-seeded-random","43","2","S20","18","false","0",""
"3x3","3x3-seeded-random","43","2","S33","18","false","0",""
"3x3","3x3-seeded-random","44","1","S03","7","false","0",""
"3x3","3x3-seeded-random","44","2","S10","8","true","1","2"
"3x3","3x3-seeded-random","44","1","S22","15","true","1","2"
"3x3","3x3-seeded-random","45","2","S33","12","false","0",""
"3x3","3x3-seeded-random","45","1","S13","13","false","0",""
"3x3","3x3-seeded-random","45","2","S20","16","true","1","2"
"3x3","3x3-seeded-random","46","2","S33","6","true","1","12"
"3x3","3x3-seeded-random","46","1","S11","9","true","1","4"
"3x3","3x3-seeded-random","46","2","S23","12","true","1","2"
"3x3","3x3-seeded-random","46","2","S03","14","false","0",""
"3x3","3x3-seeded-random","46","1","S20","15","false","0",""
"3x3","3x3-seeded-random","46","2","S00","18","false","0",""
"3x3","3x3-seeded-random","47","1","S01","7","false","0",""
"3x3","3x3-seeded-random","48","1","S12","11","false","0",""
"3x3","3x3-seeded-random","48","2","S13","12","true","1","2"
"3x3","3x3-seeded-random","48","1","S21","13","false","0",""
"3x3","3x3-seeded-random","48","1","S02","15","false","0",""
"3x3","3x3-seeded-random","49","2","S00","6","true","1","8"
"3x3","3x3-seeded-random","49","1","S20","11","true","2","4"
"3x3","3x3-seeded-random","49","1","S23","15","false","0",""
"3x3","3x3-seeded-random","50","2","S13","12","false","0",""
"3x3","3x3-seeded-random","50","2","S00","14","false","0",""
"3x3","3x3-seeded-random","50","1","S03","15","true","1","2"
"3x3","3x3-seeded-random","50","2","S10","16","false","0",""
"3x3","3x3-seeded-random","50","1","S01","17","false","0",""
"3x3","3x3-seeded-random","50","2","S20","18","false","0",""
"3x3","3x3-seeded-random","51","2","S02","12","false","0",""
"3x3","3x3-seeded-random","51","2","S12","14","true","1","2"
"3x3","3x3-seeded-random","52","1","S13","5","true","1","12"
"3x3","3x3-seeded-random","52","2","S03","16","false","0",""
"3x3","3x3-seeded-random","52","1","S02","17","false","0",""
"3x3","3x3-seeded-random","52","2","S10","18","false","0",""
"3x3","3x3-seeded-random","53","2","S10","8","true","1","8"
"3x3","3x3-seeded-random","53","1","S30","11","false","0",""
"3x3","3x3-seeded-random","53","2","S03","14","false","0",""
"3x3","3x3-seeded-random","53","1","S22","15","false","0",""
