"board","experiment_id","progress_band","metric","turns","value"
"6x6","6x6-seeded-random","25-50%","3","1200","0.008333"
"6x6","6x6-seeded-random","25-50%","2+1","1200","0.303333"
"6x6","6x6-seeded-random","25-50%","1+1+1","1200","0.688333"
"6x6","6x6-seeded-random","50-75%","3","1200","0.005000"
"6x6","6x6-seeded-random","50-75%","2+1","1200","0.315833"
"6x6","6x6-seeded-random","50-75%","1+1+1","1200","0.679167"
"6x6","6x6-seeded-random","75-100%","3","1200","0.017500"
"6x6","6x6-seeded-random","75-100%","2+1","1200","0.263333"
"6x6","6x6-seeded-random","75-100%","1+1+1","1200","0.719167"
"6x6","6x6-uct-0100","0-25%","3","600","0.015000"
"6x6","6x6-uct-0100","0-25%","2+1","600","0.293333"
"6x6","6x6-uct-0100","0-25%","1+1+1","600","0.691667"
"6x6","6x6-uct-0100","25-50%","3","600","0.013333"
"6x6","6x6-uct-0100","25-50%","2+1","600","0.250000"
"6x6","6x6-uct-0100","25-50%","1+1+1","600","0.736667"
"6x6","6x6-uct-0100","50-75%","3","600","0.006667"
"6x6","6x6-uct-0100","50-75%","2+1","600","0.280000"
"6x6","6x6-uct-0100","50-75%","1+1+1","600","0.713333"
"6x6","6x6-uct-0100","75-100%","3","600","0.005000"
"6x6","6x6-uct-0100","75-100%","2+1","600","0.303333"
"6x6","6x6-uct-0100","75-100%","1+1+1","600","0.691667"
"6x6","6x6-uct-0500","0-25%","3","600","0.016667"
"6x6","6x6-uct-0500","0-25%","2+1","600","0.345000"
"6x6","6x6-uct-0500","0-25%","1+1+1","600","0.638333"
"6x6","6x6-uct-0500","25-50%","3","600","0.008333"
"6x6","6x6-uct-0500","25-50%","2+1","600","0.325000"
"6x6","6x6-uct-0500","25-50%","1+1+1","600","0.666667"
"6x6","6x6-uct-0500","50-75%","3","600","0.013333"
"6x6","6x6-uct-0500","50-75%","2+1","600","0.316667"
"6x6","6x6-uct-0500","50-75%","1+1+1","600","0.670000"
"6x6","6x6-uct-0500","75-100%","3","600","0.040000"
"6x6","6x6-uct-0500","75-100%","2+1","600","0.420000"
"6x6","6x6-uct-0500","75-100%","1+1+1","600","0.540000"
"6x6","6x6-uct-1000","0-25%","3","600","0.018333"
"6x6","6x6-uct-1000","0-25%","2+1","600","0.290000"
"6x6","6x6-uct-1000","0-25%","1+1+1","600","0.691667"
"6x6","6x6-uct-1000","25-50%","3","600","0.018333"
"6x6","6x6-uct-1000","25-50%","2+1","600","0.341667"
"6x6","6x6-uct-1000","25-50%","1+1+1","600","0.640000"
"6x6","6x6-uct-1000","50-75%","3","600","0.015000"
"6x6","6x6-uct-1000","50-75%","2+1","600","0.365000"
"6x6","6x6-uct-1000","50-75%","1+1+1","600","0.620000"
"6x6","6x6-uct-1000","75-100%","3","600","0.030000"
"6x6","6x6-uct-1000","75-100%","2+1","600","0.456667"
"6x6","6x6-uct-1000","75-100%","1+1+1","600","0.513333"
