"board","experiment_id","game_index","checkpoint","turn_number","cumulative_placements","supply_share","secured_supply","secured_objectives","recent_normalized_entropy","recent_largest_region_share","recent_hhi","recent_region_coverage"
"3x3","3x3-seeded-random","1","0.25","5","15","0.933333","0","0","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","1","0.5","9","27","0.925926","0","0","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","1","0.75","14","42","0.857143","5","0","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","1","0.9","17","51","0.823529","6","0","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","2","0.25","5","15","0.800000","1","1","0.720572","0.416667","0.250000","0.666667"
"3x3","3x3-seeded-random","2","0.5","9","27","0.814815","1","1","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","2","0.75","14","42","0.785714","2","1","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","2","0.9","17","51","0.745098","2","2","0.648149","0.416667","0.277778","0.555556"
"3x3","3x3-seeded-random","3","0.25","5","15","0.733333","0","0","0.815465","0.333333","0.194444","0.777778"
"3x3","3x3-seeded-random","3","0.5","9","27","0.629630","0","1","0.868042","0.166667","0.152778","0.777778"
"3x3","3x3-seeded-random","3","0.75","14","42","0.523810","1","1","0.762887","0.333333","0.208333","0.666667"
"3x3","3x3-seeded-random","3","0.9","17","51","0.470588","1","4","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","4","0.25","5","15","1.000000","0","0","0.900775","0.250000","0.152778","0.888889"
"3x3","3x3-seeded-random","4","0.5","9","27","0.814815","0","0","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","4","0.75","14","42","0.761905","4","2","0.710310","0.333333","0.250000","0.666667"
"3x3","3x3-seeded-random","4","0.9","17","51","0.725490","4","3","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","5","0.25","5","15","0.866667","0","0","0.815465","0.333333","0.194444","0.777778"
"3x3","3x3-seeded-random","5","0.5","9","27","0.703704","1","1","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","5","0.75","14","42","0.690476","4","1","0.828352","0.250000","0.180556","0.777778"
"3x3","3x3-seeded-random","5","0.9","17","51","0.627451","4","3","0.868042","0.333333","0.180556","0.888889"
"3x3","3x3-seeded-random","6","0.25","5","15","0.933333","0","0","0.815465","0.333333","0.194444","0.777778"
"3x3","3x3-seeded-random","6","0.5","9","27","0.814815","1","0","0.657732","0.333333","0.263889","0.555556"
"3x3","3x3-seeded-random","6","0.75","14","42","0.666667","1","2","0.900775","0.250000","0.152778","0.888889"
"3x3","3x3-seeded-random","6","0.9","17","51","0.666667","1","3","0.720572","0.416667","0.250000","0.666667"
"3x3","3x3-seeded-random","7","0.25","5","15","0.800000","0","0","0.828352","0.250000","0.180556","0.777778"
"3x3","3x3-seeded-random","7","0.5","9","27","0.740741","0","0","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","7","0.75","14","42","0.642857","0","0","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","7","0.9","17","51","0.647059","2","1","0.795620","0.333333","0.208333","0.777778"
"3x3","3x3-seeded-random","8","0.25","5","15","0.800000","0","0","0.815465","0.333333","0.194444","0.777778"
"3x3","3x3-seeded-random","8","0.5","9","27","0.592593","1","0","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","8","0.75","14","42","0.642857","2","1","0.815465","0.333333","0.194444","0.777778"
"3x3","3x3-seeded-random","8","0.9","17","51","0.588235","3","2","0.690465","0.333333","0.236111","0.555556"
"3x3","3x3-seeded-random","9","0.25","5","15","0.933333","1","0","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","9","0.5","9","27","0.851852","2","0","0.595572","0.416667","0.291667","0.444444"
"3x3","3x3-seeded-random","9","0.75","14","42","0.857143","4","0","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","9","0.9","17","51","0.784314","6","0","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","10","0.25","5","15","0.866667","0","0","0.720572","0.416667","0.250000","0.666667"
"3x3","3x3-seeded-random","10","0.5","9","27","0.814815","0","1","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","10","0.75","14","42","0.714286","1","1","0.900775","0.250000","0.152778","0.888889"
"3x3","3x3-seeded-random","10","0.9","17","51","0.666667","2","3","0.703352","0.250000","0.222222","0.555556"
"3x3","3x3-seeded-random","11","0.25","5","15","0.666667","0","0","0.900775","0.250000","0.152778","0.888889"
"3x3","3x3-seeded-random","11","0.5","9","27","0.703704","1","0","0.618042","0.500000","0.319444","0.555556"
"3x3","3x3-seeded-random","11","0.75","14","42","0.619048","3","2","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","11","0.9","17","51","0.647059","6","2","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","12","0.25","5","15","0.866667","0","0","0.795620","0.250000","0.180556","0.666667"
"3x3","3x3-seeded-random","12","0.5","9","27","0.703704","0","0","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","12","0.75","14","42","0.666667","0","0","0.690465","0.333333","0.236111","0.555556"
"3x3","3x3-seeded-random","12","0.9","17","51","0.666667","1","1","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","13","0.25","5","15","0.800000","0","0","0.868042","0.333333","0.180556","0.888889"
"3x3","3x3-seeded-random","13","0.5","9","27","0.740741","0","0","0.703352","0.250000","0.222222","0.555556"
"3x3","3x3-seeded-random","13","0.75","14","42","0.761905","3","0","0.868042","0.166667","0.152778","0.777778"
"3x3","3x3-seeded-random","13","0.9","17","51","0.705882","5","0","0.828352","0.250000","0.180556","0.777778"
"3x3","3x3-seeded-random","14","0.25","5","15","0.866667","0","0","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","14","0.5","9","27","0.740741","0","0","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","14","0.75","14","42","0.619048","1","2","0.795620","0.333333","0.208333","0.777778"
"3x3","3x3-seeded-random","14","0.9","17","51","0.607843","1","2","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","15","0.25","5","15","0.866667","0","0","0.900775","0.250000","0.152778","0.888889"
"3x3","3x3-seeded-random","15","0.5","9","27","0.740741","0","2","0.848197","0.250000","0.166667","0.777778"
"3x3","3x3-seeded-random","15","0.75","14","42","0.738095","2","2","0.775775","0.250000","0.194444","0.666667"
"3x3","3x3-seeded-random","15","0.9","17","51","0.745098","5","2","0.648149","0.416667","0.277778","0.555556"
"3x3","3x3-seeded-random","16","0.25","5","15","0.800000","1","0","0.920620","0.166667","0.138889","0.888889"
"3x3","3x3-seeded-random","16","0.5","9","27","0.740741","1","0","0.900775","0.250000","0.152778","0.888889"
