experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_secured,secured_frequency,mean_first_securing_turn,secured_turns,secured_turn_share,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,usage_after_securing,mean_usage_after_securing_per_secured_player_site
uct-100000-self-play,100000,S44,corner,194,0,0.0,0.0,0,0.0,5,0,0.0,4,0,0.0,0,0.0
uct-30000-self-play,30000,S00,corner,200,0,0.0,0.0,0,0.0,9,0,0.0,8,0,0.0,0,0.0
uct-30000-self-play,30000,S01,edge,200,2,0.01,21.5,7,0.001458,44,2,0.045455,20,2,0.1,2,1.0
uct-30000-self-play,30000,S02,edge,200,1,0.005,15,10,0.002083,88,1,0.011364,28,1,0.035714,1,1.0
uct-30000-self-play,30000,S03,edge,200,2,0.01,16.5,17,0.003542,78,2,0.025641,29,2,0.068966,2,1.0
uct-30000-self-play,30000,S04,corner,200,0,0.0,0.0,0,0.0,3,0,0.0,3,0,0.0,0,0.0
uct-30000-self-play,30000,S10,edge,200,0,0.0,0.0,0,0.0,96,0,0.0,23,0,0.0,0,0.0
uct-30000-self-play,30000,S11,interior,200,45,0.225,12.488889,563,0.117292,788,45,0.057107,159,45,0.283019,188,4.177778
uct-30000-self-play,30000,S12,interior,200,50,0.25,12.22,639,0.133125,1036,50,0.048263,181,50,0.276243,197,3.94
uct-30000-self-play,30000,S13,interior,200,41,0.205,11.634146,548,0.114167,813,41,0.050431,161,41,0.254658,170,4.146341
uct-30000-self-play,30000,S14,edge,200,1,0.005,21,4,0.000833,40,1,0.025,19,1,0.052632,1,1.0
uct-30000-self-play,30000,S20,edge,200,0,0.0,0.0,0,0.0,33,0,0.0,14,0,0.0,0,0.0
uct-30000-self-play,30000,S21,interior,200,45,0.225,10.955556,632,0.131667,887,45,0.050733,166,45,0.271084,184,4.088889
uct-30000-self-play,30000,S22,interior,200,61,0.305,10.967213,856,0.178333,966,61,0.063147,177,61,0.344633,247,4.04918
uct-30000-self-play,30000,S23,interior,200,46,0.23,12.065217,595,0.123958,817,46,0.056304,163,46,0.282209,173,3.76087
uct-30000-self-play,30000,S24,edge,200,1,0.005,24,1,0.000208,92,1,0.01087,32,1,0.03125,0,0.0
uct-30000-self-play,30000,S30,edge,200,2,0.01,23.5,3,0.000625,84,2,0.02381,30,2,0.066667,0,0.0
uct-30000-self-play,30000,S31,interior,200,45,0.225,12.377778,568,0.118333,946,45,0.047569,172,45,0.261628,181,4.022222
uct-30000-self-play,30000,S32,interior,200,47,0.235,9.404255,733,0.152708,817,47,0.057528,163,47,0.288344,227,4.829787
uct-30000-self-play,30000,S33,interior,200,53,0.265,12.188679,679,0.141458,687,53,0.077147,162,53,0.32716,210,3.962264
uct-30000-self-play,30000,S34,edge,200,1,0.005,23,2,0.000417,102,1,0.009804,31,1,0.032258,0,0.0
uct-30000-self-play,30000,S40,corner,200,0,0.0,0.0,0,0.0,9,0,0.0,5,0,0.0,0,0.0
uct-30000-self-play,30000,S41,edge,200,0,0.0,0.0,0,0.0,70,0,0.0,30,0,0.0,0,0.0
uct-30000-self-play,30000,S42,edge,200,0,0.0,0.0,0,0.0,103,0,0.0,29,0,0.0,0,0.0
uct-30000-self-play,30000,S43,edge,200,0,0.0,0.0,0,0.0,68,0,0.0,23,0,0.0,0,0.0
uct-30000-self-play,30000,S44,corner,200,0,0.0,0.0,0,0.0,18,0,0.0,10,0,0.0,0,0.0
