experiment_id,iteration_limit,supply_point,spatial_category,turn_phase,player_turn_records,pieces_placed,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,supply_usage_turns,objective_placements_supplied,distinct_game_player_objectives_supplied,legal_securable_opportunities,securing_events,securing_rate_per_repeated_opportunity
uct-10000-self-play,10000,S12,interior,late,1600,46,179,259,438,0.111875,0.161875,0.27375,0.4525,0.69375,108,108,67,349,8,0.022923
uct-10000-self-play,10000,S13,interior,early,1600,163,252,28,280,0.1575,0.0175,0.175,0.65,0.2625,62,62,46,214,12,0.056075
uct-10000-self-play,10000,S13,interior,midgame,1600,80,225,190,415,0.140625,0.11875,0.259375,0.48125,0.55,144,144,104,309,15,0.048544
uct-10000-self-play,10000,S13,interior,late,1600,101,207,286,493,0.129375,0.17875,0.308125,0.38375,0.7625,147,147,99,366,16,0.043716
uct-10000-self-play,10000,S14,edge,early,1600,5,10,0,10,0.00625,0.0,0.00625,0.9875,0.005,2,2,1,5,0,0.0
uct-10000-self-play,10000,S14,edge,midgame,1600,14,28,0,28,0.0175,0.0,0.0175,0.965,0.035,11,11,8,30,0,0.0
uct-10000-self-play,10000,S14,edge,late,1600,37,75,5,80,0.046875,0.003125,0.05,0.9,0.115,14,14,10,100,1,0.01
uct-10000-self-play,10000,S20,edge,early,1600,5,17,0,17,0.010625,0.0,0.010625,0.97875,0.00375,5,5,3,7,0,0.0
uct-10000-self-play,10000,S20,edge,midgame,1600,12,28,4,32,0.0175,0.0025,0.02,0.96,0.02375,5,5,4,23,1,0.043478
uct-10000-self-play,10000,S20,edge,late,1600,44,105,8,113,0.065625,0.005,0.070625,0.85875,0.085,14,14,11,82,0,0.0
uct-10000-self-play,10000,S21,interior,early,1600,190,329,33,362,0.205625,0.020625,0.22625,0.5475,0.3125,89,89,69,270,13,0.048148
uct-10000-self-play,10000,S21,interior,midgame,1600,92,223,213,436,0.139375,0.133125,0.2725,0.455,0.67,158,158,111,396,23,0.058081
uct-10000-self-play,10000,S21,interior,late,1600,61,173,311,484,0.108125,0.194375,0.3025,0.395,0.79,125,125,76,355,6,0.016901
uct-10000-self-play,10000,S22,interior,early,1600,223,322,55,377,0.20125,0.034375,0.235625,0.52875,0.3675,92,92,73,268,18,0.067164
uct-10000-self-play,10000,S22,interior,midgame,1600,50,280,234,514,0.175,0.14625,0.32125,0.3575,0.6425,194,194,129,360,15,0.041667
