experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-100000-self-play,100000,S14,edge,194,33,0.170103,21.666667,33,0.170103,21.666667,75,0,75,0.016108,0.0,0.016108,0.967784,0.016323,0.118557,0.0,0.118557
uct-100000-self-play,100000,S20,edge,194,23,0.118557,21.782609,23,0.118557,21.782609,50,0,50,0.010739,0.0,0.010739,0.978522,0.010739,0.07732,0.0,0.07732
uct-100000-self-play,100000,S21,interior,194,107,0.551546,4.691589,119,0.613402,5.10084,631,716,1347,0.135524,0.15378,0.289304,0.421392,0.636598,0.087629,0.257732,0.345361
uct-100000-self-play,100000,S22,interior,194,118,0.608247,2.838983,140,0.721649,3.857143,609,1045,1654,0.130799,0.224442,0.355241,0.289519,0.75988,0.061856,0.335052,0.396907
uct-100000-self-play,100000,S23,interior,194,106,0.546392,5.367925,127,0.654639,6.03937,497,842,1339,0.106744,0.180842,0.287586,0.424828,0.633162,0.06701,0.314433,0.381443
uct-100000-self-play,100000,S24,edge,194,34,0.175258,20.147059,34,0.175258,20.147059,131,7,138,0.028136,0.001503,0.029639,0.940722,0.018041,0.14433,0.005155,0.149485
uct-100000-self-play,100000,S30,edge,194,30,0.154639,19.8,30,0.154639,19.8,114,0,114,0.024485,0.0,0.024485,0.951031,0.020189,0.118557,0.0,0.118557
uct-100000-self-play,100000,S31,interior,194,114,0.587629,7.859649,133,0.685567,8.518797,568,638,1206,0.121993,0.137027,0.259021,0.481959,0.588918,0.087629,0.283505,0.371134
uct-100000-self-play,100000,S32,interior,194,107,0.551546,5.401869,124,0.639175,5.564516,424,782,1206,0.091065,0.167955,0.259021,0.481959,0.633591,0.072165,0.262887,0.335052
uct-100000-self-play,100000,S33,interior,194,106,0.546392,7.877358,122,0.628866,8.07377,479,607,1086,0.102878,0.130369,0.233247,0.533505,0.563144,0.092784,0.237113,0.329897
uct-100000-self-play,100000,S34,edge,194,32,0.164948,21.3125,32,0.164948,21.3125,66,13,79,0.014175,0.002792,0.016967,0.966065,0.024485,0.103093,0.015464,0.118557
uct-100000-self-play,100000,S40,corner,194,21,0.108247,22.190476,21,0.108247,22.190476,56,0,56,0.012027,0.0,0.012027,0.975945,0.001289,0.097938,0.0,0.097938
uct-100000-self-play,100000,S41,edge,194,30,0.154639,20.1,30,0.154639,20.1,95,5,100,0.020404,0.001074,0.021478,0.957045,0.030498,0.108247,0.005155,0.113402
uct-100000-self-play,100000,S42,edge,194,34,0.175258,20.088235,35,0.180412,19.942857,104,12,116,0.022337,0.002577,0.024914,0.950172,0.033076,0.118557,0.015464,0.134021
uct-100000-self-play,100000,S43,edge,194,27,0.139175,19.259259,27,0.139175,19.259259,95,8,103,0.020404,0.001718,0.022122,0.955756,0.028351,0.087629,0.010309,0.097938
uct-100000-self-play,100000,S44,corner,194,15,0.07732,22.933333,15,0.07732,22.933333,31,0,31,0.006658,0.0,0.006658,0.986684,0.0,0.07732,0.0,0.07732
uct-30000-self-play,30000,S00,corner,200,21,0.105,22.857143,21,0.105,22.857143,37,0,37,0.007708,0.0,0.007708,0.984583,0.003333,0.085,0.0,0.085
uct-30000-self-play,30000,S01,edge,200,21,0.105,19.857143,21,0.105,19.857143,79,7,86,0.016458,0.001458,0.017917,0.964167,0.01375,0.07,0.01,0.08
uct-30000-self-play,30000,S02,edge,200,34,0.17,20.029412,34,0.17,20.029412,88,10,98,0.018333,0.002083,0.020417,0.959167,0.037083,0.115,0.005,0.12
uct-30000-self-play,30000,S03,edge,200,34,0.17,19.676471,34,0.17,19.676471,117,17,134,0.024375,0.003542,0.027917,0.944167,0.029167,0.125,0.01,0.135
uct-30000-self-play,30000,S04,corner,200,22,0.11,23.409091,22,0.11,23.409091,34,0,34,0.007083,0.0,0.007083,0.985833,0.000417,0.105,0.0,0.105
uct-30000-self-play,30000,S10,edge,200,25,0.125,18.56,25,0.125,18.56,82,0,82,0.017083,0.0,0.017083,0.965833,0.033333,0.08,0.0,0.08
uct-30000-self-play,30000,S11,interior,200,106,0.53,7.528302,120,0.6,7.875,581,563,1144,0.121042,0.117292,0.238333,0.523333,0.52375,0.13,0.225,0.355
uct-30000-self-play,30000,S12,interior,200,111,0.555,5.675676,129,0.645,6.302326,703,639,1342,0.146458,0.133125,0.279583,0.440833,0.654583,0.115,0.25,0.365
uct-30000-self-play,30000,S13,interior,200,108,0.54,7.351852,117,0.585,7.547009,569,548,1117,0.118542,0.114167,0.232708,0.534583,0.533333,0.145,0.205,0.35
uct-30000-self-play,30000,S14,edge,200,28,0.14,20.785714,29,0.145,20.793103,104,4,108,0.021667,0.000833,0.0225,0.955,0.00625,0.125,0.005,0.13
uct-30000-self-play,30000,S20,edge,200,26,0.13,21.5,26,0.13,21.5,72,0,72,0.015,0.0,0.015,0.97,0.00875,0.095,0.0,0.095
uct-30000-self-play,30000,S21,interior,200,112,0.56,5.776786,123,0.615,5.95122,637,632,1269,0.132708,0.131667,0.264375,0.47125,0.59,0.09,0.225,0.315
uct-30000-self-play,30000,S22,interior,200,116,0.58,3.387931,136,0.68,4.257353,824,856,1680,0.171667,0.178333,0.35,0.3,0.684583,0.085,0.305,0.39
uct-30000-self-play,30000,S23,interior,200,103,0.515,6.582524,115,0.575,6.521739,568,595,1163,0.118333,0.123958,0.242292,0.515417,0.551667,0.08,0.23,0.31
uct-30000-self-play,30000,S24,edge,200,32,0.16,19.125,32,0.16,19.125,131,1,132,0.027292,0.000208,0.0275,0.945,0.023333,0.105,0.005,0.11
uct-30000-self-play,30000,S30,edge,200,38,0.19,20.289474,39,0.195,20.384615,112,3,115,0.023333,0.000625,0.023958,0.952083,0.028333,0.135,0.01,0.145
uct-30000-self-play,30000,S31,interior,200,117,0.585,7.017094,130,0.65,7.353846,673,568,1241,0.140208,0.118333,0.258542,0.482917,0.590833,0.115,0.225,0.34
uct-30000-self-play,30000,S32,interior,200,110,0.55,5.709091,128,0.64,5.828125,559,733,1292,0.116458,0.152708,0.269167,0.461667,0.604167,0.1,0.235,0.335
uct-30000-self-play,30000,S33,interior,200,103,0.515,7.699029,119,0.595,8.117647,427,679,1106,0.088958,0.141458,0.230417,0.539167,0.534167,0.08,0.265,0.345
uct-30000-self-play,30000,S34,edge,200,37,0.185,19.567568,38,0.19,19.657895,138,2,140,0.02875,0.000417,0.029167,0.941667,0.032083,0.14,0.005,0.145
uct-30000-self-play,30000,S40,corner,200,24,0.12,22.833333,24,0.12,22.833333,46,0,46,0.009583,0.0,0.009583,0.980833,0.0025,0.095,0.0,0.095
uct-30000-self-play,30000,S41,edge,200,41,0.205,20.804878,41,0.205,20.804878,119,0,119,0.024792,0.0,0.024792,0.950417,0.022083,0.145,0.0,0.145
uct-30000-self-play,30000,S42,edge,200,39,0.195,20.025641,39,0.195,20.025641,112,0,112,0.023333,0.0,0.023333,0.953333,0.03625,0.13,0.0,0.13
uct-30000-self-play,30000,S43,edge,200,31,0.155,20.354839,31,0.155,20.354839,94,0,94,0.019583,0.0,0.019583,0.960833,0.022083,0.11,0.0,0.11
uct-30000-self-play,30000,S44,corner,200,23,0.115,22.391304,23,0.115,22.391304,49,0,49,0.010208,0.0,0.010208,0.979583,0.006667,0.1,0.0,0.1
