experiment_id,iteration_limit,supply_point,spatial_category,player_games,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site
uct-30000-self-play,30000,S12,interior,200,392,392,1.96,88,0.44,1.14,0.285,392,197,3.94
uct-30000-self-play,30000,S13,interior,200,313,313,1.565,81,0.405,0.89,0.2225,313,170,4.146341
uct-30000-self-play,30000,S14,edge,200,15,15,0.075,11,0.055,0.065,0.0325,15,1,1.0
uct-30000-self-play,30000,S20,edge,200,5,5,0.025,4,0.02,0.025,0.0125,5,0,0.0
uct-30000-self-play,30000,S21,interior,200,378,378,1.89,87,0.435,1.045,0.26125,378,184,4.088889
uct-30000-self-play,30000,S22,interior,200,454,454,2.27,108,0.54,1.23,0.3075,454,247,4.04918
uct-30000-self-play,30000,S23,interior,200,334,334,1.67,90,0.45,0.975,0.24375,334,173,3.76087
uct-30000-self-play,30000,S24,edge,200,22,22,0.11,13,0.065,0.09,0.045,22,0,0.0
uct-30000-self-play,30000,S30,edge,200,14,14,0.07,7,0.035,0.055,0.0275,14,0,0.0
uct-30000-self-play,30000,S31,interior,200,384,384,1.92,94,0.47,1.075,0.26875,384,181,4.022222
uct-30000-self-play,30000,S32,interior,200,373,373,1.865,86,0.43,1.05,0.2625,373,227,4.829787
uct-30000-self-play,30000,S33,interior,200,310,310,1.55,84,0.42,0.875,0.21875,310,210,3.962264
uct-30000-self-play,30000,S34,edge,200,22,22,0.11,10,0.05,0.075,0.0375,22,0,0.0
uct-30000-self-play,30000,S40,corner,200,2,2,0.01,2,0.01,0.01,0.01,2,0,0.0
uct-30000-self-play,30000,S41,edge,200,14,14,0.07,10,0.05,0.06,0.03,14,0,0.0
uct-30000-self-play,30000,S42,edge,200,15,15,0.075,10,0.05,0.055,0.0275,15,0,0.0
uct-30000-self-play,30000,S43,edge,200,15,15,0.075,10,0.05,0.065,0.0325,15,0,0.0
uct-30000-self-play,30000,S44,corner,200,2,2,0.01,2,0.01,0.01,0.01,2,0,0.0
