experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_placement,placement_player_game_frequency,pieces_placed,pieces_placed_per_player_game,mean_first_placement_turn,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,player_games_secured,secured_frequency,mean_first_securing_turn,legal_securable_opportunities,securing_opportunities_taken,securing_rate_per_repeated_opportunity,ever_securable_player_sites,ever_securable_eventually_secured,eventual_securing_rate_per_ever_securable_player_site,supply_usage_turns,objective_placements_supplied,objective_placements_supplied_per_player_game,player_games_with_supply_usage,supply_usage_player_game_frequency,mean_objective_sites_supplied,mean_objective_coverage,usage_after_first_control,usage_after_securing,mean_usage_after_securing_per_secured_player_site,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-100000-self-play,100000,S32,interior,194,162,0.835052,333,1.716495,5.351852,107,0.551546,5.401869,124,0.639175,5.564516,424,782,1206,0.091065,0.167955,0.259021,0.481959,0.633591,51,0.262887,9.666667,738,51,0.069106,154,51,0.331169,344,344,1.773196,82,0.42268,0.943299,0.235825,344,244,4.784314,0.072165,0.262887,0.335052
uct-100000-self-play,100000,S33,interior,194,172,0.886598,333,1.716495,8.19186,106,0.546392,7.877358,122,0.628866,8.07377,479,607,1086,0.102878,0.130369,0.233247,0.533505,0.563144,46,0.237113,11.804348,756,46,0.060847,163,46,0.282209,317,317,1.634021,81,0.417526,0.974227,0.243557,317,187,4.065217,0.092784,0.237113,0.329897
uct-100000-self-play,100000,S34,edge,194,43,0.221649,55,0.283505,20.953488,32,0.164948,21.3125,32,0.164948,21.3125,66,13,79,0.014175,0.002792,0.016967,0.966065,0.024485,3,0.015464,20.666667,45,3,0.066667,24,3,0.125,10,10,0.051546,7,0.036082,0.041237,0.020619,10,4,1.333333,0.103093,0.015464,0.118557
uct-100000-self-play,100000,S40,corner,194,23,0.118557,24,0.123711,22.304348,21,0.108247,22.190476,21,0.108247,22.190476,56,0,56,0.012027,0.0,0.012027,0.975945,0.001289,0,0.0,0.0,15,0,0.0,5,0,0.0,3,3,0.015464,3,0.015464,0.015464,0.015464,3,0,0.0,0.097938,0.0,0.097938
uct-100000-self-play,100000,S41,edge,194,42,0.216495,53,0.273196,19.809524,30,0.154639,20.1,30,0.154639,20.1,95,5,100,0.020404,0.001074,0.021478,0.957045,0.030498,1,0.005155,20,76,1,0.013158,29,1,0.034483,12,12,0.061856,8,0.041237,0.051546,0.025773,12,2,2.0,0.108247,0.005155,0.113402
uct-100000-self-play,100000,S42,edge,194,45,0.231959,57,0.293814,19.622222,34,0.175258,20.088235,35,0.180412,19.942857,104,12,116,0.022337,0.002577,0.024914,0.950172,0.033076,3,0.015464,21,79,3,0.037975,26,3,0.115385,14,14,0.072165,9,0.046392,0.056701,0.028351,14,0,0.0,0.118557,0.015464,0.134021
uct-100000-self-play,100000,S43,edge,194,38,0.195876,48,0.247423,19.236842,27,0.139175,19.259259,27,0.139175,19.259259,95,8,103,0.020404,0.001718,0.022122,0.955756,0.028351,2,0.010309,21,76,2,0.026316,24,2,0.083333,18,18,0.092784,8,0.041237,0.061856,0.030928,18,1,0.5,0.087629,0.010309,0.097938
uct-100000-self-play,100000,S44,corner,194,15,0.07732,15,0.07732,22.933333,15,0.07732,22.933333,15,0.07732,22.933333,31,0,31,0.006658,0.0,0.006658,0.986684,0.0,0,0.0,0.0,5,0,0.0,4,0,0.0,3,3,0.015464,2,0.010309,0.010309,0.010309,3,0,0.0,0.07732,0.0,0.07732
uct-30000-self-play,30000,S00,corner,200,25,0.125,27,0.135,22.88,21,0.105,22.857143,21,0.105,22.857143,37,0,37,0.007708,0.0,0.007708,0.984583,0.003333,0,0.0,0.0,9,0,0.0,8,0,0.0,1,1,0.005,1,0.005,0.005,0.005,1,0,0.0,0.085,0.0,0.085
uct-30000-self-play,30000,S01,edge,200,29,0.145,36,0.18,20.137931,21,0.105,19.857143,21,0.105,19.857143,79,7,86,0.016458,0.001458,0.017917,0.964167,0.01375,2,0.01,21.5,44,2,0.045455,20,2,0.1,12,12,0.06,6,0.03,0.045,0.0225,12,2,1.0,0.07,0.01,0.08
