experiment_id,game_index,checkpoint_turn,cohort,checkpoint_leader,winner,global_strict_persistence_turn,post_checkpoint_takeover_turn,relative_turn,absolute_turn,takeover_decisive_layer,final_decisive_layer,mechanism_secured_objective_reversal,mechanism_advantage_conversion_reversal,mechanism_objective_piece_tiebreak_reversal,mechanism_supply_degradation,mechanism_supply_reinvestment,mechanism_mixed,secured_objective_reversal_event_turns,advantage_conversion_event_turns,objective_piece_tiebreak_event_turns,supply_baseline_start_turn,supply_baseline_end_turn,supply_lookback_start_turn,supply_lookback_end_turn,leader_baseline_usable_support_edges,leader_lookback_usable_support_edges,leader_usable_support_edge_delta,winner_baseline_usable_support_edges,winner_lookback_usable_support_edges,winner_usable_support_edge_delta,configured_support_edge_change_threshold,leader_baseline_supply_source_usage_mean,leader_lookback_supply_source_usage_mean,configured_usage_mean_change_threshold,winner_baseline_supply_placement_mean,winner_lookback_supply_placement_mean,configured_placement_mean_change_threshold,indicator_degradation_unsecured_control_loss,indicator_degradation_important_control_loss,indicator_degradation_support_edge_decline,indicator_degradation_source_usage_decline,indicator_reinvestment_supply_placement_increase,indicator_reinvestment_new_secured_supply,indicator_reinvestment_important_control_gain,indicator_reinvestment_support_edge_increase,degradation_indicator_count,reinvestment_indicator_count,configured_minimum_indicators,turn_number,mover,next_mover,final_result,p1_secured_objectives,p2_secured_objectives,secured_objective_difference,p1_advantage_objectives,p2_advantage_objectives,advantage_objective_difference,p1_objective_pieces,p2_objective_pieces,objective_piece_difference,p1_secured_supply,p2_secured_supply,secured_supply_difference,p1_unsecured_controlled_supply,p2_unsecured_controlled_supply,unsecured_controlled_supply_difference,p1_supply_placements,p2_supply_placements,p1_objective_placements,p2_objective_placements,p1_cumulative_supply_placements,p2_cumulative_supply_placements,p1_cumulative_objective_placements,p2_cumulative_objective_placements,p1_cumulative_supply_source_usage,p2_cumulative_supply_source_usage,supply_source_usage_difference,important_supply_source_uses_this_turn,p1_cumulative_important_supply_source_usage,p2_cumulative_important_supply_source_usage,p1_primary_important_sites_controlled,p2_primary_important_sites_controlled,primary_important_control_difference,p1_primary_important_site_list,p2_primary_important_site_list,new_secured_objectives_p1,new_secured_objectives_p2,advantage_gains_p1,advantage_gains_p2,advantage_losses_p1,advantage_losses_p2,objective_piece_difference_change,new_secured_supply_p1,new_secured_supply_p2,important_control_gains_p1,important_control_gains_p2,important_control_losses_p1,important_control_losses_p2,live_objectives,full_lexicographic_leader,current_decisive_layer,turn_allocation_type,supply_placement_change_from_prior_own_turn,usable_supply_support_edges_p1,unsecured_control_losses_p1,contested_supply_points_p1,supply_placements_p1,objective_placements_p1,supply_source_uses_p1,important_supply_source_uses_p1,supply_source_uses_after_securing_p1,objective_advantage_to_neutral_p1,objective_advantage_to_opponent_p1,usable_supply_support_edges_p2,unsecured_control_losses_p2,contested_supply_points_p2,supply_placements_p2,objective_placements_p2,supply_source_uses_p2,important_supply_source_uses_p2,supply_source_uses_after_securing_p2,objective_advantage_to_neutral_p2,objective_advantage_to_opponent_p2,secured_objectives_p1,secured_objectives_p2,secured_objectives_p1_minus_p2,secured_objectives_checkpoint_leader_relative,secured_objectives_eventual_winner_relative,advantage_objectives_p1,advantage_objectives_p2,advantage_objectives_p1_minus_p2,advantage_objectives_checkpoint_leader_relative,advantage_objectives_eventual_winner_relative,objective_pieces_p1,objective_pieces_p2,objective_pieces_p1_minus_p2,objective_pieces_checkpoint_leader_relative,objective_pieces_eventual_winner_relative,secured_supply_p1,secured_supply_p2,secured_supply_p1_minus_p2,secured_supply_checkpoint_leader_relative,secured_supply_eventual_winner_relative,unsecured_controlled_supply_p1,unsecured_controlled_supply_p2,unsecured_controlled_supply_p1_minus_p2,unsecured_controlled_supply_checkpoint_leader_relative,unsecured_controlled_supply_eventual_winner_relative,usable_supply_support_edges_p1_minus_p2,usable_supply_support_edges_checkpoint_leader_relative,usable_supply_support_edges_eventual_winner_relative
uct-10000-self-play,2,20,reversal,2,1,23,23,0,23,secured_objectives,secured_objectives,1,1,0,0,0,1,23,21,,15,18,19,22,6.0,3.5,-2.5,6.25,6.0,-0.25,1.0,2.5,3.0,0.5,1.0,0.5,0.5,0,0,1,0,0,0,0,0,1,0,2,23,1,2,p1_win,5,4,1,3,3,0,19,18,1,3,2,1,1,0,1,1,0,2,0,17,15,19,18,19,18,1,1,11,11,2,1,1,S22;S23,S12,1,0,1,0,1,0,2,0,0,0,0,0,1,7,1,secured_objectives,mixed,1,5,0,7,1,2,2,1,2,0,0,2,1,7,0,0,0,0,0,0,0,5,4,1,-1,1,3,3,0,0,0,19,18,1,-1,1,3,2,1,-1,1,1,0,1,-1,1,3,-3,3
uct-10000-self-play,2,20,reversal,2,1,23,23,1,24,secured_objectives,secured_objectives,1,1,0,0,0,1,23,21,,15,18,19,22,6.0,3.5,-2.5,6.25,6.0,-0.25,1.0,2.5,3.0,0.5,1.0,0.5,0.5,0,0,1,0,0,0,0,0,1,0,2,24,2,,p1_win,5,4,1,3,3,0,19,18,1,3,3,0,1,2,-1,0,3,0,0,17,18,19,18,19,18,1,0,11,11,2,3,-1,S22;S23,S12;S13;S21,0,0,0,0,0,0,0,0,1,0,2,0,0,7,1,secured_objectives,all_supply,3,5,0,7,0,0,0,0,0,0,0,6,0,7,3,0,0,0,0,0,0,5,4,1,-1,1,3,3,0,0,0,19,18,1,-1,1,3,3,0,0,0,1,2,-1,1,-1,-1,1,-1
uct-10000-self-play,4,20,reversal,2,1,21,21,-3,18,secured_objectives,advantage_objectives,1,0,0,1,1,1,21,,,13,16,17,20,7.5,4.25,-3.25,3.25,4.5,1.25,1.0,1.5,2.5,0.5,1.0,1.5,0.5,1,0,1,0,1,0,1,1,2,3,2,18,2,1,p1_win,4,3,1,2,2,0,14,15,-1,1,2,-1,3,1,2,0,0,0,3,13,12,14,15,14,15,-1,3,8,14,1,3,-2,S12,S21;S22;S23,0,1,0,1,0,1,-3,0,0,0,0,0,0,9,1,secured_objectives,all_objective,-2,2,0,5,0,0,0,0,0,0,0,4,0,5,0,3,3,3,2,0,0,4,3,1,-1,1,2,2,0,0,0,14,15,-1,1,-1,1,2,-1,1,-1,3,1,2,-2,2,-2,2,-2
uct-10000-self-play,4,20,reversal,2,1,21,21,-2,19,secured_objectives,advantage_objectives,1,0,0,1,1,1,21,,,13,16,17,20,7.5,4.25,-3.25,3.25,4.5,1.25,1.0,1.5,2.5,0.5,1.0,1.5,0.5,1,0,1,0,1,0,1,1,2,3,2,19,1,2,p1_win,4,3,1,2,2,0,15,15,0,1,2,-1,5,1,4,2,0,1,0,15,12,15,15,15,15,0,0,8,14,2,3,-1,S12;S13,S21;S22;S23,0,0,0,0,0,0,1,0,0,1,0,0,0,9,1,secured_objectives,mixed,1,7,0,5,2,1,1,0,0,0,0,4,0,5,0,0,0,0,0,0,0,4,3,1,-1,1,2,2,0,0,0,15,15,0,0,0,1,2,-1,1,-1,5,1,4,-4,4,3,-3,3
uct-10000-self-play,4,20,reversal,2,1,21,21,-1,20,secured_objectives,advantage_objectives,1,0,0,1,1,1,21,,,13,16,17,20,7.5,4.25,-3.25,3.25,4.5,1.25,1.0,1.5,2.5,0.5,1.0,1.5,0.5,1,0,1,0,1,0,1,1,2,3,2,20,2,1,p1_win,4,4,0,2,2,0,15,17,-2,1,2,-1,5,2,3,0,1,0,2,15,13,15,17,15,17,-2,2,8,16,2,3,-1,S12;S13,S21;S22;S23,0,1,0,1,0,1,-2,0,0,0,0,0,0,8,-1,objective_pieces,mixed,1,7,0,5,0,0,0,0,0,0,0,4,0,5,1,2,2,2,1,0,0,4,4,0,0,0,2,2,0,0,0,15,17,-2,2,-2,1,2,-1,1,-1,5,2,3,-3,3,3,-3,3
uct-10000-self-play,4,20,reversal,2,1,21,21,0,21,secured_objectives,advantage_objectives,1,0,0,1,1,1,21,,,13,16,17,20,7.5,4.25,-3.25,3.25,4.5,1.25,1.0,1.5,2.5,0.5,1.0,1.5,0.5,1,0,1,0,1,0,1,1,2,3,2,21,1,2,p1_win,5,4,1,2,2,0,17,17,0,1,2,-1,6,2,4,1,0,2,0,16,13,17,17,17,17,0,1,9,16,2,3,-1,S12;S13,S21;S22;S23,1,0,1,0,1,0,2,0,0,0,0,0,0,7,1,secured_objectives,mixed,-1,6,0,5,1,2,2,1,0,0,0,4,0,5,0,0,0,0,0,0,0,5,4,1,-1,1,2,2,0,0,0,17,17,0,0,0,1,2,-1,1,-1,6,2,4,-4,4,2,-2,2
uct-10000-self-play,4,20,reversal,2,1,21,21,1,22,secured_objectives,advantage_objectives,1,0,0,1,1,1,21,,,13,16,17,20,7.5,4.25,-3.25,3.25,4.5,1.25,1.0,1.5,2.5,0.5,1.0,1.5,0.5,1,0,1,0,1,0,1,1,2,3,2,22,2,1,p1_win,5,5,0,2,1,1,17,19,-2,1,2,-1,6,3,3,0,1,0,2,16,14,17,19,17,19,-2,1,9,17,2,3,-1,S12;S13,S21;S22;S23,0,1,0,0,0,1,-2,0,0,0,0,0,0,6,1,advantage_objectives,mixed,0,5,0,5,0,0,0,0,0,0,0,4,0,5,1,2,2,1,0,0,0,5,5,0,0,0,2,1,1,-1,1,17,19,-2,2,-2,1,2,-1,1,-1,6,3,3,-3,3,1,-1,1
uct-10000-self-play,4,20,reversal,2,1,21,21,2,23,secured_objectives,advantage_objectives,1,0,0,1,1,1,21,,,13,16,17,20,7.5,4.25,-3.25,3.25,4.5,1.25,1.0,1.5,2.5,0.5,1.0,1.5,0.5,1,0,1,0,1,0,1,1,2,3,2,23,1,2,p1_win,5,5,0,3,0,3,19,19,0,1,2,-1,6,2,4,1,0,2,0,17,14,19,19,19,19,0,0,9,17,2,3,-1,S12;S13,S21;S22;S23,0,0,1,0,0,1,2,0,0,0,0,0,0,6,1,advantage_objectives,mixed,0,5,0,6,1,2,2,0,0,0,0,3,1,6,0,0,0,0,0,1,0,5,5,0,0,0,3,0,3,-3,3,19,19,0,0,0,1,2,-1,1,-1,6,2,4,-4,4,2,-2,2
uct-10000-self-play,4,20,reversal,2,1,21,21,3,24,secured_objectives,advantage_objectives,1,0,0,1,1,1,21,,,13,16,17,20,7.5,4.25,-3.25,3.25,4.5,1.25,1.0,1.5,2.5,0.5,1.0,1.5,0.5,1,0,1,0,1,0,1,1,2,3,2,24,2,,p1_win,5,5,0,3,0,3,19,19,0,1,2,-1,5,4,1,0,3,0,0,17,17,19,19,19,19,0,0,9,17,2,3,-1,S12;S13,S21;S22;S23,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,advantage_objectives,all_supply,2,5,1,7,0,0,0,0,0,0,0,4,0,7,3,0,0,0,0,0,0,5,5,0,0,0,3,0,3,-3,3,19,19,0,0,0,1,2,-1,1,-1,5,4,1,-1,1,1,-1,1
uct-10000-self-play,8,16,reversal,1,2,24,24,-3,21,advantage_objectives,advantage_objectives,1,1,0,1,0,1,20,23;24,,16,19,20,23,3.5,1.25,-2.25,4.5,4.0,-0.5,1.0,1.0,1.0,0.5,1.5,1.5,0.5,1,1,1,0,0,0,0,0,3,0,2,21,1,2,p2_win,4,5,-1,2,0,2,16,15,1,2,2,0,2,0,2,2,0,1,0,17,15,16,15,16,15,1,0,6,8,2,1,1,S22;S23,S13,1,0,0,0,1,0,1,1,0,2,0,0,0,7,-1,secured_objectives,mixed,0,2,0,8,2,1,1,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,5,-1,-1,1,2,0,2,2,-2,16,15,1,1,-1,2,2,0,0,0,2,0,2,2,-2,-1,-1,1
uct-10000-self-play,8,16,reversal,1,2,24,24,-2,22,advantage_objectives,advantage_objectives,1,1,0,1,0,1,20,23;24,,16,19,20,23,3.5,1.25,-2.25,4.5,4.0,-0.5,1.0,1.0,1.0,0.5,1.5,1.5,0.5,1,1,1,0,0,0,0,0,3,0,2,22,2,1,p2_win,4,5,-1,2,1,1,16,16,0,2,2,0,1,1,0,0,2,0,1,17,17,16,16,16,16,0,1,6,9,1,1,0,S22,S13,0,0,0,1,0,0,-1,0,0,0,0,1,0,7,-1,secured_objectives,mixed,1,1,1,8,0,0,0,0,0,0,0,7,0,8,2,1,1,1,1,0,0,4,5,-1,-1,1,2,1,1,1,-1,16,16,0,0,0,2,2,0,0,0,1,1,0,0,0,-6,-6,6
uct-10000-self-play,8,16,reversal,1,2,24,24,-1,23,advantage_objectives,advantage_objectives,1,1,0,1,0,1,20,23;24,,16,19,20,23,3.5,1.25,-2.25,4.5,4.0,-0.5,1.0,1.0,1.0,0.5,1.5,1.5,0.5,1,1,1,0,0,0,0,0,3,0,2,23,1,2,p2_win,5,5,0,1,1,0,17,16,1,2,2,0,1,0,1,2,0,1,0,19,17,17,16,17,16,1,1,7,9,1,1,0,S22,S13,1,0,0,0,1,0,1,0,0,0,0,0,0,6,1,objective_pieces,mixed,0,0,0,9,2,1,1,1,1,0,0,3,1,9,0,0,0,0,0,0,0,5,5,0,0,0,1,1,0,0,0,17,16,1,1,-1,2,2,0,0,0,1,0,1,1,-1,-3,-3,3
uct-10000-self-play,8,16,reversal,1,2,24,24,0,24,advantage_objectives,advantage_objectives,1,1,0,1,0,1,20,23;24,,16,19,20,23,3.5,1.25,-2.25,4.5,4.0,-0.5,1.0,1.0,1.0,0.5,1.5,1.5,0.5,1,1,1,0,0,0,0,0,3,0,2,24,2,,p2_win,5,5,0,1,2,-1,17,17,0,2,2,0,1,1,0,0,2,0,1,19,19,17,17,17,17,0,1,7,10,1,1,0,S22,S13,0,0,0,1,0,0,-1,0,0,0,0,0,0,6,-1,advantage_objectives,mixed,0,0,0,10,0,0,0,0,0,0,0,3,0,10,2,1,1,1,1,0,0,5,5,0,0,0,1,2,-1,-1,1,17,17,0,0,0,2,2,0,0,0,1,1,0,0,0,-3,-3,3
uct-10000-self-play,9,12,reversal,2,1,19,19,-3,16,secured_objectives,secured_objectives,1,1,0,1,0,1,13;19,15,,11,14,15,18,7.25,3.5,-3.75,8.25,4.75,-3.5,1.0,3.0,2.0,0.5,0.0,0.0,0.5,0,0,1,1,0,0,0,0,2,0,2,16,2,1,p1_win,3,4,-1,3,1,2,12,13,-1,1,1,0,3,2,1,0,0,0,3,12,11,12,13,12,13,-1,0,11,1,3,0,3,S12;S13;S21,,0,1,0,1,0,1,-3,0,0,0,0,0,0,9,-1,secured_objectives,all_objective,0,5,0,6,0,0,0,0,0,0,0,2,0,6,0,3,3,0,1,0,0,3,4,-1,1,-1,3,1,2,-2,2,12,13,-1,1,-1,1,1,0,0,0,3,2,1,-1,1,3,-3,3
uct-10000-self-play,9,12,reversal,2,1,19,19,-2,17,secured_objectives,secured_objectives,1,1,0,1,0,1,13;19,15,,11,14,15,18,7.25,3.5,-3.75,8.25,4.75,-3.5,1.0,3.0,2.0,0.5,0.0,0.0,0.5,0,0,1,1,0,0,0,0,2,0,2,17,1,2,p1_win,3,4,-1,3,1,2,15,13,2,1,1,0,3,2,1,0,0,3,0,12,11,15,13,15,13,2,2,13,1,3,0,3,S12;S13;S21,,0,0,0,0,0,0,3,0,0,0,0,0,0,9,-1,secured_objectives,all_objective,0,5,0,6,0,3,3,2,0,0,0,2,0,6,0,0,0,0,0,0,0,3,4,-1,1,-1,3,1,2,-2,2,15,13,2,-2,2,1,1,0,0,0,3,2,1,-1,1,3,-3,3
uct-10000-self-play,9,12,reversal,2,1,19,19,-1,18,secured_objectives,secured_objectives,1,1,0,1,0,1,13;19,15,,11,14,15,18,7.25,3.5,-3.75,8.25,4.75,-3.5,1.0,3.0,2.0,0.5,0.0,0.0,0.5,0,0,1,1,0,0,0,0,2,0,2,18,2,1,p1_win,3,4,-1,3,1,2,15,14,1,1,1,0,2,3,-1,0,2,0,1,12,13,15,14,15,14,1,0,13,1,2,0,2,S13;S21,,0,0,0,0,0,0,-1,0,0,0,0,1,0,9,-1,secured_objectives,mixed,2,4,1,6,0,0,0,0,0,0,0,5,0,6,2,1,1,0,0,0,0,3,4,-1,1,-1,3,1,2,-2,2,15,14,1,-1,1,1,1,0,0,0,2,3,-1,1,-1,-1,1,-1
