"board","experiment_id","search_level","game_index","window_turns","turns","mean_active_regions","multi_active_turn_rate","longest_multi_active_run","longest_multi_active_run_fraction","mean_multi_active_run","mean_multi_active_run_fraction","mean_both_invested_regions","multi_both_invested_turn_rate","mixed_leadership_turn_rate","longest_mixed_leadership_run","longest_mixed_leadership_run_fraction","mean_mixed_leadership_run","mean_mixed_leadership_run_fraction","mean_p1_led_regions","mean_p2_led_regions","mean_led_regions","mean_opposition_breadth","mean_opportunity_adjusted_activity","opportunity_adjustment_regions","focus_switches","focus_eligible_pairs","focus_eligible_fraction","focus_switch_rate","no_dominant_turn_rate","mean_focus_persistence","mean_focus_switch_distance"
"3x3","3x3-seeded-random","seeded-random","62","4","18","3.444444","0.888889","16","0.888889","16.000000","0.888889","2.333333","0.777778","0.611111","11","0.611111","11.000000","0.611111","2.333333","1.333333","3.666667","1.277778","3.623716","9","2","2","0.117647","1.000000","0.777778","1.000000","3.000000"
"3x3","3x3-seeded-random","seeded-random","63","4","18","3.833333","0.777778","14","0.777778","14.000000","0.777778","1.444444","0.500000","0.111111","2","0.111111","2.000000","0.111111","0.277778","2.388889","2.666667","0.111111","3.637637","9","1","2","0.117647","0.500000","0.722222","1.250000","4.000000"
"3x3","3x3-seeded-random","seeded-random","64","4","18","3.000000","0.888889","16","0.888889","16.000000","0.888889","1.611111","0.555556","0.777778","11","0.611111","7.000000","0.388889","2.055556","1.777778","3.833333","1.611111","2.643210","9","1","1","0.058824","1.000000","0.722222","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","65","4","18","2.555556","0.833333","15","0.833333","15.000000","0.833333","1.888889","0.777778","0.833333","15","0.833333","15.000000","0.833333","2.444444","2.000000","4.444444","1.777778","2.210166","9","2","5","0.294118","0.400000","0.500000","1.500000","2.000000"
"3x3","3x3-seeded-random","seeded-random","66","4","18","3.500000","0.888889","16","0.888889","16.000000","0.888889","2.500000","0.888889","0.722222","13","0.722222","13.000000","0.722222","2.277778","1.666667","3.944444","1.611111","3.277487","9","0","0","0.000000","","0.833333","1.000000",""
"3x3","3x3-seeded-random","seeded-random","67","4","18","4.111111","0.888889","16","0.888889","16.000000","0.888889","2.444444","0.888889","0.277778","5","0.277778","5.000000","0.277778","2.388889","0.444444","2.833333","0.444444","4.217948","9","0","0","0.000000","","0.777778","1.000000",""
"3x3","3x3-seeded-random","seeded-random","68","4","18","3.222222","0.833333","15","0.833333","15.000000","0.833333","1.444444","0.555556","0.722222","13","0.722222","13.000000","0.722222","3.000000","1.500000","4.500000","1.444444","3.477578","9","1","2","0.117647","0.500000","0.666667","1.200000","2.000000"
"3x3","3x3-seeded-random","seeded-random","69","4","18","3.500000","0.777778","14","0.777778","14.000000","0.777778","2.000000","0.666667","0.833333","15","0.833333","15.000000","0.833333","3.055556","1.333333","4.388889","1.333333","3.357749","9","4","6","0.352941","0.666667","0.444444","1.250000","1.750000"
"3x3","3x3-seeded-random","seeded-random","70","4","18","3.611111","0.833333","15","0.833333","15.000000","0.833333","2.222222","0.722222","0.722222","13","0.722222","13.000000","0.722222","2.666667","0.888889","3.555556","0.888889","3.500389","9","3","3","0.176471","1.000000","0.722222","1.000000","2.000000"
"3x3","3x3-seeded-random","seeded-random","71","4","18","3.888889","0.833333","15","0.833333","15.000000","0.833333","1.833333","0.666667","0.722222","13","0.722222","13.000000","0.722222","2.611111","1.388889","4.000000","1.388889","4.125857","9","1","2","0.117647","0.500000","0.611111","1.166667","1.000000"
