"board","experiment_id","search_level","game_index","window_turns","region","active_turns","active_turn_rate","both_invested_turns","both_invested_turn_rate","mean_regional_opportunity_share","opportunity_adjusted_activity","regional_capacity_share","total_points","supply_points","objectives"
"3x3","3x3-seeded-random","seeded-random","35","4","ML","7","0.388889","6","0.333333","0.109321","3.557328","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","35","4","MM","0","0.000000","0","0.000000","0.074796","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","35","4","MH","11","0.611111","5","0.277778","0.072271","8.455821","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","35","4","HL","13","0.722222","6","0.333333","0.131558","5.489774","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","35","4","HM","1","0.055556","0","0.000000","0.080087","0.693688","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","35","4","HH","11","0.611111","4","0.222222","0.077442","7.891233","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","36","4","LL","14","0.777778","10","0.555556","0.215941","3.601799","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","36","4","LM","8","0.444444","0","0.000000","0.116693","3.808651","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","36","4","LH","0","0.000000","0","0.000000","0.116693","0.000000","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","36","4","ML","11","0.611111","5","0.277778","0.132470","4.613194","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","36","4","MM","7","0.388889","1","0.055556","0.084223","4.617375","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","36","4","MH","8","0.444444","5","0.277778","0.089526","4.964421","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","36","4","HL","9","0.500000","3","0.166667","0.122709","4.074679","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","36","4","HM","4","0.222222","1","0.055556","0.058457","3.801497","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","36","4","HH","4","0.222222","4","0.222222","0.063288","3.511313","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","37","4","LL","17","0.944444","17","0.944444","0.214479","4.403428","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","37","4","LM","0","0.000000","0","0.000000","0.120122","0.000000","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","37","4","LH","5","0.277778","4","0.222222","0.097830","2.839396","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","37","4","ML","13","0.722222","6","0.333333","0.111822","6.458700","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","37","4","MM","13","0.722222","3","0.166667","0.084034","8.594377","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","37","4","MH","8","0.444444","1","0.055556","0.068982","6.442894","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","37","4","HL","6","0.333333","1","0.055556","0.136014","2.450728","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","37","4","HM","5","0.277778","1","0.055556","0.084874","3.272830","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","37","4","HH","0","0.000000","0","0.000000","0.081844","0.000000","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","38","4","LL","17","0.944444","12","0.666667","0.226353","4.172435","0.200000","5","4","1"
"3x3","3x3-seeded-random","seeded-random","38","4","LM","8","0.444444","5","0.277778","0.111814","3.974853","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","38","4","LH","5","0.277778","3","0.166667","0.127338","2.181413","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","38","4","ML","4","0.222222","3","0.166667","0.121915","1.822761","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","38","4","MM","7","0.388889","0","0.000000","0.076031","5.114888","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","38","4","MH","6","0.333333","3","0.166667","0.073253","4.550439","0.080000","2","1","1"
"3x3","3x3-seeded-random","seeded-random","38","4","HL","16","0.888889","10","0.555556","0.109862","8.090991","0.120000","3","2","1"
"3x3","3x3-seeded-random","seeded-random","38","4","HM","8","0.444444","1","0.055556","0.071475","6.218190","0.080000","2","1","1"
