"board","search_level","measure","metric","games","value","median","ci_low","ci_high","primary"
"3x3","uct-1000","lead_engaged","mean_null_absolute","100","0.339661","0.338268","0.331322","0.347964","false"
"3x3","uct-1000","lead_engaged","mean_dependence_excess","100","0.141741","0.134016","0.132295","0.151402","false"
"3x3","uct-1000","supply_change","evaluable_fraction","100","0.682500","0.583333","0.645556","0.719722","true"
"3x3","uct-1000","supply_change","mean_observed_absolute","100","0.199365","0.194265","0.193464","0.205568","true"
"3x3","uct-1000","supply_change","mean_null_absolute","100","0.207622","0.206796","0.205313","0.210022","true"
"3x3","uct-1000","supply_change","mean_dependence_excess","100","-0.008257","-0.014400","-0.014255","-0.001879","true"
"3x3","uct-1000","objective_change","evaluable_fraction","100","0.893611","1.000000","0.867500","0.920278","true"
"3x3","uct-1000","objective_change","mean_observed_absolute","100","0.176809","0.174011","0.172505","0.181166","true"
"3x3","uct-1000","objective_change","mean_null_absolute","100","0.199682","0.200373","0.197415","0.202153","true"
"3x3","uct-1000","objective_change","mean_dependence_excess","100","-0.022873","-0.024483","-0.026079","-0.019592","true"
"4x4","seeded-random","lead","evaluable_fraction","100","0.780278","0.777778","0.744167","0.814167","false"
"4x4","seeded-random","lead","mean_observed_absolute","100","0.441511","0.434804","0.423516","0.458155","false"
"4x4","seeded-random","lead","mean_null_absolute","100","0.343843","0.340585","0.334647","0.353362","false"
"4x4","seeded-random","lead","mean_dependence_excess","100","0.097667","0.098527","0.085972","0.109518","false"
"4x4","seeded-random","lead_engaged","evaluable_fraction","100","0.753056","0.777778","0.719167","0.786944","false"
"4x4","seeded-random","lead_engaged","mean_observed_absolute","100","0.424077","0.418902","0.407570","0.440509","false"
"4x4","seeded-random","lead_engaged","mean_null_absolute","100","0.331538","0.328400","0.322420","0.341186","false"
"4x4","seeded-random","lead_engaged","mean_dependence_excess","100","0.092539","0.095061","0.081503","0.103808","false"
"4x4","seeded-random","supply_change","evaluable_fraction","100","0.936111","1.000000","0.913889","0.955833","false"
"4x4","seeded-random","supply_change","mean_observed_absolute","100","0.168611","0.165670","0.165367","0.172268","false"
"4x4","seeded-random","supply_change","mean_null_absolute","100","0.175858","0.175926","0.174771","0.176918","false"
"4x4","seeded-random","supply_change","mean_dependence_excess","100","-0.007247","-0.009580","-0.010844","-0.003635","false"
"4x4","seeded-random","objective_change","evaluable_fraction","100","0.780278","0.777778","0.745278","0.815000","false"
"4x4","seeded-random","objective_change","mean_observed_absolute","100","0.132270","0.131177","0.126939","0.138114","false"
