"board","search_level","region","metric","games","value"
"3x3","uct-0100","HM","regional_capacity_share","100","0.080000"
"3x3","uct-0100","HH","active_turn_rate","100","0.169444"
"3x3","uct-0100","HH","both_invested_turn_rate","100","0.090000"
"3x3","uct-0100","HH","mean_regional_opportunity_share","100","0.073898"
"3x3","uct-0100","HH","opportunity_adjusted_activity","100","2.387703"
"3x3","uct-0100","HH","regional_capacity_share","100","0.080000"
"3x3","uct-0500","LL","active_turn_rate","100","0.643333"
"3x3","uct-0500","LL","both_invested_turn_rate","100","0.411667"
"3x3","uct-0500","LL","mean_regional_opportunity_share","100","0.223799"
"3x3","uct-0500","LL","opportunity_adjusted_activity","100","2.882136"
"3x3","uct-0500","LL","regional_capacity_share","100","0.200000"
"3x3","uct-0500","LM","active_turn_rate","100","0.527222"
"3x3","uct-0500","LM","both_invested_turn_rate","100","0.322778"
"3x3","uct-0500","LM","mean_regional_opportunity_share","100","0.120239"
"3x3","uct-0500","LM","opportunity_adjusted_activity","100","4.446591"
"3x3","uct-0500","LM","regional_capacity_share","100","0.120000"
"3x3","uct-0500","LH","active_turn_rate","100","0.251667"
"3x3","uct-0500","LH","both_invested_turn_rate","100","0.126667"
"3x3","uct-0500","LH","mean_regional_opportunity_share","100","0.125200"
"3x3","uct-0500","LH","opportunity_adjusted_activity","100","1.994402"
"3x3","uct-0500","LH","regional_capacity_share","100","0.120000"
"3x3","uct-0500","ML","active_turn_rate","100","0.508333"
"3x3","uct-0500","ML","both_invested_turn_rate","100","0.295000"
"3x3","uct-0500","ML","mean_regional_opportunity_share","100","0.120103"
"3x3","uct-0500","ML","opportunity_adjusted_activity","100","4.298637"
"3x3","uct-0500","ML","regional_capacity_share","100","0.120000"
"3x3","uct-0500","MM","active_turn_rate","100","0.443333"
"3x3","uct-0500","MM","both_invested_turn_rate","100","0.240000"
"3x3","uct-0500","MM","mean_regional_opportunity_share","100","0.067602"
"3x3","uct-0500","MM","opportunity_adjusted_activity","100","6.964396"
"3x3","uct-0500","MM","regional_capacity_share","100","0.080000"
"3x3","uct-0500","MH","active_turn_rate","100","0.193889"
"3x3","uct-0500","MH","both_invested_turn_rate","100","0.112222"
"3x3","uct-0500","MH","mean_regional_opportunity_share","100","0.073533"
"3x3","uct-0500","MH","opportunity_adjusted_activity","100","2.629166"
"3x3","uct-0500","MH","regional_capacity_share","100","0.080000"
"3x3","uct-0500","HL","active_turn_rate","100","0.221111"
"3x3","uct-0500","HL","both_invested_turn_rate","100","0.137222"
"3x3","uct-0500","HL","mean_regional_opportunity_share","100","0.125347"
"3x3","uct-0500","HL","opportunity_adjusted_activity","100","1.761372"
"3x3","uct-0500","HL","regional_capacity_share","100","0.120000"
"3x3","uct-0500","HM","active_turn_rate","100","0.190000"
"3x3","uct-0500","HM","both_invested_turn_rate","100","0.118333"
"3x3","uct-0500","HM","mean_regional_opportunity_share","100","0.072343"
"3x3","uct-0500","HM","opportunity_adjusted_activity","100","2.650425"
"3x3","uct-0500","HM","regional_capacity_share","100","0.080000"
"3x3","uct-0500","HH","active_turn_rate","100","0.085556"
"3x3","uct-0500","HH","both_invested_turn_rate","100","0.058889"
"3x3","uct-0500","HH","mean_regional_opportunity_share","100","0.071834"
"3x3","uct-0500","HH","opportunity_adjusted_activity","100","1.172716"
"3x3","uct-0500","HH","regional_capacity_share","100","0.080000"
"3x3","uct-1000","LL","active_turn_rate","100","0.622222"
"3x3","uct-1000","LL","both_invested_turn_rate","100","0.395556"
"3x3","uct-1000","LL","mean_regional_opportunity_share","100","0.227120"
"3x3","uct-1000","LL","opportunity_adjusted_activity","100","2.749204"
"3x3","uct-1000","LL","regional_capacity_share","100","0.200000"
"3x3","uct-1000","LM","active_turn_rate","100","0.530000"
"3x3","uct-1000","LM","both_invested_turn_rate","100","0.339444"
"3x3","uct-1000","LM","mean_regional_opportunity_share","100","0.113762"
"3x3","uct-1000","LM","opportunity_adjusted_activity","100","4.764991"
"3x3","uct-1000","LM","regional_capacity_share","100","0.120000"
"3x3","uct-1000","LH","active_turn_rate","100","0.146667"
"3x3","uct-1000","LH","both_invested_turn_rate","100","0.101111"
"3x3","uct-1000","LH","mean_regional_opportunity_share","100","0.128060"
"3x3","uct-1000","LH","opportunity_adjusted_activity","100","1.134533"
"3x3","uct-1000","LH","regional_capacity_share","100","0.120000"
"3x3","uct-1000","ML","active_turn_rate","100","0.506667"
"3x3","uct-1000","ML","both_invested_turn_rate","100","0.317222"
"3x3","uct-1000","ML","mean_regional_opportunity_share","100","0.116356"
"3x3","uct-1000","ML","opportunity_adjusted_activity","100","4.397978"
"3x3","uct-1000","ML","regional_capacity_share","100","0.120000"
"3x3","uct-1000","MM","active_turn_rate","100","0.443889"
"3x3","uct-1000","MM","both_invested_turn_rate","100","0.291111"
"3x3","uct-1000","MM","mean_regional_opportunity_share","100","0.061048"
"3x3","uct-1000","MM","opportunity_adjusted_activity","100","7.811725"
"3x3","uct-1000","MM","regional_capacity_share","100","0.080000"
"3x3","uct-1000","MH","active_turn_rate","100","0.117222"
"3x3","uct-1000","MH","both_invested_turn_rate","100","0.076667"
"3x3","uct-1000","MH","mean_regional_opportunity_share","100","0.075320"
"3x3","uct-1000","MH","opportunity_adjusted_activity","100","1.599961"
"3x3","uct-1000","MH","regional_capacity_share","100","0.080000"
"3x3","uct-1000","HL","active_turn_rate","100","0.177778"
"3x3","uct-1000","HL","both_invested_turn_rate","100","0.117778"
"3x3","uct-1000","HL","mean_regional_opportunity_share","100","0.129561"
"3x3","uct-1000","HL","opportunity_adjusted_activity","100","1.378324"
"3x3","uct-1000","HL","regional_capacity_share","100","0.120000"
"3x3","uct-1000","HM","active_turn_rate","100","0.168333"
"3x3","uct-1000","HM","both_invested_turn_rate","100","0.110556"
"3x3","uct-1000","HM","mean_regional_opportunity_share","100","0.076248"
"3x3","uct-1000","HM","opportunity_adjusted_activity","100","2.150534"
"3x3","uct-1000","HM","regional_capacity_share","100","0.080000"
"3x3","uct-1000","HH","active_turn_rate","100","0.062778"
"3x3","uct-1000","HH","both_invested_turn_rate","100","0.045000"
"3x3","uct-1000","HH","mean_regional_opportunity_share","100","0.072527"
"3x3","uct-1000","HH","opportunity_adjusted_activity","100","0.833484"
"3x3","uct-1000","HH","regional_capacity_share","100","0.080000"
"4x4","seeded-random","LL","active_turn_rate","100","0.589167"
"4x4","seeded-random","LL","both_invested_turn_rate","100","0.295417"
"4x4","seeded-random","LL","mean_regional_opportunity_share","100","0.132668"
"4x4","seeded-random","LL","opportunity_adjusted_activity","100","4.459080"
"4x4","seeded-random","LL","regional_capacity_share","100","0.121951"
"4x4","seeded-random","LM","active_turn_rate","100","0.409583"
"4x4","seeded-random","LM","both_invested_turn_rate","100","0.187500"
"4x4","seeded-random","LM","mean_regional_opportunity_share","100","0.094244"
"4x4","seeded-random","LM","opportunity_adjusted_activity","100","4.285512"
"4x4","seeded-random","LM","regional_capacity_share","100","0.097561"
"4x4","seeded-random","LH","active_turn_rate","100","0.620000"
"4x4","seeded-random","LH","both_invested_turn_rate","100","0.282500"
"4x4","seeded-random","LH","mean_regional_opportunity_share","100","0.133872"
"4x4","seeded-random","LH","opportunity_adjusted_activity","100","4.642402"
"4x4","seeded-random","LH","regional_capacity_share","100","0.121951"
"4x4","seeded-random","ML","active_turn_rate","100","0.422083"
"4x4","seeded-random","ML","both_invested_turn_rate","100","0.189167"
"4x4","seeded-random","ML","mean_regional_opportunity_share","100","0.090805"
"4x4","seeded-random","ML","opportunity_adjusted_activity","100","4.655571"
"4x4","seeded-random","ML","regional_capacity_share","100","0.097561"
"4x4","seeded-random","MM","active_turn_rate","100","0.370000"
"4x4","seeded-random","MM","both_invested_turn_rate","100","0.191250"
"4x4","seeded-random","MM","mean_regional_opportunity_share","100","0.097146"
"4x4","seeded-random","MM","opportunity_adjusted_activity","100","3.775554"
"4x4","seeded-random","MM","regional_capacity_share","100","0.121951"
"4x4","seeded-random","MH","active_turn_rate","100","0.395833"
"4x4","seeded-random","MH","both_invested_turn_rate","100","0.156250"
"4x4","seeded-random","MH","mean_regional_opportunity_share","100","0.093695"
"4x4","seeded-random","MH","opportunity_adjusted_activity","100","4.198846"
"4x4","seeded-random","MH","regional_capacity_share","100","0.097561"
"4x4","seeded-random","HL","active_turn_rate","100","0.593750"
"4x4","seeded-random","HL","both_invested_turn_rate","100","0.298750"
"4x4","seeded-random","HL","mean_regional_opportunity_share","100","0.132871"
"4x4","seeded-random","HL","opportunity_adjusted_activity","100","4.444818"
"4x4","seeded-random","HL","regional_capacity_share","100","0.121951"
"4x4","seeded-random","HM","active_turn_rate","100","0.395417"
"4x4","seeded-random","HM","both_invested_turn_rate","100","0.165833"
"4x4","seeded-random","HM","mean_regional_opportunity_share","100","0.091215"
"4x4","seeded-random","HM","opportunity_adjusted_activity","100","4.264506"
"4x4","seeded-random","HM","regional_capacity_share","100","0.097561"
"4x4","seeded-random","HH","active_turn_rate","100","0.573333"
"4x4","seeded-random","HH","both_invested_turn_rate","100","0.263333"
"4x4","seeded-random","HH","mean_regional_opportunity_share","100","0.133483"
"4x4","seeded-random","HH","opportunity_adjusted_activity","100","4.278313"
"4x4","seeded-random","HH","regional_capacity_share","100","0.121951"
"4x4","uct-0100","LL","active_turn_rate","100","0.428333"
"4x4","uct-0100","LL","both_invested_turn_rate","100","0.193750"
"4x4","uct-0100","LL","mean_regional_opportunity_share","100","0.134611"
"4x4","uct-0100","LL","opportunity_adjusted_activity","100","3.170125"
"4x4","uct-0100","LL","regional_capacity_share","100","0.121951"
"4x4","uct-0100","LM","active_turn_rate","100","0.427500"
"4x4","uct-0100","LM","both_invested_turn_rate","100","0.188750"
"4x4","uct-0100","LM","mean_regional_opportunity_share","100","0.090345"
"4x4","uct-0100","LM","opportunity_adjusted_activity","100","4.791803"
