experiment_id,iteration_limit,supply_point,spatial_category,player_games,player_games_with_unsecured_control,unsecured_control_frequency,mean_first_unsecured_control_turn,player_games_with_controlled_or_secured,controlled_or_secured_frequency,mean_first_control_turn,unsecured_controlled_turns,secured_turns,controlled_or_secured_turns,unsecured_controlled_turn_share,secured_turn_share,controlled_or_secured_turn_share,neutral_turn_share,contested_turn_share,final_unsecured_control_rate,final_secured_rate,final_controlled_or_secured_rate
uct-3000-self-play,3000,S23,interior,200,101,0.505,6.841584,105,0.525,7.209524,881,167,1048,0.183542,0.034792,0.218333,0.563333,0.405417,0.185,0.095,0.28
uct-3000-self-play,3000,S24,edge,200,43,0.215,14.744186,43,0.215,14.744186,365,0,365,0.076042,0.0,0.076042,0.847917,0.032083,0.15,0.0,0.15
uct-3000-self-play,3000,S30,edge,200,42,0.21,14.952381,43,0.215,15.069767,315,5,320,0.065625,0.001042,0.066667,0.866667,0.045,0.15,0.005,0.155
uct-3000-self-play,3000,S31,interior,200,106,0.53,7.113208,108,0.54,7.287037,968,190,1158,0.201667,0.039583,0.24125,0.5175,0.395,0.16,0.125,0.285
uct-3000-self-play,3000,S32,interior,200,110,0.55,6.509091,116,0.58,7.043103,1052,199,1251,0.219167,0.041458,0.260625,0.47875,0.42625,0.21,0.13,0.34
uct-3000-self-play,3000,S33,interior,200,110,0.55,6.309091,112,0.56,6.580357,1218,156,1374,0.25375,0.0325,0.28625,0.4275,0.366667,0.27,0.085,0.355
uct-3000-self-play,3000,S34,edge,200,55,0.275,13.054545,55,0.275,13.054545,497,23,520,0.103542,0.004792,0.108333,0.783333,0.07625,0.2,0.015,0.215
uct-3000-self-play,3000,S40,corner,200,33,0.165,17.909091,33,0.165,17.909091,213,1,214,0.044375,0.000208,0.044583,0.910833,0.010417,0.145,0.005,0.15
uct-3000-self-play,3000,S41,edge,200,46,0.23,13.673913,47,0.235,13.893617,372,2,374,0.0775,0.000417,0.077917,0.844167,0.069583,0.15,0.01,0.16
uct-3000-self-play,3000,S42,edge,200,45,0.225,15.8,45,0.225,15.8,351,11,362,0.073125,0.002292,0.075417,0.849167,0.0325,0.165,0.015,0.18
uct-3000-self-play,3000,S43,edge,200,39,0.195,16.435897,39,0.195,16.435897,262,1,263,0.054583,0.000208,0.054792,0.890417,0.030417,0.115,0.005,0.12
uct-3000-self-play,3000,S44,corner,200,30,0.15,19.133333,30,0.15,19.133333,156,0,156,0.0325,0.0,0.0325,0.935,0.008333,0.13,0.0,0.13
