"board","search_level","threshold","revisit_lag","count","fraction"
"3x3","uct-1000","2","5","38","0.097187"
"3x3","uct-1000","2","6","18","0.046036"
"3x3","uct-1000","2","7","17","0.043478"
"3x3","uct-1000","2","8","4","0.010230"
"3x3","uct-1000","2","9","7","0.017903"
"3x3","uct-1000","2","10","3","0.007673"
"3x3","uct-1000","2","11","1","0.002558"
"3x3","uct-1000","2","12","1","0.002558"
"3x3","uct-1000","3","3","89","0.380342"
"3x3","uct-1000","3","4","56","0.239316"
"3x3","uct-1000","3","5","38","0.162393"
"3x3","uct-1000","3","6","18","0.076923"
"3x3","uct-1000","3","7","17","0.072650"
"3x3","uct-1000","3","8","4","0.017094"
"3x3","uct-1000","3","9","7","0.029915"
"3x3","uct-1000","3","10","3","0.012821"
"3x3","uct-1000","3","11","1","0.004274"
"3x3","uct-1000","3","12","1","0.004274"
"4x4","seeded-random","1","1","888","0.379812"
"4x4","seeded-random","1","2","560","0.239521"
"4x4","seeded-random","1","3","353","0.150984"
"4x4","seeded-random","1","4","199","0.085115"
"4x4","seeded-random","1","5","135","0.057742"
"4x4","seeded-random","1","6","79","0.033790"
"4x4","seeded-random","1","7","43","0.018392"
"4x4","seeded-random","1","8","30","0.012831"
"4x4","seeded-random","1","9","19","0.008127"
"4x4","seeded-random","1","10","16","0.006843"
"4x4","seeded-random","1","11","5","0.002139"
"4x4","seeded-random","1","12","3","0.001283"
"4x4","seeded-random","1","13","4","0.001711"
"4x4","seeded-random","1","14","2","0.000855"
"4x4","seeded-random","1","15","1","0.000428"
"4x4","seeded-random","1","16","1","0.000428"
"4x4","seeded-random","2","2","560","0.386207"
"4x4","seeded-random","2","3","353","0.243448"
"4x4","seeded-random","2","4","199","0.137241"
"4x4","seeded-random","2","5","135","0.093103"
"4x4","seeded-random","2","6","79","0.054483"
"4x4","seeded-random","2","7","43","0.029655"
"4x4","seeded-random","2","8","30","0.020690"
"4x4","seeded-random","2","9","19","0.013103"
"4x4","seeded-random","2","10","16","0.011034"
"4x4","seeded-random","2","11","5","0.003448"
"4x4","seeded-random","2","12","3","0.002069"
"4x4","seeded-random","2","13","4","0.002759"
"4x4","seeded-random","2","14","2","0.001379"
"4x4","seeded-random","2","15","1","0.000690"
"4x4","seeded-random","2","16","1","0.000690"
"4x4","seeded-random","3","3","353","0.396629"
