"board","search_level","threshold","lag","normalized_lag","at_risk","persistent_revisits","reactivation_revisits","never_revisited_resolved","never_revisited_nonfront_return","right_censored"
"3x3","uct-0100","3","6","0.333333","140","0","35","0","3","17"
"3x3","uct-0100","3","7","0.388889","85","0","23","0","1","6"
"3x3","uct-0100","3","8","0.444444","55","0","18","0","0","4"
"3x3","uct-0100","3","9","0.500000","33","0","11","0","0","4"
"3x3","uct-0100","3","10","0.555556","18","0","5","0","0","0"
"3x3","uct-0100","3","11","0.611111","13","0","2","0","0","4"
"3x3","uct-0100","3","12","0.666667","7","0","1","0","0","1"
"3x3","uct-0100","3","13","0.722222","5","0","5","0","0","0"
"3x3","uct-0500","2","0","0.000000","809","0","0","0","0","0"
"3x3","uct-0500","2","1","0.055556","809","0","0","0","0","57"
"3x3","uct-0500","2","2","0.111111","752","213","0","63","0","32"
"3x3","uct-0500","2","3","0.166667","444","128","0","0","13","35"
"3x3","uct-0500","2","4","0.222222","268","0","61","0","3","11"
"3x3","uct-0500","2","5","0.277778","193","0","43","0","8","24"
"3x3","uct-0500","2","6","0.333333","118","0","28","0","0","7"
"3x3","uct-0500","2","7","0.388889","83","0","19","0","2","6"
"3x3","uct-0500","2","8","0.444444","56","0","16","0","0","11"
"3x3","uct-0500","2","9","0.500000","29","0","5","0","0","6"
"3x3","uct-0500","2","10","0.555556","18","0","9","0","0","2"
"3x3","uct-0500","2","11","0.611111","7","0","3","0","0","1"
"3x3","uct-0500","2","12","0.666667","3","0","0","0","0","0"
"3x3","uct-0500","2","13","0.722222","3","0","2","0","0","0"
"3x3","uct-0500","2","14","0.777778","1","0","0","0","0","0"
"3x3","uct-0500","2","15","0.833333","1","0","0","0","0","1"
"3x3","uct-0500","1","0","0.000000","1472","0","0","0","0","127"
"3x3","uct-0500","1","1","0.055556","1345","489","0","0","47","57"
"3x3","uct-0500","1","2","0.111111","752","213","0","63","0","32"
"3x3","uct-0500","1","3","0.166667","444","128","0","0","13","35"
"3x3","uct-0500","1","4","0.222222","268","0","61","0","3","11"
"3x3","uct-0500","1","5","0.277778","193","0","43","0","8","24"
"3x3","uct-0500","1","6","0.333333","118","0","28","0","0","7"
"3x3","uct-0500","1","7","0.388889","83","0","19","0","2","6"
"3x3","uct-0500","1","8","0.444444","56","0","16","0","0","11"
"3x3","uct-0500","1","9","0.500000","29","0","5","0","0","6"
"3x3","uct-0500","1","10","0.555556","18","0","9","0","0","2"
"3x3","uct-0500","1","11","0.611111","7","0","3","0","0","1"
"3x3","uct-0500","1","12","0.666667","3","0","0","0","0","0"
"3x3","uct-0500","1","13","0.722222","3","0","2","0","0","0"
"3x3","uct-0500","1","14","0.777778","1","0","0","0","0","0"
"3x3","uct-0500","1","15","0.833333","1","0","0","0","0","1"
"3x3","uct-0500","3","0","0.000000","476","0","0","0","0","0"
"3x3","uct-0500","3","1","0.055556","476","0","0","0","0","0"
"3x3","uct-0500","3","2","0.111111","476","0","0","0","0","32"
"3x3","uct-0500","3","3","0.166667","444","128","0","0","13","35"
"3x3","uct-0500","3","4","0.222222","268","0","61","0","3","11"
"3x3","uct-0500","3","5","0.277778","193","0","43","0","8","24"
"3x3","uct-0500","3","6","0.333333","118","0","28","0","0","7"
"3x3","uct-0500","3","7","0.388889","83","0","19","0","2","6"
"3x3","uct-0500","3","8","0.444444","56","0","16","0","0","11"
"3x3","uct-0500","3","9","0.500000","29","0","5","0","0","6"
"3x3","uct-0500","3","10","0.555556","18","0","9","0","0","2"
"3x3","uct-0500","3","11","0.611111","7","0","3","0","0","1"
"3x3","uct-0500","3","12","0.666667","3","0","0","0","0","0"
"3x3","uct-0500","3","13","0.722222","3","0","2","0","0","0"
"3x3","uct-0500","3","14","0.777778","1","0","0","0","0","0"
"3x3","uct-0500","3","15","0.833333","1","0","0","0","0","1"
"3x3","uct-1000","2","0","0.000000","664","0","0","0","0","0"
"3x3","uct-1000","2","1","0.055556","664","0","0","0","0","55"
"3x3","uct-1000","2","2","0.111111","609","157","0","91","0","26"
"3x3","uct-1000","2","3","0.166667","335","89","0","0","9","18"
"3x3","uct-1000","2","4","0.222222","219","0","56","0","6","14"
"3x3","uct-1000","2","5","0.277778","143","0","38","0","2","13"
"3x3","uct-1000","2","6","0.333333","90","0","18","0","2","14"
"3x3","uct-1000","2","7","0.388889","56","0","17","0","2","7"
"3x3","uct-1000","2","8","0.444444","30","0","4","0","0","4"
"3x3","uct-1000","2","9","0.500000","22","0","7","0","1","4"
"3x3","uct-1000","2","10","0.555556","10","0","3","0","0","2"
"3x3","uct-1000","2","11","0.611111","5","0","1","0","1","1"
"3x3","uct-1000","2","12","0.666667","2","0","1","0","0","0"
"3x3","uct-1000","2","13","0.722222","1","0","0","0","0","0"
"3x3","uct-1000","2","14","0.777778","1","0","0","0","1","0"
"3x3","uct-1000","1","0","0.000000","1291","0","0","0","0","97"
"3x3","uct-1000","1","1","0.055556","1194","492","0","0","38","55"
"3x3","uct-1000","1","2","0.111111","609","157","0","91","0","26"
"3x3","uct-1000","1","3","0.166667","335","89","0","0","9","18"
"3x3","uct-1000","1","4","0.222222","219","0","56","0","6","14"
"3x3","uct-1000","1","5","0.277778","143","0","38","0","2","13"
"3x3","uct-1000","1","6","0.333333","90","0","18","0","2","14"
"3x3","uct-1000","1","7","0.388889","56","0","17","0","2","7"
"3x3","uct-1000","1","8","0.444444","30","0","4","0","0","4"
"3x3","uct-1000","1","9","0.500000","22","0","7","0","1","4"
"3x3","uct-1000","1","10","0.555556","10","0","3","0","0","2"
"3x3","uct-1000","1","11","0.611111","5","0","1","0","1","1"
"3x3","uct-1000","1","12","0.666667","2","0","1","0","0","0"
"3x3","uct-1000","1","13","0.722222","1","0","0","0","0","0"
"3x3","uct-1000","1","14","0.777778","1","0","0","0","1","0"
"3x3","uct-1000","3","0","0.000000","361","0","0","0","0","0"
"3x3","uct-1000","3","1","0.055556","361","0","0","0","0","0"
"3x3","uct-1000","3","2","0.111111","361","0","0","0","0","26"
"3x3","uct-1000","3","3","0.166667","335","89","0","0","9","18"
"3x3","uct-1000","3","4","0.222222","219","0","56","0","6","14"
"3x3","uct-1000","3","5","0.277778","143","0","38","0","2","13"
"3x3","uct-1000","3","6","0.333333","90","0","18","0","2","14"
"3x3","uct-1000","3","7","0.388889","56","0","17","0","2","7"
"3x3","uct-1000","3","8","0.444444","30","0","4","0","0","4"
"3x3","uct-1000","3","9","0.500000","22","0","7","0","1","4"
"3x3","uct-1000","3","10","0.555556","10","0","3","0","0","2"
"3x3","uct-1000","3","11","0.611111","5","0","1","0","1","1"
"3x3","uct-1000","3","12","0.666667","2","0","1","0","0","0"
"3x3","uct-1000","3","13","0.722222","1","0","0","0","0","0"
"3x3","uct-1000","3","14","0.777778","1","0","0","0","1","0"
"4x4","seeded-random","2","0","0.000000","1855","0","0","0","0","0"
"4x4","seeded-random","2","1","0.041667","1855","0","0","0","0","113"
"4x4","seeded-random","2","2","0.083333","1742","560","0","15","0","73"
"4x4","seeded-random","2","3","0.125000","1094","353","0","0","13","46"
"4x4","seeded-random","2","4","0.166667","682","0","199","0","7","40"
"4x4","seeded-random","2","5","0.208333","436","0","135","0","9","21"
"4x4","seeded-random","2","6","0.250000","271","0","79","0","1","21"
"4x4","seeded-random","2","7","0.291667","170","0","43","0","0","16"
"4x4","seeded-random","2","8","0.333333","111","0","30","0","0","12"
"4x4","seeded-random","2","9","0.375000","69","0","19","0","0","3"
"4x4","seeded-random","2","10","0.416667","47","0","16","0","1","2"
"4x4","seeded-random","2","11","0.458333","28","0","5","0","0","4"
"4x4","seeded-random","2","12","0.500000","19","0","3","0","0","1"
"4x4","seeded-random","2","13","0.541667","15","0","4","0","0","2"
"4x4","seeded-random","2","14","0.583333","9","0","2","0","0","2"
"4x4","seeded-random","2","15","0.625000","5","0","1","0","0","1"
"4x4","seeded-random","2","16","0.666667","3","0","1","0","0","0"
"4x4","seeded-random","2","17","0.708333","2","0","0","0","0","1"
"4x4","seeded-random","2","18","0.750000","1","0","0","0","0","0"
"4x4","seeded-random","2","19","0.791667","1","0","0","0","0","1"
"4x4","seeded-random","1","0","0.000000","2931","0","0","0","0","172"
"4x4","seeded-random","1","1","0.041667","2759","888","0","0","16","113"
"4x4","seeded-random","1","2","0.083333","1742","560","0","15","0","73"
"4x4","seeded-random","1","3","0.125000","1094","353","0","0","13","46"
"4x4","seeded-random","1","4","0.166667","682","0","199","0","7","40"
"4x4","seeded-random","1","5","0.208333","436","0","135","0","9","21"
"4x4","seeded-random","1","6","0.250000","271","0","79","0","1","21"
"4x4","seeded-random","1","7","0.291667","170","0","43","0","0","16"
"4x4","seeded-random","1","8","0.333333","111","0","30","0","0","12"
"4x4","seeded-random","1","9","0.375000","69","0","19","0","0","3"
"4x4","seeded-random","1","10","0.416667","47","0","16","0","1","2"
"4x4","seeded-random","1","11","0.458333","28","0","5","0","0","4"
"4x4","seeded-random","1","12","0.500000","19","0","3","0","0","1"
"4x4","seeded-random","1","13","0.541667","15","0","4","0","0","2"
"4x4","seeded-random","1","14","0.583333","9","0","2","0","0","2"
"4x4","seeded-random","1","15","0.625000","5","0","1","0","0","1"
"4x4","seeded-random","1","16","0.666667","3","0","1","0","0","0"
"4x4","seeded-random","1","17","0.708333","2","0","0","0","0","1"
