"board","search_level","metric","games","value","median","ci_low","ci_high","primary"
"6x6","uct-0100","carryover_later_revisit_rate","48","0.908333","1.000000","0.856250","0.954167","false"
"6x6","uct-0500","focus_switches","50","6.180000","6.000000","5.360000","7.020000","false"
"6x6","uct-0500","unresolved_carryover_switches","50","5.020000","4.500000","4.360000","5.700000","false"
"6x6","uct-0500","unresolved_carryover_rate","50","0.830645","0.875000","0.774448","0.878467","false"
"6x6","uct-0500","mean_carryover_duration","50","7.958595","7.437500","6.844571","9.102024","false"
"6x6","uct-0500","carryover_later_revisited","50","3.960000","4.000000","3.380000","4.600000","false"
"6x6","uct-0500","carryover_later_revisit_rate","50","0.770023","0.828572","0.700000","0.833785","false"
"6x6","uct-1000","focus_switches","50","6.260000","6.000000","5.560000","6.940000","true"
"6x6","uct-1000","unresolved_carryover_switches","50","5.040000","5.000000","4.500000","5.600000","true"
"6x6","uct-1000","unresolved_carryover_rate","50","0.830696","0.857143","0.780794","0.878553","true"
"6x6","uct-1000","mean_carryover_duration","50","7.396444","7.000000","6.477048","8.457714","true"
"6x6","uct-1000","carryover_later_revisited","50","4.300000","5.000000","3.780000","4.820000","true"
"6x6","uct-1000","carryover_later_revisit_rate","50","0.843762","0.875000","0.783984","0.897706","true"
