"board","experiment_id","search_level","game_index","focus_switches","unresolved_carryover_switches","unresolved_carryover_rate","mean_carryover_duration","carryover_later_revisited","carryover_later_revisit_rate"
"3x3","3x3-seeded-random","seeded-random","1","2","2","1.000000","5.000000","1","0.500000"
"3x3","3x3-seeded-random","seeded-random","2","4","1","0.250000","10.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","3","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","4","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","5","3","2","0.666667","1.500000","0","0.000000"
"3x3","3x3-seeded-random","seeded-random","6","1","1","1.000000","8.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","7","1","1","1.000000","7.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","8","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","9","2","1","0.500000","6.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","10","2","0","0.000000","","0",""
"3x3","3x3-seeded-random","seeded-random","11","1","1","1.000000","1.000000","0","0.000000"
"3x3","3x3-seeded-random","seeded-random","12","1","0","0.000000","","0",""
"3x3","3x3-seeded-random","seeded-random","13","5","4","0.800000","3.750000","2","0.500000"
"3x3","3x3-seeded-random","seeded-random","14","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","15","3","2","0.666667","4.000000","1","0.500000"
"3x3","3x3-seeded-random","seeded-random","16","1","1","1.000000","7.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","17","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","18","1","1","1.000000","5.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","19","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","20","3","3","1.000000","3.666667","1","0.333333"
"3x3","3x3-seeded-random","seeded-random","21","1","1","1.000000","5.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","22","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","23","1","1","1.000000","2.000000","0","0.000000"
"3x3","3x3-seeded-random","seeded-random","24","1","0","0.000000","","0",""
"3x3","3x3-seeded-random","seeded-random","25","2","0","0.000000","","0",""
"3x3","3x3-seeded-random","seeded-random","26","1","1","1.000000","4.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","27","1","1","1.000000","3.000000","0","0.000000"
"3x3","3x3-seeded-random","seeded-random","28","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","29","2","1","0.500000","3.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","30","1","0","0.000000","","0",""
"3x3","3x3-seeded-random","seeded-random","31","3","3","1.000000","6.666667","3","1.000000"
"3x3","3x3-seeded-random","seeded-random","32","1","1","1.000000","2.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","33","1","1","1.000000","5.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","34","1","1","1.000000","1.000000","0","0.000000"
"3x3","3x3-seeded-random","seeded-random","35","1","0","0.000000","","0",""
"3x3","3x3-seeded-random","seeded-random","36","4","4","1.000000","7.250000","3","0.750000"
"3x3","3x3-seeded-random","seeded-random","37","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","38","2","1","0.500000","7.000000","1","1.000000"
"3x3","3x3-seeded-random","seeded-random","39","1","1","1.000000","3.000000","0","0.000000"
"3x3","3x3-seeded-random","seeded-random","40","0","0","","","0",""
"3x3","3x3-seeded-random","seeded-random","41","3","3","1.000000","10.333333","3","1.000000"
