"board","experiment_id","search_level","game_index","threshold","turns","mean_dormant_active_fronts","dormant_ge1_turn_rate","dormant_ge2_turn_rate","longest_dormant_run","longest_dormant_run_fraction","mean_backlog_size","max_backlog_size","backlog_ge1_turn_rate","backlog_ge2_turn_rate","longest_backlog_run","longest_backlog_run_fraction","qualifying_departures","persistent_revisits","reactivation_revisits","never_revisited","right_censored","revisit_rate_observed","never_revisited_rate_observed","right_censored_rate","simple_end_revisit_rate","mean_revisit_lag","median_revisit_lag","mean_normalized_revisit_lag","distinct_revisited_regions","repeated_revisit_regions","fixed_four_turn_eligible","revisit_within_four_turns_rate","early_departures","early_revisit_within_quarter_rate"
"3x3","3x3-seeded-random","seeded-random","4","3","18","0.222222","0.222222","0.000000","2","0.111111","1.888889","5","0.888889","0.666667","16","0.888889","4","1","1","1","1","0.666667","0.333333","0.250000","0.500000","7.500000","7.500000","0.416667","2","0","4","0.250000","4","0.250000"
"3x3","3x3-seeded-random","seeded-random","5","2","18","1.111111","0.611111","0.388889","5","0.277778","2.055556","5","0.777778","0.611111","14","0.777778","13","6","2","1","4","0.888889","0.111111","0.307692","0.615385","3.000000","2.000000","0.166667","5","2","8","0.625000","4","0.750000"
"3x3","3x3-seeded-random","seeded-random","5","1","18","2.055556","0.777778","0.611111","14","0.777778","2.055556","5","0.777778","0.611111","14","0.777778","17","9","2","1","5","0.916667","0.083333","0.294118","0.647059","2.454545","2.000000","0.136364","6","3","10","0.700000","4","0.750000"
"3x3","3x3-seeded-random","seeded-random","5","3","18","0.388889","0.277778","0.111111","2","0.111111","2.055556","5","0.777778","0.611111","14","0.777778","7","1","2","1","3","0.750000","0.250000","0.428571","0.428571","4.666667","4.000000","0.259259","3","0","4","0.250000","1","0.000000"
"3x3","3x3-seeded-random","seeded-random","6","2","18","1.000000","0.666667","0.277778","8","0.444444","1.666667","4","0.833333","0.555556","15","0.833333","10","4","2","0","4","1.000000","0.000000","0.400000","0.600000","3.833333","3.000000","0.212963","4","2","7","0.714286","3","0.666667"
"3x3","3x3-seeded-random","seeded-random","6","1","18","1.666667","0.833333","0.555556","15","0.833333","1.666667","4","0.833333","0.555556","15","0.833333","12","6","2","0","4","1.000000","0.000000","0.333333","0.666667","3.125000","3.000000","0.173611","5","2","9","0.777778","4","0.750000"
"3x3","3x3-seeded-random","seeded-random","6","3","18","0.444444","0.388889","0.055556","3","0.166667","1.666667","4","0.833333","0.555556","15","0.833333","8","3","2","0","3","1.000000","0.000000","0.375000","0.625000","4.200000","3.000000","0.233333","3","2","6","0.666667","3","0.666667"
"3x3","3x3-seeded-random","seeded-random","7","2","18","0.777778","0.500000","0.222222","5","0.277778","1.833333","5","0.833333","0.500000","14","0.777778","9","4","2","1","2","0.857143","0.142857","0.222222","0.666667","3.000000","2.000000","0.166667","4","2","8","0.625000","2","1.000000"
"3x3","3x3-seeded-random","seeded-random","7","1","18","1.833333","0.833333","0.500000","14","0.777778","1.833333","5","0.833333","0.500000","14","0.777778","19","11","2","1","5","0.928571","0.071429","0.263158","0.684211","1.923077","1.000000","0.106838","6","4","12","0.750000","5","1.000000"
"3x3","3x3-seeded-random","seeded-random","7","3","18","0.277778","0.222222","0.055556","1","0.055556","1.833333","5","0.833333","0.500000","14","0.777778","5","0","2","1","2","0.666667","0.333333","0.400000","0.400000","5.000000","5.000000","0.277778","1","1","4","0.250000","1","1.000000"
