experiment_id,comparison_layer,turn_number,games,games_with_current_leader,current_leader_eventually_wins,current_leader_eventually_loses,eventual_draws_from_current_lead,games_tied_at_turn,current_leader_win_rate,reversal_rate_current_leader_eventually_loses,eventual_draw_rate_from_current_lead
uct-10000-self-play,secured,18,100,55,39,13,3,45,0.709091,0.236364,0.054545
uct-10000-self-play,secured,19,100,66,35,23,8,34,0.530303,0.348485,0.121212
uct-10000-self-play,secured,20,100,55,27,21,7,45,0.490909,0.381818,0.127273
uct-10000-self-play,secured,21,100,61,35,19,7,39,0.57377,0.311475,0.114754
uct-10000-self-play,secured,22,100,49,27,16,6,51,0.55102,0.326531,0.122449
uct-10000-self-play,secured,23,100,58,43,11,4,42,0.741379,0.189655,0.068966
uct-10000-self-play,secured,24,100,52,52,0,0,48,1.0,0.0,0.0
uct-10000-self-play,secured_advantage,1,100,0,0,0,0,100,,,
uct-10000-self-play,secured_advantage,2,100,0,0,0,0,100,,,
uct-10000-self-play,secured_advantage,3,100,91,44,37,10,9,0.483516,0.406593,0.10989
uct-10000-self-play,secured_advantage,4,100,39,17,18,4,61,0.435897,0.461538,0.102564
uct-10000-self-play,secured_advantage,5,100,85,43,34,8,15,0.505882,0.4,0.094118
uct-10000-self-play,secured_advantage,6,100,65,32,28,5,35,0.492308,0.430769,0.076923
uct-10000-self-play,secured_advantage,7,100,92,44,39,9,8,0.478261,0.423913,0.097826
uct-10000-self-play,secured_advantage,8,100,70,28,33,9,30,0.4,0.471429,0.128571
uct-10000-self-play,secured_advantage,9,100,97,46,41,10,3,0.474227,0.42268,0.103093
uct-10000-self-play,secured_advantage,10,100,79,38,32,9,21,0.481013,0.405063,0.113924
uct-10000-self-play,secured_advantage,11,100,99,50,39,10,1,0.505051,0.393939,0.10101
uct-10000-self-play,secured_advantage,12,100,75,32,34,9,25,0.426667,0.453333,0.12
uct-10000-self-play,secured_advantage,13,100,98,46,43,9,2,0.469388,0.438776,0.091837
uct-10000-self-play,secured_advantage,14,100,72,36,28,8,28,0.5,0.388889,0.111111
