"board","experiment_id","game_index","player","supply_point","securing_turn","used_after_securing","objective_placements_after_securing","first_use_delay_turns"
"6x6","6x6-uct-1000","1","1","S65","35","false","0",""
"6x6","6x6-uct-1000","1","2","S54","48","false","0",""
"6x6","6x6-uct-1000","2","1","S30","15","true","2","16"
"6x6","6x6-uct-1000","2","2","S14","44","true","1","4"
"6x6","6x6-uct-1000","3","2","S35","36","true","1","12"
"6x6","6x6-uct-1000","3","1","S51","39","true","1","4"
"6x6","6x6-uct-1000","5","1","S45","27","true","1","8"
"6x6","6x6-uct-1000","6","2","S31","10","true","3","12"
"6x6","6x6-uct-1000","6","1","S40","15","true","1","8"
"6x6","6x6-uct-1000","6","1","S11","25","true","1","20"
"6x6","6x6-uct-1000","6","2","S54","28","true","3","2"
"6x6","6x6-uct-1000","6","2","S15","44","true","1","2"
"6x6","6x6-uct-1000","6","2","S10","48","false","0",""
"6x6","6x6-uct-1000","8","2","S55","34","true","2","6"
"6x6","6x6-uct-1000","9","1","S41","47","false","0",""
"6x6","6x6-uct-1000","10","1","S51","25","true","2","14"
"6x6","6x6-uct-1000","10","1","S31","47","false","0",""
"6x6","6x6-uct-1000","11","2","S22","28","true","4","2"
"6x6","6x6-uct-1000","13","1","S01","37","false","0",""
"6x6","6x6-uct-1000","13","2","S14","38","false","0",""
"6x6","6x6-uct-1000","13","1","S11","41","false","0",""
"6x6","6x6-uct-1000","13","1","S13","41","true","1","2"
"6x6","6x6-uct-1000","14","2","S41","14","true","5","2"
"6x6","6x6-uct-1000","14","2","S34","42","false","0",""
"6x6","6x6-uct-1000","14","1","S06","47","false","0",""
"6x6","6x6-uct-1000","15","2","S51","26","true","3","2"
"6x6","6x6-uct-1000","15","1","S52","29","true","3","10"
"6x6","6x6-uct-1000","15","2","S11","32","true","1","6"
"6x6","6x6-uct-1000","16","2","S20","42","false","0",""
"6x6","6x6-uct-1000","17","2","S50","28","false","0",""
"6x6","6x6-uct-1000","17","1","S55","45","false","0",""
"6x6","6x6-uct-1000","17","1","S40","47","false","0",""
"6x6","6x6-uct-1000","18","2","S54","12","true","4","4"
"6x6","6x6-uct-1000","19","1","S65","21","true","1","2"
"6x6","6x6-uct-1000","19","2","S54","40","true","3","4"
"6x6","6x6-uct-1000","19","2","S64","48","false","0",""
"6x6","6x6-uct-1000","20","1","S05","11","true","3","4"
"6x6","6x6-uct-1000","20","1","S25","37","false","0",""
"6x6","6x6-uct-1000","21","1","S16","21","true","1","12"
"6x6","6x6-uct-1000","21","1","S03","43","false","0",""
"6x6","6x6-uct-1000","22","1","S11","23","true","3","10"
"6x6","6x6-uct-1000","24","1","S44","29","true","1","6"
"6x6","6x6-uct-1000","24","1","S16","45","true","1","2"
"6x6","6x6-uct-1000","25","2","S35","18","true","4","6"
"6x6","6x6-uct-1000","27","2","S53","18","true","6","2"
"6x6","6x6-uct-1000","27","1","S55","33","true","1","14"
"6x6","6x6-uct-1000","28","1","S24","27","false","0",""
"6x6","6x6-uct-1000","28","1","S42","47","false","0",""
"6x6","6x6-uct-1000","29","2","S32","24","true","2","12"
"6x6","6x6-uct-1000","29","2","S36","30","false","0",""
"6x6","6x6-uct-1000","29","1","S22","47","false","0",""
"6x6","6x6-uct-1000","30","2","S06","38","true","2","4"
"6x6","6x6-uct-1000","30","2","S14","40","false","0",""
"6x6","6x6-uct-1000","30","2","S23","48","false","0",""
"6x6","6x6-uct-1000","31","2","S35","34","true","5","2"
"6x6","6x6-uct-1000","32","2","S23","30","true","3","12"
"6x6","6x6-uct-1000","32","1","S44","43","false","0",""
"6x6","6x6-uct-1000","32","2","S10","46","false","0",""
"6x6","6x6-uct-1000","33","1","S42","17","true","3","2"
"6x6","6x6-uct-1000","33","1","S32","21","true","4","2"
"6x6","6x6-uct-1000","34","2","S14","26","true","1","6"
"6x6","6x6-uct-1000","34","1","S13","45","false","0",""
"6x6","6x6-uct-1000","35","2","S44","28","true","3","10"
"6x6","6x6-uct-1000","36","1","S40","37","false","0",""
"6x6","6x6-uct-1000","37","1","S41","41","false","0",""
"6x6","6x6-uct-1000","37","1","S51","47","false","0",""
"6x6","6x6-uct-1000","38","1","S45","41","true","1","6"
"6x6","6x6-uct-1000","39","1","S14","31","true","1","14"
"6x6","6x6-uct-1000","39","2","S22","40","true","1","2"
"6x6","6x6-uct-1000","39","1","S01","43","false","0",""
"6x6","6x6-uct-1000","40","2","S06","26","false","0",""
"6x6","6x6-uct-1000","40","1","S32","35","false","0",""
"6x6","6x6-uct-1000","40","2","S05","48","false","0",""
"6x6","6x6-uct-1000","41","2","S23","30","false","0",""
"6x6","6x6-uct-1000","41","1","S50","47","false","0",""
"6x6","6x6-uct-1000","42","2","S54","28","true","1","6"
"6x6","6x6-uct-1000","42","2","S02","38","true","1","2"
"6x6","6x6-uct-1000","43","1","S34","39","false","0",""
"6x6","6x6-uct-1000","43","1","S01","41","false","0",""
"6x6","6x6-uct-1000","45","1","S54","23","true","3","4"
"6x6","6x6-uct-1000","47","1","S32","33","true","2","10"
"6x6","6x6-uct-1000","47","2","S21","42","true","3","2"
"6x6","6x6-uct-1000","48","2","S52","44","true","2","2"
"6x6","6x6-uct-1000","49","2","S63","26","true","1","2"
"6x6","6x6-uct-1000","49","1","S52","35","true","1","10"
"6x6","6x6-uct-1000","49","2","S41","40","false","0",""
"6x6","6x6-uct-1000","50","2","S33","30","true","1","16"
