experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-100000-self-play,20,opponent_trend_4_usable_support_edges,32,54,-0.65625,-0.5,-0.092593,0.0,-0.209551,lower_in_reversal,0.209551
uct-30000-self-play,8,decisive_margin,29,51,1.034483,1.0,1.0,1.0,0.309934,higher_in_reversal,0.309934
uct-30000-self-play,8,leader_primary_important_control_margin,29,51,-0.896552,-1.0,-0.509804,-1.0,-0.300227,lower_in_reversal,0.300227
uct-30000-self-play,8,opponent_recent_4_supply_allocation_change,29,51,-0.172414,-0.333333,-0.150327,-0.333333,-0.076928,lower_in_reversal,0.076928
uct-30000-self-play,8,leader_trend_4_usable_support_edges,29,51,2.206897,4.0,2.254902,2.0,-0.011019,lower_in_reversal,0.011019
uct-30000-self-play,8,opponent_trend_4_usable_support_edges,29,51,3.793103,4.0,2.470588,3.0,0.340099,higher_in_reversal,0.340099
uct-30000-self-play,12,decisive_margin,32,44,1.03125,1.0,1.045455,1.0,-0.072029,lower_in_reversal,0.072029
uct-30000-self-play,12,leader_primary_important_control_margin,32,44,-0.46875,0.0,-0.090909,0.0,-0.313335,lower_in_reversal,0.313335
uct-30000-self-play,12,opponent_recent_4_supply_allocation_change,32,44,-0.052083,-0.0,-0.037879,-0.0,-0.044902,lower_in_reversal,0.044902
uct-30000-self-play,12,leader_trend_4_usable_support_edges,32,44,-2.78125,-3.0,-0.818182,-1.0,-0.659318,lower_in_reversal,0.659318
uct-30000-self-play,12,opponent_trend_4_usable_support_edges,32,44,-1.28125,-1.5,-1.136364,-2.0,-0.043587,lower_in_reversal,0.043587
uct-30000-self-play,16,decisive_margin,36,45,1.027778,1.0,1.133333,1.0,-0.377636,lower_in_reversal,0.377636
uct-30000-self-play,16,leader_primary_important_control_margin,36,45,-0.305556,0.0,0.222222,0.0,-0.373886,lower_in_reversal,0.373886
uct-30000-self-play,16,opponent_recent_4_supply_allocation_change,36,45,0.138889,-0.0,0.051852,-0.0,0.313906,higher_in_reversal,0.313906
uct-30000-self-play,16,leader_trend_4_usable_support_edges,36,45,-2.25,-3.0,-1.488889,-2.0,-0.242847,lower_in_reversal,0.242847
uct-30000-self-play,16,opponent_trend_4_usable_support_edges,36,45,-1.305556,-1.0,-0.666667,-1.0,-0.213167,lower_in_reversal,0.213167
uct-30000-self-play,20,decisive_margin,31,58,1.096774,1.0,1.275862,1.0,-0.413797,lower_in_reversal,0.413797
uct-30000-self-play,20,leader_primary_important_control_margin,31,58,-0.16129,0.0,0.017241,0.0,-0.117993,lower_in_reversal,0.117993
uct-30000-self-play,20,opponent_recent_4_supply_allocation_change,31,58,0.129032,0.333333,0.143678,-0.0,-0.044301,lower_in_reversal,0.044301
uct-30000-self-play,20,leader_trend_4_usable_support_edges,31,58,-1.032258,-2.0,-1.482759,-2.0,0.187274,higher_in_reversal,0.187274
uct-30000-self-play,20,opponent_trend_4_usable_support_edges,31,58,-0.419355,-1.0,-0.224138,0.0,-0.078676,lower_in_reversal,0.078676
