"board","experiment_id","iteration_limit","game_index","winner","moves","turns","end_type","final_p1_score","final_p2_score","trial_file"
"3x3","3x3-seeded-random","-1","1","0","54","18","NaturalEnd","89","89","results-smoke/trials/3x3-seeded-random/3x3-seeded-random-0001.trl"
"3x3","3x3-seeded-random","-1","2","1","54","18","NaturalEnd","567","119","results-smoke/trials/3x3-seeded-random/3x3-seeded-random-0002.trl"
"3x3","3x3-uct-0100","100","1","1","54","18","NaturalEnd","1135","853","results-smoke/trials/3x3-uct-0100/3x3-uct-0100-0001.trl"
"3x3","3x3-uct-0100","100","2","2","54","18","NaturalEnd","601","628","results-smoke/trials/3x3-uct-0100/3x3-uct-0100-0002.trl"
"3x3","3x3-uct-0500","500","1","1","54","18","NaturalEnd","1132","880","results-smoke/trials/3x3-uct-0500/3x3-uct-0500-0001.trl"
"3x3","3x3-uct-0500","500","2","2","54","18","NaturalEnd","879","880","results-smoke/trials/3x3-uct-0500/3x3-uct-0500-0002.trl"
"3x3","3x3-uct-1000","1000","1","1","54","18","NaturalEnd","909","571","results-smoke/trials/3x3-uct-1000/3x3-uct-1000-0001.trl"
"3x3","3x3-uct-1000","1000","2","1","54","18","NaturalEnd","1135","1133","results-smoke/trials/3x3-uct-1000/3x3-uct-1000-0002.trl"
