position_id,prefix_placement_count,source_trial,mover,ending_mover,requested_iteration_budget,effective_iteration_budget,repetition_id,seed,ordered_sequence,placement_targets,supply_placement_sites,objective_placement_sites,supply_source_sites,spatial_categories,secured_supply_transitions,unresolved_supply_transitions,legal_move_counts,placement_runtime_ms,turn_runtime_ms,starting_board_state,resulting_turn_state,trial_path
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","10000","10000","11","40450010","O01@S11;S12;O12@S23","O01;S12;O12","S12","O01;O12","S11;S23","edge;central;central","","S12:0:0:0>2:0:1","37;33;33","8941.011;7715.872;7557.340","24216.039","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:2:0:1|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:4:0:3|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-10000/turn-6-early-midgame-allocation-uct-10000-0011.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","10000","10000","12","40450011","O01@S11;O12@S23;O03@S13","O01;O12;O03","","O01;O12;O03","S11;S23;S13","edge;central;corner","","","37;33;28","8122.059;7960.667;7594.037","23677.496","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:2:0:1|O10:1:1:0|O11:0:0:0|O12:4:0:3|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-10000/turn-6-early-midgame-allocation-uct-10000-0012.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","10000","10000","13","40450012","S21;O12@S23;O01@S11","S21;O12;O01","S21","O12;O01","S23;S11","central;central;edge","","S21:1:1:0>0:1:1","37;37;32","8915.382;8056.152;7838.807","24810.990","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:0:1:1|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:4:0:3|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-10000/turn-6-early-midgame-allocation-uct-10000-0013.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","10000","10000","14","40450013","O13@S23;O13@S13;O01@S11","O13;O13;O01","","O13;O13;O01","S23;S13;S11","edge;edge;edge","","","37;33;29","8583.526;8420.934;8179.767","25185.086","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:2:0:2|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-10000/turn-6-early-midgame-allocation-uct-10000-0014.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","10000","10000","15","40450014","O13@S23;O13@S13;S12","O13;O13;S12","S12","O13;O13","S23;S13","edge;edge;central","","S12:0:0:0>2:0:1","37;33;29","8579.391;8021.968;6816.766","23418.770","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:2:0:1|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:2:0:2|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-10000/turn-6-early-midgame-allocation-uct-10000-0015.trl"
