position_id,prefix_placement_count,source_trial,mover,ending_mover,requested_iteration_budget,effective_iteration_budget,repetition_id,seed,ordered_sequence,placement_targets,supply_placement_sites,objective_placement_sites,supply_source_sites,spatial_categories,secured_supply_transitions,unresolved_supply_transitions,legal_move_counts,placement_runtime_ms,turn_runtime_ms,starting_board_state,resulting_turn_state,trial_path
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","26","21350025","S32;O21@S21;O21@S22","S32;O21;O21","S32","O21;O21","S21;S22","central;central;central","","S32:1:1:0>0:1:1","37;37;33","89164.966;142537.819;195786.416","427502.498","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:2:0:2|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0026.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","27","21350026","S32;O11@S22;O11@S21","S32;O11;O11","S32","O11;O11","S22;S21","central;central;central","","S32:1:1:0>0:1:1","37;37;33","112586.245;187809.847;230138.675","530543.150","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:2:0:2|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0027.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","28","21350027","S32;O12@S22;O12@S23","S32;O12;O12","S32","O12;O12","S22;S23","central;central;central","","S32:1:1:0>0:1:1","37;37;33","177156.140;166463.169;165147.546","508769.882","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0028.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","29","21350028","S32;O11@S21;O11@S22","S32;O11;O11","S32","O11;O11","S21;S22","central;central;central","","S32:1:1:0>0:1:1","37;37;33","96678.451;162043.283;141680.468","400407.113","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:2:0:2|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0029.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","30","21350029","S32;O11@S21;O11@S22","S32;O11;O11","S32","O11;O11","S21;S22","central;central;central","","S32:1:1:0>0:1:1","37;37;33","104900.019;244095.297;170946.385","519944.313","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:2:0:2|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0030.trl"
