position_id,prefix_placement_count,source_trial,mover,ending_mover,requested_iteration_budget,effective_iteration_budget,repetition_id,seed,ordered_sequence,placement_targets,supply_placement_sites,objective_placement_sites,supply_source_sites,spatial_categories,secured_supply_transitions,unresolved_supply_transitions,legal_move_counts,placement_runtime_ms,turn_runtime_ms,starting_board_state,resulting_turn_state,trial_path
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","16","21350015","S32;O22@S23;O22@S22","S32;O22;O22","S32","O22;O22","S23;S22","central;central;central","","S32:1:1:0>0:1:1","37;37;33","92671.679;137074.061;163670.534","393420.655","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:2:0:2|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0016.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","17","21350016","S32;O21@S22;O21@S21","S32;O21;O21","S32","O21;O21","S22;S21","central;central;central","","S32:1:1:0>0:1:1","37;37;33","94656.240;159307.272;186078.029","440045.187","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:2:0:2|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0017.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","18","21350017","S32;O21@S21;O21@S22","S32;O21;O21","S32","O21;O21","S21;S22","central;central;central","","S32:1:1:0>0:1:1","37;37;33","123422.864;185399.617;266508.577","575336.093","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:2:0:2|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0018.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","19","21350018","S32;O22@S22;O22@S23","S32;O22;O22","S32","O22;O22","S22;S23","central;central;central","","S32:1:1:0>0:1:1","37;37;33","117707.734;177527.136;154144.255","449383.443","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:2:0:2|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0019.trl"
"turn-4-central-peripheral-competition","9","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0078.trl","2","1","100000","100000","20","21350019","O12@S23;O12@S22;S32","O12;O12;S32","S32","O12;O12","S23;S22","central;central;central","","S32:1:1:0>0:1:1","37;33;29","107205.537;179397.871;111183.505","397791.794","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S20:0:0:0|S21:2:0:1|S22:2:0:1|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:0:1:1|S33:1:1:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:1:1:0|O32:1:2:0|O33:0:0:0","experiments/issue-35/results/trials/turn-4-central-peripheral-competition/uct-100000/turn-4-central-peripheral-competition-uct-100000-0020.trl"
