position_id,prefix_placement_count,source_trial,mover,ending_mover,requested_iteration_budget,effective_iteration_budget,repetition_id,seed,ordered_sequence,placement_targets,supply_placement_sites,objective_placement_sites,supply_source_sites,spatial_categories,secured_supply_transitions,unresolved_supply_transitions,legal_move_counts,placement_runtime_ms,turn_runtime_ms,starting_board_state,resulting_turn_state,trial_path
"turn-2-supply-expansion","3","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","2","1","100000","100000","6","1350005","S12;S32;S31","S12;S32;S31","S12;S32;S31","","","central;central;central","","S12:1:1:0>0:1:1;S31:0:0:0>2:0:1;S32:0:0:0>2:0:1","25;25;25","92227.243;142276.030;151132.229","385639.730","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:1:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:2:0:1|S32:2:0:1|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-2-supply-expansion/uct-100000/turn-2-supply-expansion-uct-100000-0006.trl"
"turn-2-supply-expansion","3","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","2","1","100000","100000","7","1350006","S12;S13;S11","S12;S13;S11","S12;S13;S11","","","central;central;central","","S11:0:0:0>2:0:1;S12:1:1:0>0:1:1;S13:1:1:0>0:1:1","25;25;25","96594.506;162248.460;171678.255","430522.884","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:1:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-2-supply-expansion/uct-100000/turn-2-supply-expansion-uct-100000-0007.trl"
"turn-2-supply-expansion","3","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","2","1","100000","100000","8","1350007","S12;S12;S22","S12;S12;S22","S12;S12;S22","","","central;central;central","","S12:1:1:0>2:1:2;S22:1:1:0>0:1:1","25;25;24","97962.466;155632.857;169436.923","423035.044","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:1:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:2:1:2|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:0:1:1|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-2-supply-expansion/uct-100000/turn-2-supply-expansion-uct-100000-0008.trl"
"turn-2-supply-expansion","3","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","2","1","100000","100000","9","1350008","S12;S33;S23","S12;S33;S23","S12;S33;S23","","","central;central;central","","S12:1:1:0>0:1:1;S23:0:0:0>2:0:1;S33:0:0:0>2:0:1","25;25;25","94896.229;160545.891;173590.967","429037.046","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:1:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:2:0:1|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-2-supply-expansion/uct-100000/turn-2-supply-expansion-uct-100000-0009.trl"
"turn-2-supply-expansion","3","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","2","1","100000","100000","10","1350009","S12;S11;S12","S12;S11;S12","S12;S11;S12","","","central;central;central","","S11:0:0:0>2:0:1;S12:1:1:0>2:1:2","25;25;25","104935.811;184523.146;152472.488","441935.407","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:1:0|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:2:1:2|S13:1:1:0|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:0:0|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-2-supply-expansion/uct-100000/turn-2-supply-expansion-uct-100000-0010.trl"
