position_id,prefix_placement_count,source_trial,mover,ending_mover,requested_iteration_budget,effective_iteration_budget,repetition_id,seed,ordered_sequence,placement_targets,supply_placement_sites,objective_placement_sites,supply_source_sites,spatial_categories,secured_supply_transitions,unresolved_supply_transitions,legal_move_counts,placement_runtime_ms,turn_runtime_ms,starting_board_state,resulting_turn_state,trial_path
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","100000","100000","16","41350015","O01@S11;O12@S23;O03@S13","O01;O12;O03","","O01;O12;O03","S11;S23;S13","edge;central;corner","","","37;33;28","131509.618;241419.019;649.877","373582.175","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:2:0:1|O10:1:1:0|O11:0:0:0|O12:4:0:3|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-100000/turn-6-early-midgame-allocation-uct-100000-0016.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","100000","100000","17","41350016","O01@S11;O13@S23;O13@S13","O01;O13;O13","","O01;O13;O13","S11;S23;S13","edge;edge;edge","","","37;33;29","139390.854;300855.506;1266.627","441516.064","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:2:0:2|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-100000/turn-6-early-midgame-allocation-uct-100000-0017.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","100000","100000","18","41350017","O01@S11;O13@S23;O13@S13","O01;O13;O13","","O01;O13;O13","S11;S23;S13","edge;edge;edge","","","37;33;29","277448.300;163743.735;387240.254","828448.695","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:2:0:2|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-100000/turn-6-early-midgame-allocation-uct-100000-0018.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","100000","100000","19","41350018","O01@S11;O12@S23;O13@S13","O01;O12;O13","","O01;O12;O13","S11;S23;S13","edge;central;edge","","","37;33;28","142822.565;322011.358;1776.718","466616.119","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:4:0:3|O13:2:0:1|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-100000/turn-6-early-midgame-allocation-uct-100000-0019.trl"
"turn-6-early-midgame-allocation","15","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0040.trl","2","1","100000","100000","20","41350019","O01@S11;O13@S13;O13@S23","O01;O13;O13","","O01;O13;O13","S11;S13;S23","edge;edge;edge","","","37;33;29","320724.828;133273.785;208174.411","662175.470","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:1|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:0:0:0|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:2:0:1|S12:0:0:0|S13:2:0:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:2:0:2|O02:0:0:0|O03:0:0:0|O10:1:1:0|O11:0:0:0|O12:2:0:2|O13:2:0:2|O20:0:0:0|O21:3:3:0|O22:1:2:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-6-early-midgame-allocation/uct-100000/turn-6-early-midgame-allocation-uct-100000-0020.trl"
