position_id,prefix_placement_count,source_trial,mover,ending_mover,requested_iteration_budget,effective_iteration_budget,repetition_id,seed,ordered_sequence,placement_targets,supply_placement_sites,objective_placement_sites,supply_source_sites,spatial_categories,secured_supply_transitions,unresolved_supply_transitions,legal_move_counts,placement_runtime_ms,turn_runtime_ms,starting_board_state,resulting_turn_state,trial_path
"turn-3-supply-securing-choice","6","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","1","2","100000","100000","16","11350015","S23;S21;O11@S22","S23;S21;O11","S23;S21","O11","S22","central;central;central","","S21:0:0:0>1:1:0;S23:2:0:1>0:1:1","29;29;29","111633.304;117626.329;108259.761","337527.757","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:0:1:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:1:1:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-3-supply-securing-choice/uct-100000/turn-3-supply-securing-choice-uct-100000-0016.trl"
"turn-3-supply-securing-choice","6","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","1","2","100000","100000","17","11350016","S23;O21@S22;S21","S23;O21;S21","S23;S21","O21","S22","central;central;central","","S21:0:0:0>1:1:0;S23:2:0:1>0:1:1","29;29;25","117433.412;154244.967;171232.969","442916.140","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:0:1:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:1:1:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-3-supply-securing-choice/uct-100000/turn-3-supply-securing-choice-uct-100000-0017.trl"
"turn-3-supply-securing-choice","6","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","1","2","100000","100000","18","11350017","S23;O21@S22;S21","S23;O21;S21","S23;S21","O21","S22","central;central;central","","S21:0:0:0>1:1:0;S23:2:0:1>0:1:1","29;29;25","136753.299;159849.168;172252.378","468860.107","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:1:1:0|S22:1:1:0|S23:0:1:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:1:1:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-3-supply-securing-choice/uct-100000/turn-3-supply-securing-choice-uct-100000-0018.trl"
"turn-3-supply-securing-choice","6","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","1","2","100000","100000","19","11350018","S32;O21@S22;S31","S32;O21;S31","S32;S31","O21","S22","central;central;central","","S31:0:0:0>1:1:0;S32:0:0:0>1:1:0","29;29;25","122333.928;165958.663;155199.223","443494.060","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:1:1:0|S32:1:1:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:1:1:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-3-supply-securing-choice/uct-100000/turn-3-supply-securing-choice-uct-100000-0019.trl"
"turn-3-supply-securing-choice","6","experiments/issue-32/results/trials/uct-10000-self-play/uct-10000-self-play-0100.trl","1","2","100000","100000","20","11350019","S23;O12@S22;S12","S23;O12;S12","S23;S12","O12","S22","central;central;central","","S12:0:1:1>1:2:1;S23:2:0:1>0:1:1","29;29;25","129254.329;188856.971;131221.599","449334.954","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:0:1:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:2:0:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:0:0:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:0:0:0|S04:0:0:0|S10:0:0:0|S11:0:0:0|S12:1:2:1|S13:0:1:1|S14:0:0:0|S20:0:0:0|S21:0:0:0|S22:1:1:0|S23:0:1:1|S24:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:0:0|S40:0:0:0|S41:0:0:0|S42:0:0:0|S43:0:0:0|S44:0:0:0|O00:0:0:0|O01:0:0:0|O02:0:0:0|O03:0:0:0|O10:0:0:0|O11:0:0:0|O12:1:1:0|O13:0:0:0|O20:0:0:0|O21:0:0:0|O22:0:0:0|O23:0:0:0|O30:0:0:0|O31:0:0:0|O32:0:0:0|O33:0:0:0","experiments/issue-35/results/trials/turn-3-supply-securing-choice/uct-100000/turn-3-supply-securing-choice-uct-100000-0020.trl"
