"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","final_board","trial_file"
"6x6-uct-1000","1","581000","UCT","1000","true","NaturalEnd","2","144","48","30115","32598","72","72","33","32","39","40","1","1","11","12","5","2","secured_objectives","S00:2:0:1|S01:0:0:0|S02:1:2:1|S03:0:0:0|S04:0:0:0|S05:1:1:0|S06:0:0:0|S10:0:1:1|S11:1:1:0|S12:0:0:0|S13:0:0:0|S14:0:0:0|S15:0:1:1|S16:0:1:1|S20:1:1:0|S21:1:2:1|S22:0:1:1|S23:2:1:2|S24:2:1:2|S25:1:2:1|S26:0:0:0|S30:2:0:1|S31:1:2:1|S32:1:1:0|S33:1:1:0|S34:0:2:2|S35:2:0:1|S36:1:1:0|S40:0:0:0|S41:2:0:2|S42:0:0:0|S43:2:0:1|S44:0:1:1|S45:0:1:1|S46:2:0:1|S50:2:0:1|S51:0:0:0|S52:1:1:0|S53:0:0:0|S54:4:1:3|S55:0:0:0|S56:2:0:1|S60:1:1:0|S61:2:1:2|S62:1:1:0|S63:2:0:1|S64:0:0:0|S65:3:3:1|S66:1:1:0|O00:4:0:3|O01:1:1:0|O02:4:0:3|O03:0:0:0|O04:0:0:0|O05:1:1:0|O10:3:3:0|O11:3:3:0|O12:0:0:0|O13:2:0:1|O14:4:1:3|O15:1:1:0|O20:3:3:2|O21:3:3:0|O22:4:0:3|O23:3:3:0|O24:3:3:0|O25:3:3:0|O30:4:0:3|O31:1:1:0|O32:3:3:0|O33:4:0:3|O34:4:0:3|O35:4:0:3|O40:4:0:3|O41:0:0:0|O42:4:0:3|O43:4:0:3|O44:1:1:0|O45:0:0:0|O50:3:3:0|O51:3:3:0|O52:3:3:0|O53:0:0:0|O54:2:0:1|O55:4:0:3","experiments/issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0001.trl"
"6x6-uct-1000","2","581001","UCT","1000","true","NaturalEnd","2","144","48","30120","30193","72","72","28","28","44","44","1","1","11","11","5","6","advantage_objectives","S00:0:0:0|S01:0:0:0|S02:1:1:0|S03:0:0:0|S04:0:0:0|S05:2:0:1|S06:2:0:2|S10:0:0:0|S11:0:0:0|S12:2:0:1|S13:1:1:0|S14:4:0:3|S15:0:0:0|S16:0:1:1|S20:0:0:0|S21:0:1:1|S22:0:1:1|S23:2:0:1|S24:1:1:0|S25:1:2:0|S26:0:0:0|S30:3:3:1|S31:0:0:0|S32:0:0:0|S33:0:0:0|S34:0:1:1|S35:1:2:1|S36:1:1:0|S40:1:2:0|S41:1:1:0|S42:1:1:0|S43:1:2:1|S44:0:1:1|S45:0:0:0|S46:2:0:2|S50:2:0:1|S51:2:0:1|S52:0:1:1|S53:1:1:0|S54:2:0:2|S55:0:2:2|S56:0:0:0|S60:0:0:0|S61:0:0:0|S62:0:0:0|S63:0:1:1|S64:0:1:1|S65:0:0:0|S66:2:0:1|O00:0:0:0|O01:1:1:0|O02:3:3:0|O03:1:1:0|O04:2:0:2|O05:4:0:3|O10:2:0:1|O11:4:0:3|O12:4:1:3|O13:3:3:0|O14:3:3:0|O15:1:2:1|O20:0:1:1|O21:4:0:3|O22:2:0:1|O23:4:1:3|O24:3:3:0|O25:3:3:0|O30:3:3:0|O31:3:3:0|O32:1:1:0|O33:3:3:0|O34:0:0:0|O35:1:2:0|O40:4:1:3|O41:4:0:3|O42:3:3:0|O43:3:3:0|O44:4:0:3|O45:4:0:3|O50:2:0:1|O51:2:0:1|O52:3:3:2|O53:2:0:1|O54:4:0:3|O55:4:0:3","experiments/issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0002.trl"
"6x6-uct-1000","3","581002","UCT","1000","true","NaturalEnd","2","144","48","32819","35227","72","72","30","31","42","41","1","1","12","13","5","1","secured_objectives","S00:2:0:1|S01:0:0:0|S02:0:1:1|S03:2:0:1|S04:0:0:0|S05:0:0:0|S06:2:0:1|S10:0:0:0|S11:0:0:0|S12:0:0:0|S13:2:1:2|S14:1:1:0|S15:1:2:1|S16:1:1:0|S20:1:1:0|S21:0:1:1|S22:0:0:0|S23:0:0:0|S24:0:0:0|S25:1:1:0|S26:0:0:0|S30:2:0:1|S31:0:2:2|S32:1:1:0|S33:1:1:0|S34:0:0:0|S35:4:0:3|S36:2:0:1|S40:0:0:0|S41:0:1:1|S42:0:1:1|S43:0:1:1|S44:1:1:0|S45:0:1:1|S46:1:2:1|S50:0:1:1|S51:3:3:0|S52:0:1:1|S53:0:1:1|S54:2:0:1|S55:2:0:1|S56:2:0:1|S60:1:1:0|S61:0:0:0|S62:0:0:0|S63:0:1:1|S64:2:0:1|S65:0:1:1|S66:2:1:2|O00:0:0:0|O01:4:0:3|O02:4:0:3|O03:3:3:0|O04:3:3:0|O05:3:3:0|O10:3:3:0|O11:1:1:0|O12:2:0:1|O13:1:1:0|O14:3:3:0|O15:3:3:0|O20:0:1:1|O21:0:0:0|O22:0:0:0|O23:3:3:0|O24:4:0:3|O25:4:0:3|O30:4:0:3|O31:3:3:0|O32:1:1:0|O33:3:3:0|O34:4:0:3|O35:4:0:3|O40:3:3:0|O41:3:3:0|O42:1:1:0|O43:4:0:3|O44:4:0:3|O45:4:0:3|O50:3:3:0|O51:1:1:0|O52:0:0:0|O53:4:0:3|O54:4:0:3|O55:4:0:3","experiments/issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0003.trl"
"6x6-uct-1000","4","581003","UCT","1000","true","NaturalEnd","1","144","48","32820","32675","72","72","29","28","43","44","0","0","12","12","5","3","advantage_objectives","S00:0:0:0|S01:2:0:1|S02:0:0:0|S03:0:1:1|S04:2:0:1|S05:0:1:1|S06:2:0:1|S10:1:1:0|S11:2:0:1|S12:0:1:1|S13:1:1:0|S14:0:0:0|S15:0:1:1|S16:0:1:1|S20:2:0:1|S21:1:1:0|S22:0:1:1|S23:2:0:2|S24:0:1:1|S25:2:0:1|S26:2:1:2|S30:0:0:0|S31:2:0:1|S32:0:1:1|S33:1:1:0|S34:1:1:0|S35:1:2:0|S36:0:1:1|S40:0:0:0|S41:2:0:2|S42:1:1:0|S43:0:0:0|S44:0:0:0|S45:0:1:1|S46:0:1:1|S50:0:0:0|S51:2:1:2|S52:0:0:0|S53:0:1:1|S54:1:2:0|S55:1:1:0|S56:0:0:0|S60:1:1:0|S61:0:0:0|S62:1:1:0|S63:2:0:1|S64:1:1:0|S65:1:1:0|S66:0:0:0|O00:2:0:1|O01:4:0:3|O02:1:1:0|O03:3:3:0|O04:4:0:3|O05:4:0:3|O10:3:3:1|O11:2:0:1|O12:0:1:1|O13:4:0:3|O14:0:0:0|O15:4:0:3|O20:1:1:0|O21:4:0:3|O22:4:0:3|O23:3:3:0|O24:4:0:3|O25:3:3:2|O30:4:0:3|O31:4:0:3|O32:3:3:0|O33:3:3:0|O34:3:3:0|O35:1:1:0|O40:4:1:3|O41:3:3:1|O42:1:1:0|O43:0:0:0|O44:3:3:0|O45:1:1:0|O50:3:3:0|O51:0:0:0|O52:2:0:1|O53:4:0:3|O54:3:3:0|O55:3:3:0","experiments/issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0004.trl"
"6x6-uct-1000","5","581004","UCT","1000","true","NaturalEnd","2","144","48","32673","32680","72","72","30","23","42","49","1","0","12","12","3","3","objective_pieces","S00:0:0:0|S01:2:0:1|S02:0:0:0|S03:2:0:1|S04:1:1:0|S05:1:1:0|S06:0:0:0|S10:1:1:0|S11:0:0:0|S12:0:0:0|S13:2:0:1|S14:2:0:1|S15:1:1:0|S16:2:0:1|S20:0:0:0|S21:0:2:2|S22:0:1:1|S23:1:1:0|S24:2:0:2|S25:0:1:1|S26:1:1:0|S30:0:0:0|S31:1:1:0|S32:0:0:0|S33:1:1:0|S34:2:0:1|S35:0:0:0|S36:1:1:0|S40:0:1:1|S41:1:1:0|S42:1:2:0|S43:1:2:1|S44:0:0:0|S45:3:3:1|S46:2:0:1|S50:1:1:0|S51:2:0:1|S52:0:0:0|S53:0:1:1|S54:1:1:0|S55:0:1:1|S56:0:1:1|S60:1:1:0|S61:1:1:0|S62:0:0:0|S63:2:0:2|S64:2:0:1|S65:1:1:0|S66:0:0:0|O00:0:0:0|O01:2:0:2|O02:4:0:3|O03:4:0:3|O04:3:3:0|O05:3:3:0|O10:0:0:0|O11:0:0:0|O12:4:0:3|O13:4:0:3|O14:4:0:3|O15:2:0:1|O20:3:3:0|O21:3:3:1|O22:1:1:0|O23:4:0:3|O24:4:0:3|O25:3:3:1|O30:3:3:0|O31:1:1:0|O32:1:1:0|O33:4:0:3|O34:4:0:3|O35:3:3:1|O40:0:2:2|O41:3:3:1|O42:0:0:0|O43:0:1:1|O44:3:3:0|O45:4:0:3|O50:3:3:0|O51:4:0:3|O52:4:0:3|O53:3:3:2|O54:3:3:0|O55:2:0:1","experiments/issue-58/results/trials/6x6-uct-1000/6x6-uct-1000-0005.trl"
