"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"6x6","6x6-uct-0500","500","1","1","0.020833","1","1","S26","supply","","LH"
"6x6","6x6-uct-0500","500","1","1","0.020833","2","1","S33","supply","","MM"
"6x6","6x6-uct-0500","500","1","1","0.020833","3","1","S42","supply","","ML"
"6x6","6x6-uct-0500","500","1","2","0.041667","1","2","S22","supply","","LL"
"6x6","6x6-uct-0500","500","1","2","0.041667","2","2","S41","supply","","ML"
"6x6","6x6-uct-0500","500","1","2","0.041667","3","2","S33","supply","","MM"
"6x6","6x6-uct-0500","500","1","3","0.062500","1","1","S23","supply","","LM"
"6x6","6x6-uct-0500","500","1","3","0.062500","2","1","O41","objective","S42","HL"
"6x6","6x6-uct-0500","500","1","3","0.062500","3","1","S12","supply","","LL"
"6x6","6x6-uct-0500","500","1","4","0.083333","1","2","O40","objective","S41","HL"
"6x6","6x6-uct-0500","500","1","4","0.083333","2","2","S56","supply","","HH"
"6x6","6x6-uct-0500","500","1","4","0.083333","3","2","S04","supply","","LM"
"6x6","6x6-uct-0500","500","1","5","0.104167","1","1","S34","supply","","MM"
"6x6","6x6-uct-0500","500","1","5","0.104167","2","1","S34","supply","","MM"
"6x6","6x6-uct-0500","500","1","5","0.104167","3","1","S01","supply","","LL"
"6x6","6x6-uct-0500","500","1","6","0.125000","1","2","O55","objective","S56","HH"
"6x6","6x6-uct-0500","500","1","6","0.125000","2","2","S23","supply","","LM"
"6x6","6x6-uct-0500","500","1","6","0.125000","3","2","S41","supply","","ML"
"6x6","6x6-uct-0500","500","1","7","0.145833","1","1","S24","supply","","LM"
"6x6","6x6-uct-0500","500","1","7","0.145833","2","1","O34","objective","S34","MH"
"6x6","6x6-uct-0500","500","1","7","0.145833","3","1","S44","supply","","MM"
"6x6","6x6-uct-0500","500","1","8","0.166667","1","2","O55","objective","S56","HH"
"6x6","6x6-uct-0500","500","1","8","0.166667","2","2","S31","supply","","ML"
"6x6","6x6-uct-0500","500","1","8","0.166667","3","2","S53","supply","","HM"
"6x6","6x6-uct-0500","500","1","9","0.187500","1","1","O24","objective","S24","MH"
"6x6","6x6-uct-0500","500","1","9","0.187500","2","1","S62","supply","","HL"
"6x6","6x6-uct-0500","500","1","9","0.187500","3","1","S41","supply","","ML"
"6x6","6x6-uct-0500","500","1","10","0.208333","1","2","S12","supply","","LL"
"6x6","6x6-uct-0500","500","1","10","0.208333","2","2","S66","supply","","HH"
"6x6","6x6-uct-0500","500","1","10","0.208333","3","2","O22","objective","S22","MM"
"6x6","6x6-uct-0500","500","1","11","0.229167","1","1","O41","objective","S42","HL"
"6x6","6x6-uct-0500","500","1","11","0.229167","2","1","S56","supply","","HH"
"6x6","6x6-uct-0500","500","1","11","0.229167","3","1","S22","supply","","LL"
"6x6","6x6-uct-0500","500","1","12","0.250000","1","2","S40","supply","","ML"
"6x6","6x6-uct-0500","500","1","12","0.250000","2","2","S20","supply","","LL"
"6x6","6x6-uct-0500","500","1","12","0.250000","3","2","S33","supply","","MM"
"6x6","6x6-uct-0500","500","1","13","0.270833","1","1","S04","supply","","LM"
"6x6","6x6-uct-0500","500","1","13","0.270833","2","1","O52","objective","S62","HM"
"6x6","6x6-uct-0500","500","1","13","0.270833","3","1","S24","supply","","LM"
"6x6","6x6-uct-0500","500","1","14","0.291667","1","2","S65","supply","","HH"
"6x6","6x6-uct-0500","500","1","14","0.291667","2","2","O22","objective","S33","MM"
"6x6","6x6-uct-0500","500","1","14","0.291667","3","2","S36","supply","","MH"
