"board","experiment_id","iteration_limit","game_index","turn_number","progress","placement_number","mover","target","target_type","supply_source","region"
"7x7-p72","7x7-seeded-random","-1","1","1","0.020833","1","1","S43","supply","","MM"
"7x7-p72","7x7-seeded-random","-1","1","1","0.020833","2","1","S56","supply","","HH"
"7x7-p72","7x7-seeded-random","-1","1","1","0.020833","3","1","S23","supply","","LM"
"7x7-p72","7x7-seeded-random","-1","1","2","0.041667","1","2","S54","supply","","HM"
"7x7-p72","7x7-seeded-random","-1","1","2","0.041667","2","2","S24","supply","","LM"
"7x7-p72","7x7-seeded-random","-1","1","2","0.041667","3","2","S37","supply","","MH"
"7x7-p72","7x7-seeded-random","-1","1","3","0.062500","1","1","S45","supply","","MH"
"7x7-p72","7x7-seeded-random","-1","1","3","0.062500","2","1","S63","supply","","HM"
"7x7-p72","7x7-seeded-random","-1","1","3","0.062500","3","1","S00","supply","","LL"
"7x7-p72","7x7-seeded-random","-1","1","4","0.083333","1","2","S25","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","4","0.083333","2","2","S17","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","4","0.083333","3","2","S23","supply","","LM"
"7x7-p72","7x7-seeded-random","-1","1","5","0.104167","1","1","O53","objective","S63","HM"
"7x7-p72","7x7-seeded-random","-1","1","5","0.104167","2","1","S27","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","5","0.104167","3","1","S44","supply","","MM"
"7x7-p72","7x7-seeded-random","-1","1","6","0.125000","1","2","O23","objective","S24","MM"
"7x7-p72","7x7-seeded-random","-1","1","6","0.125000","2","2","S50","supply","","HL"
"7x7-p72","7x7-seeded-random","-1","1","6","0.125000","3","2","O26","objective","S37","MH"
"7x7-p72","7x7-seeded-random","-1","1","7","0.145833","1","1","S67","supply","","HH"
"7x7-p72","7x7-seeded-random","-1","1","7","0.145833","2","1","S50","supply","","HL"
"7x7-p72","7x7-seeded-random","-1","1","7","0.145833","3","1","O56","objective","S56","HH"
"7x7-p72","7x7-seeded-random","-1","1","8","0.166667","1","2","S30","supply","","ML"
"7x7-p72","7x7-seeded-random","-1","1","8","0.166667","2","2","S04","supply","","LM"
"7x7-p72","7x7-seeded-random","-1","1","8","0.166667","3","2","S26","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","9","0.187500","1","1","S03","supply","","LM"
"7x7-p72","7x7-seeded-random","-1","1","9","0.187500","2","1","S70","supply","","HL"
"7x7-p72","7x7-seeded-random","-1","1","9","0.187500","3","1","S67","supply","","HH"
"7x7-p72","7x7-seeded-random","-1","1","10","0.208333","1","2","O44","objective","S54","MM"
"7x7-p72","7x7-seeded-random","-1","1","10","0.208333","2","2","S13","supply","","LM"
"7x7-p72","7x7-seeded-random","-1","1","10","0.208333","3","2","S57","supply","","HH"
"7x7-p72","7x7-seeded-random","-1","1","11","0.229167","1","1","O34","objective","S45","MM"
"7x7-p72","7x7-seeded-random","-1","1","11","0.229167","2","1","S02","supply","","LL"
"7x7-p72","7x7-seeded-random","-1","1","11","0.229167","3","1","O46","objective","S56","MH"
"7x7-p72","7x7-seeded-random","-1","1","12","0.250000","1","2","S50","supply","","HL"
"7x7-p72","7x7-seeded-random","-1","1","12","0.250000","2","2","S41","supply","","ML"
"7x7-p72","7x7-seeded-random","-1","1","12","0.250000","3","2","S05","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","13","0.270833","1","1","S07","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","13","0.270833","2","1","S47","supply","","MH"
"7x7-p72","7x7-seeded-random","-1","1","13","0.270833","3","1","O32","objective","S43","MM"
"7x7-p72","7x7-seeded-random","-1","1","14","0.291667","1","2","S62","supply","","HL"
"7x7-p72","7x7-seeded-random","-1","1","14","0.291667","2","2","S66","supply","","HH"
"7x7-p72","7x7-seeded-random","-1","1","14","0.291667","3","2","S05","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","15","0.312500","1","1","S25","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","15","0.312500","2","1","S33","supply","","MM"
"7x7-p72","7x7-seeded-random","-1","1","15","0.312500","3","1","S34","supply","","MM"
"7x7-p72","7x7-seeded-random","-1","1","16","0.333333","1","2","S43","supply","","MM"
"7x7-p72","7x7-seeded-random","-1","1","16","0.333333","2","2","S47","supply","","MH"
"7x7-p72","7x7-seeded-random","-1","1","16","0.333333","3","2","S25","supply","","LH"
"7x7-p72","7x7-seeded-random","-1","1","17","0.354167","1","1","S30","supply","","ML"
