"board","experiment_id","iteration_limit","game_index","winner","moves","turns","end_type","final_p1_score","final_p2_score","p1_placements","p2_placements","trial_file"
"7x7-p72","7x7-seeded-random","-1","1","2","144","48","NaturalEnd","4700","8351","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0001.trl"
"7x7-p72","7x7-seeded-random","-1","2","2","144","48","NaturalEnd","4553","7982","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0002.trl"
"7x7-p72","7x7-seeded-random","-1","3","2","144","48","NaturalEnd","4693","4768","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0003.trl"
"7x7-p72","7x7-seeded-random","-1","4","1","144","48","NaturalEnd","4771","4696","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0004.trl"
"7x7-p72","7x7-seeded-random","-1","5","1","144","48","NaturalEnd","15657","11929","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0005.trl"
"7x7-p72","7x7-seeded-random","-1","6","2","144","48","NaturalEnd","4997","8429","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0006.trl"
"7x7-p72","7x7-seeded-random","-1","7","2","144","48","NaturalEnd","8126","8424","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0007.trl"
"7x7-p72","7x7-seeded-random","-1","8","1","144","48","NaturalEnd","8050","4623","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0008.trl"
"7x7-p72","7x7-seeded-random","-1","9","2","144","48","NaturalEnd","12076","15138","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0009.trl"
"7x7-p72","7x7-seeded-random","-1","10","1","144","48","NaturalEnd","8128","1046","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0010.trl"
"7x7-p72","7x7-seeded-random","-1","11","1","144","48","NaturalEnd","8352","7906","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0011.trl"
"7x7-p72","7x7-seeded-random","-1","12","1","144","48","NaturalEnd","8201","4845","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0012.trl"
"7x7-p72","7x7-seeded-random","-1","13","2","144","48","NaturalEnd","4696","11562","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0013.trl"
"7x7-p72","7x7-seeded-random","-1","14","1","144","48","NaturalEnd","8501","4480","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0014.trl"
"7x7-p72","7x7-seeded-random","-1","15","1","144","48","NaturalEnd","8131","4479","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0015.trl"
"7x7-p72","7x7-seeded-random","-1","16","1","144","48","NaturalEnd","11487","8503","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0016.trl"
"7x7-p72","7x7-seeded-random","-1","17","2","144","48","NaturalEnd","7834","8279","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0017.trl"
"7x7-p72","7x7-seeded-random","-1","18","2","144","48","NaturalEnd","4921","18789","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0018.trl"
"7x7-p72","7x7-seeded-random","-1","19","2","144","48","NaturalEnd","4261","4336","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0019.trl"
"7x7-p72","7x7-seeded-random","-1","20","2","144","48","NaturalEnd","1191","8125","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0020.trl"
"7x7-p72","7x7-seeded-random","-1","21","1","144","48","NaturalEnd","11932","4698","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0021.trl"
"7x7-p72","7x7-seeded-random","-1","22","1","144","48","NaturalEnd","8130","4478","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0022.trl"
"7x7-p72","7x7-seeded-random","-1","23","1","144","48","NaturalEnd","8058","4699","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0023.trl"
"7x7-p72","7x7-seeded-random","-1","24","1","144","48","NaturalEnd","15210","1042","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0024.trl"
"7x7-p72","7x7-seeded-random","-1","25","2","144","48","NaturalEnd","8497","11482","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0025.trl"
"7x7-p72","7x7-seeded-random","-1","26","1","144","48","NaturalEnd","8349","8273","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0026.trl"
"7x7-p72","7x7-seeded-random","-1","27","2","144","48","NaturalEnd","11783","11855","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0027.trl"
"7x7-p72","7x7-seeded-random","-1","28","1","144","48","NaturalEnd","4770","1047","72","72","../issue-73/results/trials/7x7-seeded-random/7x7-seeded-random-0028.trl"
