experiment_id,checkpoint_turn,feature,reversal_n,lead_preserved_n,reversal_mean,reversal_median,lead_preserved_mean,lead_preserved_median,standardized_mean_difference,effect_direction,absolute_standardized_difference
uct-10000-self-play,8,leader_recent_2_all_supply_turn_margin,38,36,-0.131579,0.0,0.027778,0.0,-0.499976,lower_in_reversal,0.499976
uct-10000-self-play,8,leader_recent_2_mixed_turn_margin,38,36,0.157895,0.0,0.027778,0.0,0.348707,higher_in_reversal,0.348707
uct-10000-self-play,8,leader_recent_2_all_objective_turn_margin,38,36,-0.026316,0.0,-0.055556,0.0,0.146643,higher_in_reversal,0.146643
uct-10000-self-play,8,leader_recent_4_supply_placements,38,36,3.026316,3.0,3.416667,3.0,-0.342134,lower_in_reversal,0.342134
uct-10000-self-play,8,opponent_recent_4_supply_placements,38,36,3.473684,4.0,3.666667,4.0,-0.164184,lower_in_reversal,0.164184
uct-10000-self-play,8,leader_recent_4_objective_placements,38,36,2.973684,3.0,2.583333,3.0,0.342134,higher_in_reversal,0.342134
uct-10000-self-play,8,opponent_recent_4_objective_placements,38,36,2.526316,2.0,2.333333,2.0,0.164184,higher_in_reversal,0.164184
uct-10000-self-play,8,leader_recent_4_objective_placement_margin,38,36,0.447368,0.5,0.25,0.0,0.246537,higher_in_reversal,0.246537
uct-10000-self-play,8,leader_recent_4_supply_source_usage_margin,38,36,0.447368,0.5,0.25,0.0,0.246537,higher_in_reversal,0.246537
uct-10000-self-play,8,leader_recent_4_important_site_usage,38,36,1.684211,2.0,1.333333,1.0,0.306741,higher_in_reversal,0.306741
uct-10000-self-play,8,opponent_recent_4_important_site_usage,38,36,1.210526,1.0,1.194444,1.0,0.014893,higher_in_reversal,0.014893
uct-10000-self-play,8,leader_recent_4_important_site_usage_margin,38,36,0.473684,1.0,0.138889,0.0,0.219319,higher_in_reversal,0.219319
uct-10000-self-play,8,leader_recent_4_objective_share_margin,38,36,0.074561,0.083333,0.041667,0.0,0.246537,higher_in_reversal,0.246537
uct-10000-self-play,8,leader_recent_4_all_supply_turn_margin,38,36,-0.236842,0.0,-0.027778,0.0,-0.398261,lower_in_reversal,0.398261
uct-10000-self-play,8,leader_recent_4_mixed_turn_margin,38,36,0.236842,0.0,0.055556,0.0,0.297379,higher_in_reversal,0.297379
uct-10000-self-play,8,leader_recent_4_all_objective_turn_margin,38,36,0.0,0.0,-0.027778,0.0,0.105703,higher_in_reversal,0.105703
uct-10000-self-play,8,leader_recent_4_objective_allocation_change_margin,38,36,0.008772,0.0,-0.12037,0.0,0.344088,higher_in_reversal,0.344088
uct-10000-self-play,8,leader_recent_4_supply_allocation_change,38,36,-0.026316,-0.0,0.101852,-0.0,-0.378245,lower_in_reversal,0.378245
uct-10000-self-play,8,opponent_recent_4_supply_allocation_change,38,36,-0.017544,-0.0,-0.018519,-0.0,0.002509,higher_in_reversal,0.002509
uct-10000-self-play,8,leader_recent_4_supply_allocation_change_margin,38,36,-0.008772,0.0,0.12037,0.0,-0.344088,lower_in_reversal,0.344088
uct-10000-self-play,8,leader_trend_2_secured_objective_margin,38,36,0.552632,1.0,0.277778,0.0,0.513636,higher_in_reversal,0.513636
uct-10000-self-play,8,leader_trend_2_advantage_objective_margin,38,36,-0.605263,-1.0,-0.361111,0.0,-0.226874,lower_in_reversal,0.226874
uct-10000-self-play,8,leader_trend_2_objective_piece_margin,38,36,0.236842,0.0,-0.055556,0.0,0.520091,higher_in_reversal,0.520091
uct-10000-self-play,8,leader_trend_2_secured_supply_margin,38,36,-0.236842,0.0,0.222222,0.0,-0.580092,lower_in_reversal,0.580092
