"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-1000","76","620375","UCT","1000","true","NaturalEnd","2","54","18","1132","1161","27","27","15","14","12","13","0","3","4","4","0","1","Advantage","201.741","S00:1:1:0|S01:2:1:2|S02:1:2:0|S03:0:0:0|S10:1:1:0|S11:4:2:3|S12:4:2:3|S13:0:0:0|S20:0:0:0|S21:1:2:1|S22:4:2:3|S23:0:0:0|S30:1:1:0|S31:1:1:0|S32:2:0:2|S33:0:0:0|O00:3:3:0|O01:2:0:1|O02:4:0:3|O10:3:3:0|O11:4:0:3|O12:4:0:3|O20:3:3:0|O21:3:3:0|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0076.trl"
"3x3-uct-1000","77","620376","UCT","1000","true","NaturalEnd","1","54","18","1163","1134","27","27","12","13","15","14","1","2","4","4","1","0","Advantage","113.021","S00:0:0:0|S01:1:1:0|S02:0:1:1|S03:0:0:0|S10:2:0:1|S11:3:3:2|S12:4:2:3|S13:0:0:0|S20:0:0:0|S21:1:1:0|S22:4:2:3|S23:2:0:1|S30:0:0:0|S31:2:0:1|S32:1:1:0|S33:0:1:1|O00:3:3:0|O01:3:3:0|O02:4:0:3|O10:3:3:0|O11:4:2:3|O12:4:0:3|O20:1:1:0|O21:3:3:2|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0077.trl"
"3x3-uct-1000","78","620377","UCT","1000","true","NaturalEnd","1","54","18","938","570","27","27","13","17","14","10","1","2","3","2","3","0","Secured","88.923","S00:2:0:2|S01:0:1:1|S02:0:0:0|S03:2:0:1|S10:2:0:1|S11:0:1:1|S12:1:2:1|S13:0:0:0|S20:0:0:0|S21:3:3:2|S22:4:2:3|S23:2:0:1|S30:0:1:1|S31:4:1:3|S32:1:1:0|S33:1:1:0|O00:3:3:2|O01:1:2:0|O02:1:1:0|O10:1:2:0|O11:3:3:2|O12:3:3:0|O20:4:0:3|O21:4:0:3|O22:0:0:0","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0078.trl"
"3x3-uct-1000","79","620378","UCT","1000","true","NaturalEnd","2","54","18","851","908","27","27","16","15","11","12","1","3","3","3","0","2","Advantage","78.887","S00:1:1:0|S01:0:1:1|S02:1:1:0|S03:0:0:0|S10:2:0:1|S11:4:2:3|S12:4:2:3|S13:0:0:0|S20:1:1:0|S21:3:3:2|S22:4:2:3|S23:0:0:0|S30:0:0:0|S31:1:2:0|S32:2:1:2|S33:0:0:0|O00:2:1:2|O01:4:0:3|O02:2:0:1|O10:3:3:0|O11:4:1:3|O12:0:0:0|O20:3:3:0|O21:3:3:0|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0079.trl"
"3x3-uct-1000","80","620379","UCT","1000","true","NaturalEnd","2","54","18","629","851","27","27","14","16","13","11","1","1","2","3","2","0","Secured","62.192","S00:0:1:1|S01:0:2:2|S02:2:0:1|S03:0:0:0|S10:3:3:2|S11:4:2:3|S12:1:1:0|S13:2:0:1|S20:0:1:1|S21:2:1:2|S22:1:2:1|S23:0:0:0|S30:0:0:0|S31:0:1:1|S32:2:0:1|S33:0:0:0|O00:1:2:1|O01:4:0:3|O02:4:0:3|O10:4:2:3|O11:3:3:0|O12:3:3:0|O20:1:2:0|O21:0:1:1|O22:0:0:0","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0080.trl"
