"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-1000","46","620345","UCT","1000","true","NaturalEnd","2","54","18","598","654","27","27","17","17","10","10","2","2","2","2","1","3","Advantage","158.879","S00:0:0:0|S01:0:0:0|S02:1:2:1|S03:0:0:0|S10:0:1:1|S11:4:2:3|S12:3:3:2|S13:0:2:2|S20:0:1:1|S21:4:2:3|S22:3:3:2|S23:0:0:0|S30:0:0:0|S31:0:0:0|S32:0:1:1|S33:2:0:1|O00:2:0:1|O01:2:0:1|O02:3:3:0|O10:4:0:3|O11:4:2:3|O12:3:3:0|O20:2:1:2|O21:1:1:0|O22:0:0:0","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0046.trl"
"3x3-uct-1000","47","620346","UCT","1000","true","NaturalEnd","0","54","18","1132","1132","27","27","15","15","12","12","1","3","4","4","0","0","Draw","133.891","S00:1:1:0|S01:2:1:2|S02:0:0:0|S03:0:1:1|S10:0:0:0|S11:4:2:3|S12:4:2:3|S13:1:1:0|S20:0:0:0|S21:3:3:2|S22:4:2:3|S23:1:1:0|S30:0:0:0|S31:1:1:0|S32:2:0:1|S33:0:0:0|O00:3:3:0|O01:4:0:3|O02:0:0:0|O10:3:3:0|O11:4:0:3|O12:4:0:3|O20:3:3:0|O21:3:3:0|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0047.trl"
"3x3-uct-1000","48","620347","UCT","1000","true","NaturalEnd","2","54","18","852","908","27","27","15","15","12","12","1","2","3","3","0","2","Advantage","134.848","S00:0:0:0|S01:0:1:1|S02:2:1:2|S03:1:1:0|S10:0:1:1|S11:4:1:3|S12:0:2:2|S13:2:0:1|S20:0:0:0|S21:4:2:3|S22:3:3:2|S23:1:1:0|S30:0:0:0|S31:1:2:0|S32:0:0:0|S33:0:0:0|O00:4:0:3|O01:2:0:1|O02:0:0:0|O10:4:0:3|O11:4:2:3|O12:3:3:0|O20:2:1:2|O21:3:3:0|O22:3:3:0","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0048.trl"
"3x3-uct-1000","49","620348","UCT","1000","true","NaturalEnd","0","54","18","881","881","27","27","14","14","13","13","1","1","3","3","1","1","Draw","161.926","S00:0:0:0|S01:0:0:0|S02:0:1:1|S03:0:0:0|S10:2:0:1|S11:3:3:2|S12:1:2:1|S13:1:1:0|S20:1:1:0|S21:4:2:3|S22:0:2:2|S23:0:0:0|S30:2:0:1|S31:2:1:2|S32:0:1:1|S33:0:0:0|O00:3:3:0|O01:3:3:0|O02:3:3:0|O10:4:1:3|O11:0:2:2|O12:1:1:0|O20:4:0:3|O21:4:0:3|O22:2:0:2","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0049.trl"
"3x3-uct-1000","50","620349","UCT","1000","true","NaturalEnd","2","54","18","911","1133","27","27","12","14","15","13","1","0","3","4","2","0","Secured","166.121","S00:0:0:0|S01:2:0:1|S02:2:0:1|S03:1:1:0|S10:2:0:1|S11:3:3:2|S12:0:1:1|S13:0:1:1|S20:0:2:2|S21:0:2:2|S22:2:0:1|S23:2:0:1|S30:1:2:0|S31:0:0:0|S32:2:0:1|S33:0:0:0|O00:4:2:3|O01:3:3:0|O02:1:2:0|O10:3:3:1|O11:3:3:0|O12:4:1:3|O20:1:1:0|O21:4:0:3|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0050.trl"
