"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-1000","66","620365","UCT","1000","true","NaturalEnd","1","54","18","909","600","27","27","14","15","13","12","0","1","3","2","2","1","Secured","135.512","S00:0:1:1|S01:0:0:0|S02:0:1:1|S03:1:1:0|S10:1:1:0|S11:1:2:1|S12:2:1:2|S13:1:1:0|S20:0:0:0|S21:4:2:3|S22:0:2:2|S23:2:0:1|S30:0:0:0|S31:0:1:1|S32:2:0:2|S33:0:1:1|O00:1:2:1|O01:0:0:0|O02:3:3:0|O10:1:2:1|O11:4:0:3|O12:2:0:2|O20:3:3:0|O21:3:3:2|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0066.trl"
"3x3-uct-1000","67","620366","UCT","1000","true","NaturalEnd","2","54","18","880","908","27","27","15","15","12","12","1","1","3","3","1","2","Advantage","97.827","S00:0:0:0|S01:1:1:0|S02:1:2:1|S03:1:1:0|S10:0:0:0|S11:0:2:2|S12:3:3:2|S13:0:0:0|S20:0:1:1|S21:4:2:3|S22:2:1:2|S23:0:0:0|S30:2:0:2|S31:1:1:0|S32:2:1:2|S33:0:0:0|O00:1:1:0|O01:3:3:0|O02:3:3:0|O10:2:0:1|O11:4:0:3|O12:2:1:2|O20:3:3:0|O21:4:1:3|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0067.trl"
"3x3-uct-1000","68","620367","UCT","1000","true","NaturalEnd","2","54","18","852","881","27","27","15","14","12","13","1","2","3","3","0","1","Advantage","179.106","S00:2:0:1|S01:0:0:0|S02:0:0:0|S03:0:0:0|S10:1:1:0|S11:3:3:2|S12:4:2:3|S13:0:0:0|S20:1:2:0|S21:2:1:2|S22:4:2:3|S23:1:1:0|S30:0:0:0|S31:0:2:2|S32:0:1:1|S33:0:0:0|O00:3:3:0|O01:4:0:3|O02:2:0:1|O10:3:3:0|O11:4:0:3|O12:4:0:3|O20:0:1:1|O21:0:2:2|O22:3:3:0","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0068.trl"
"3x3-uct-1000","69","620368","UCT","1000","true","NaturalEnd","2","54","18","880","908","27","27","15","15","12","12","1","1","3","3","1","2","Advantage","113.429","S00:2:1:2|S01:0:0:0|S02:0:1:1|S03:0:0:0|S10:0:0:0|S11:2:1:2|S12:4:2:3|S13:1:1:0|S20:0:0:0|S21:0:1:1|S22:3:3:2|S23:0:0:0|S30:1:1:0|S31:1:1:0|S32:0:2:2|S33:2:1:2|O00:2:0:1|O01:4:1:3|O02:3:3:0|O10:4:0:3|O11:4:0:3|O12:2:0:2|O20:3:3:0|O21:3:3:0|O22:1:2:0","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0069.trl"
"3x3-uct-1000","70","620369","UCT","1000","true","NaturalEnd","1","54","18","879","850","27","27","16","17","11","10","2","2","3","3","1","0","Advantage","75.692","S00:2:0:2|S01:1:1:0|S02:0:0:0|S03:0:1:1|S10:2:1:2|S11:3:3:2|S12:0:2:2|S13:0:0:0|S20:4:1:3|S21:4:2:3|S22:3:3:2|S23:0:0:0|S30:0:0:0|S31:0:0:0|S32:1:2:0|S33:0:0:0|O00:4:0:3|O01:3:3:0|O02:1:1:0|O10:4:0:3|O11:3:3:0|O12:0:0:0|O20:4:1:3|O21:3:3:1|O22:0:0:0","experiments/issue-62/results/trials/3x3-uct-1000/3x3-uct-1000-0070.trl"
