"experiment_id","game_index","seed","agent","iteration_limit","completed","end_type","winner","moves","turns","p1_score","p2_score","p1_total_pieces","p2_total_pieces","p1_supply_pieces","p2_supply_pieces","p1_objective_pieces","p2_objective_pieces","p1_secured_supply","p2_secured_supply","p1_secured_objectives","p2_secured_objectives","p1_advantage_objectives","p2_advantage_objectives","deciding_criterion","elapsed_seconds","final_board","trial_file"
"3x3-uct-0500","91","620290","UCT","500","true","NaturalEnd","2","54","18","600","879","27","27","15","16","12","11","0","3","2","3","1","1","Secured","120.749","S00:0:0:0|S01:0:0:0|S02:0:0:0|S03:1:2:0|S10:0:1:1|S11:0:2:2|S12:4:1:3|S13:1:1:0|S20:0:1:1|S21:4:2:3|S22:4:2:3|S23:1:1:0|S30:2:0:1|S31:1:1:0|S32:2:0:1|S33:0:1:1|O00:0:0:0|O01:3:3:0|O02:3:3:0|O10:1:2:0|O11:2:1:2|O12:4:2:3|O20:0:0:0|O21:4:0:3|O22:4:1:3","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0091.trl"
"3x3-uct-0500","92","620291","UCT","500","true","NaturalEnd","1","54","18","882","879","27","27","13","16","14","11","1","1","3","3","1","1","Pieces","45.189","S00:2:0:1|S01:0:1:1|S02:0:0:0|S03:0:0:0|S10:0:0:0|S11:0:2:2|S12:3:3:2|S13:0:2:2|S20:0:0:0|S21:2:1:2|S22:4:2:3|S23:2:1:2|S30:0:0:0|S31:0:0:0|S32:0:1:1|S33:0:0:0|O00:1:2:0|O01:0:1:1|O02:3:3:0|O10:4:0:3|O11:3:3:0|O12:4:2:3|O20:2:0:1|O21:4:0:3|O22:3:3:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0092.trl"
"3x3-uct-0500","93","620292","UCT","500","true","NaturalEnd","2","54","18","626","629","27","27","17","14","10","13","1","1","2","2","2","2","Pieces","103.157","S00:0:0:0|S01:0:1:1|S02:0:1:1|S03:2:0:1|S10:2:0:1|S11:1:2:1|S12:4:1:3|S13:2:0:1|S20:1:2:0|S21:0:2:2|S22:3:3:2|S23:1:1:0|S30:0:0:0|S31:0:1:1|S32:1:2:0|S33:1:1:0|O00:1:1:0|O01:2:1:2|O02:4:0:3|O10:1:1:0|O11:4:0:3|O12:0:1:1|O20:2:0:2|O21:3:3:2|O22:3:3:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0093.trl"
"3x3-uct-0500","94","620293","UCT","500","true","NaturalEnd","1","54","18","1163","1134","27","27","12","13","15","14","0","1","4","4","1","0","Advantage","55.117","S00:4:0:3|S01:1:1:0|S02:1:1:0|S03:0:0:0|S10:0:0:0|S11:1:2:1|S12:1:2:0|S13:0:1:1|S20:1:1:0|S21:2:1:2|S22:0:2:2|S23:2:0:1|S30:1:1:0|S31:2:0:2|S32:2:0:1|S33:0:0:0|O00:4:0:3|O01:3:3:0|O02:1:1:0|O10:3:3:0|O11:4:2:3|O12:3:3:2|O20:3:3:0|O21:4:0:3|O22:4:0:3","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0094.trl"
"3x3-uct-0500","95","620294","UCT","500","true","NaturalEnd","1","54","18","1133","598","27","27","14","17","13","10","0","3","4","2","0","1","Secured","65.168","S00:2:0:1|S01:1:2:0|S02:2:0:1|S03:2:0:1|S10:4:1:3|S11:4:1:3|S12:4:2:3|S13:0:0:0|S20:0:0:0|S21:1:2:0|S22:0:1:1|S23:0:1:1|S30:2:0:1|S31:0:1:1|S32:1:2:1|S33:1:1:0|O00:4:0:3|O01:3:3:2|O02:2:0:2|O10:0:0:0|O11:3:3:0|O12:3:3:0|O20:4:1:3|O21:3:3:0|O22:0:0:0","experiments/issue-62/results/trials/3x3-uct-0500/3x3-uct-0500-0095.trl"
